# C2 FROZEN MODEL — live window 2026-07 (index 41 of 42)
# label: net_R>0 | selection: p_win >= trailing-q0.96/90d | spec: C2_SPEC_FROZEN 2026-07-20
# intercept = -0.231044639
idx;feature;mean;std;weight
0;micro_touch_number;40.17145947;31.82816832;0.03290859753
1;structural_touch_number;9.380475733;7.131076154;-0.0115282162
2;micro_index_within_structural;4.473490848;3.985251277;0.008908633287
3;is_new_structural_touch;0.2331044665;0.4228082003;0.1808391568
4;level_age_hours;1089.029887;895.8788127;-0.01954367535
5;bars_since_previous_micro;223.7247187;1197.646342;-0.04835840901
6;bars_since_previous_structural;703.2903651;2087.217735;0.01451590478
7;max_departure_previous_structural_atr;2.140173599;8.089555987;0.0834683252
8;structural_reset_swing_confirmed;0.4102515224;0.4918792644;-0.1020134487
9;previous_micro_reaction_mfe_atr;2.493765125;2.689991604;-0.3139238669
10;previous_micro_reaction_mae_atr;2.547055822;2.706478573;0.348151045
11;previous_structural_reaction_atr;1.928116759;2.098328647;0.05464372666
12;previous2_structural_reaction_atr;2.369090261;2.636781714;-0.06626680086
13;previous_structural_penetration_atr;1.294649919;1.319208402;0.004417255638
14;previous2_structural_penetration_atr;0.9909473144;1.190245865;0.03053919761
15;approach_bars;12;1;0
16;approach_distance_atr;2.118178587;1.550284298;-0.02680103819
17;attack_path_atr;6.430673926;1.203703255;0.03153687728
18;attack_net_progress_atr;0.1085755236;2.593729369;0.09448860191
19;attack_aligned_body_atr;3.23851492;1.429260577;0.243551059
20;attack_total_body_atr;6.373469837;1.193158277;-0.1098041111
21;attack_close_location;0.5041250885;0.3302421786;-0.1025749282
22;approach_tick_volume_mean;291.2298867;193.3205903;0.01182027045
23;prior_tick_volume_mean;262.9644621;176.4703947;0.04009672746
24;approach_range_mean_atr;0.9976723734;0.04480601531;0.009005040469
25;prior_range_mean_atr;0.945480648;0.3250735494;-0.04765416283
26;touch_open_rel_atr;-0.001810976595;1.209463558;-0.006625125561
27;touch_high_rel_atr;0.7350729997;0.8757197113;0.01749134239
28;touch_low_rel_atr;-0.740524814;0.8906649372;-0.009481731906
29;touch_close_rel_atr;0.00424494477;0.7901414402;-0.007602025993
30;touch_spread_points;2.16198362;4.631084879;-0.1186656471
31;d1;0.01599195123;0.3879858767;-0.291069245
32;d3;0.5077238127;0.1946524386;-0.03786196227
33;d6;0.7681588407;0.2318293121;0.01374128375
34;d7;0.7718911573;0.222435324;-0.01481487015
35;d8;-0.5880821827;2.879122582;-0.09678489472
36;d9;0.1754642898;1.666860724;0.03508953568
37;d10;0.008351963355;0.1995176438;0.09448860191
38;d11;0.6811434297;0.2216286773;0.02744300604
39;d12;4.3593296;1.612070201;-0.04678531667
40;t1;0.01862936404;0.5337364289;-0.01931995377
41;t2;-0.07184522551;0.8237255568;-0.08265745802
42;t3;0.8881960884;0.3151250498;0.011246501
43;t3b;0.01862936404;0.5337364289;-0.01931995377
44;t4;0.7220965456;0.7799658195;-0.02408483247
45;t5;3.192147593;0.9207656937;0.04087503827
46;t6a;0.8876865969;0.315751647;0.01672136548
47;t6b;0.0005857418646;0.02419501542;0.002757642503
