episode_id;p
102;0.5312704
103;0.38791404
104;0.41465153
105;0.35455796
106;0.50129716
107;0.33343563
108;0.61349694
109;0.47642458
110;0.6659676
111;0.66587062
112;0.71785718
113;0.83519419
114;0.36753644
115;0.53898952
116;0.46499798
117;0.32973341
118;0.49108213
119;0.73959403
120;0.45281467
121;0.3598049
122;0.20316132
123;0.40948073
124;0.40929689
125;0.37526321
126;0.49182081
127;0.46110239
128;0.51648779
129;0.3692508
130;0.48114662
131;0.5276938
132;0.4452269
133;0.44186789
134;0.45099415
135;0.46377182
136;0.37605341
137;0.39059419
138;0.59305847
139;0.36771337
140;0.49247744
141;0.47247274
142;0.51959839
143;0.55254858
144;0.36360629
145;0.404177
146;0.53653681
147;0.41959614
148;0.39012857
149;0.41355386
150;0.26377001
151;0.28665633
152;0.35685306
153;0.4527642
154;0.4002274
155;0.44270886
156;0.40711357
157;0.35283231
158;0.36032922
159;0.26496158
160;0.40374551
161;0.34634087
162;0.35257688
163;0.34223597
164;0.30887135
165;0.44824018
166;0.37579095
167;0.34491914
168;0.51819699
169;0.47820279
170;0.49125743
171;0.51012673
172;0.7452473
173;0.56677199
174;0.61036534
175;0.62386281
176;0.62617733
177;0.72933645
178;0.54062032
179;0.53603832
180;0.3688991
181;0.39124432
182;0.36853046
183;0.37536008
184;0.70752928
185;0.37931541
186;0.40719798
187;0.3292237
188;0.38159654
189;0.43490041
190;0.65856755
191;0.4490985
192;0.41419658
193;0.45313659
194;0.17775536
195;0.39074516
196;0.38663092
197;0.37121944
198;0.43601277
199;0.41705974
200;0.50892503
201;0.39446629
202;0.49439293
203;0.24794052
204;0.68987815
205;0.46719864
206;0.42908882
207;0.43707511
208;0.39297774
209;0.40339108
210;0.31280817
211;0.43362901
212;0.40850946
213;0.25733956
214;0.39624382
215;0.45514365
216;0.44665302
217;0.44624244
218;0.29393679
219;0.44751903
220;0.36954174
221;0.41328999
222;0.53682486
223;0.41213331
224;0.38198121
225;0.4705539
226;0.30050682
227;0.57658486
228;0.49389737
229;0.50553282
230;0.41663756
231;0.52554505
232;0.4939373
233;0.48264498
234;0.49438836
235;0.34649556
236;0.24776864
237;0.52765432
238;0.53087224
239;0.51839633
240;0.38509056
241;0.42702066
242;0.23051524
243;0.49293231
244;0.28968214
245;0.54363581
246;0.49882886
247;0.41527306
248;0.48705812
249;0.41289952
250;0.49585269
251;0.58612226
252;0.5884603
253;0.20986919
254;0.4877523
255;0.3685713
256;0.59440353
257;0.40401278
258;0.56575068
259;0.48069821
260;0.34908888
261;0.37147036
262;0.23600949
263;0.41821433
264;0.41760717
265;0.42644258
266;0.45726087
267;0.51050022
268;0.62175805
269;0.43890585
270;0.23347811
271;0.4041971
272;0.51444855
273;0.44490608
274;0.41093578
275;0.43857481
276;0.46672265
277;0.41828717
278;0.52421993
279;0.51921172
280;0.44546862
281;0.46275729
282;0.28138282
283;0.61511008
284;0.33727173
285;0.57620424
286;0.60302624
287;0.34451108
288;0.30086014
289;0.44369048
290;0.32916921
291;0.35587562
292;0.42812337
293;0.39196316
294;0.29668131
295;0.3225208
296;0.81398636
297;0.74074654
298;0.90310905
299;0.28883956
300;0.47135295
301;0.62893615
302;0.32246484
303;0.40414774
304;0.4343885
305;0.57572696
306;0.4375228
307;0.40978714
308;0.55447186
309;0.28732737
310;0.31390432
311;0.4176651
312;0.44840636
313;0.57142811
314;0.42787611
315;0.55687535
316;0.43639311
317;0.27748509
318;0.32287727
319;0.30874559
320;0.38274592
321;0.2905451
322;0.38387007
323;0.29784454
324;0.41236819
325;0.46467191
326;0.48117546
327;0.46307873
328;0.45866077
329;0.41355633
330;0.4421942
331;0.39598999
332;0.37560089
333;0.44029397
334;0.23422312
335;0.25662319
336;0.43221089
337;0.5781365
338;0.45047552
339;0.41363623
340;0.32042804
341;0.30097444
342;0.36814857
343;0.96678509
344;0.56214344
345;0.78017085
346;0.57386253
347;0.41724838
348;0.49903067
349;0.51974701
350;0.36320247
351;0.54215031
352;0.35476155
353;0.48740953
354;0.47420646
355;0.48400666
356;0.43137916
357;0.60113946
358;0.4664259
359;0.83533128
360;0.51310299
361;0.56543295
362;0.42136873
363;0.43535829
364;0.31086629
365;0.44925984
366;0.58312456
367;0.40208997
368;0.46343809
369;0.36709921
370;0.19909067
371;0.30491389
372;0.62616367
373;0.60833018
374;0.47428371
375;0.55884981
376;0.41712584
377;0.37884444
378;0.41709189
379;0.49399369
380;0.46469059
381;0.49951143
382;0.53661482
383;0.43624064
384;0.37500896
385;0.4123809
386;0.7010013
387;0.4990128
388;0.33486022
389;0.5360485
390;0.39668268
391;0.49963595
392;0.33782287
393;0.86121106
394;0.95874471
395;0.55072557
396;0.48822053
397;0.39981347
398;0.30039652
399;0.59953199
400;0.432201
401;0.41888223
402;0.42145797
403;0.32391631
404;0.44116734
405;0.30852718
406;0.39063685
407;0.49044752
408;0.47985603
409;0.38928355
410;0.47486331
411;0.33875686
412;0.35186433
413;0.37580963
414;0.33685159
415;0.38660534
416;0.45809381
417;0.65474769
418;0.46372002
419;0.51309749
420;0.52883124
421;0.51742237
422;0.52781849
423;0.32387886
424;0.25366888
425;0.59589186
427;0.47579011
428;0.22457791
429;0.48447274
430;0.39865651
431;0.31862728
432;0.35333815
433;0.63894674
434;0.54061009
435;0.52853313
436;0.42739691
437;0.14894278
438;0.24033127
439;0.51040192
440;0.45959415
441;0.35795172
442;0.43640321
443;0.4164845
444;0.62825188
445;0.29458291
446;0.52230351
447;0.43071129
448;0.39492708
449;0.45169425
450;0.52494033
451;0.25365364
452;0.47862722
453;0.48229865
454;0.57564717
455;0.33933604
456;0.36642743
457;0.54475277
458;0.2895431
459;0.50166202
460;0.39698577
461;0.53577439
462;0.53028278
463;0.5237322
464;0.28927681
465;0.45701327
466;0.36424146
467;0.32799835
468;0.31081333
469;0.49268543
470;0.25377884
471;0.4085799
472;0.73328122
473;0.60923155
474;0.58932194
475;0.49401123
476;0.46103484
477;0.70156633
478;0.44288285
479;0.45852763
480;0.51544799
481;0.56314906
482;0.47271867
483;0.46953621
484;0.52782581
485;0.46660361
486;0.45841437
487;0.3259598
488;0.23087413
489;0.47372903
490;0.48542953
491;0.65022775
492;0.6797476
493;0.46243309
494;0.44622192
495;0.46146734
496;0.36993119
497;0.62083845
498;0.55973482
499;0.42319923
500;0.30133987
501;0.50060159
502;0.44358344
503;0.47079419
504;0.28520801
505;0.49629286
506;0.58065782
507;0.57127618
508;0.46220244
509;0.54242962
510;0.25429902
511;0.27830692
512;0.40800101
513;0.34285673
514;0.3862427
515;0.48509861
516;0.40262257
517;0.45135651
518;0.3663605
519;0.25141567
520;0.5773883
521;0.35933666
522;0.60762112
523;0.65796063
524;0.55032639
525;0.28309156
526;0.46734841
527;0.37099931
528;0.5015369
529;0.43682239
530;0.62304852
531;0.12966598
532;0.42631021
533;0.53180169
534;0.2284406
535;0.50756494
536;0.49363817
537;0.46174417
538;0.40208816
539;0.4350891
540;0.37141527
541;0.35487747
542;0.28266928
543;0.34405828
544;0.52548654
545;0.57880223
546;0.57322937
547;0.48142652
548;0.43036275
549;0.6263843
550;0.45029055
551;0.35544932
552;0.47997326
553;0.39568763
554;0.35283382
555;0.41910835
556;0.37458882
557;0.23067757
558;0.16636298
559;0.16764352
560;0.36665992
561;0.76329518
562;0.39434276
563;0.43463242
564;0.4571056
565;0.52528942
566;0.40577744
567;0.45471964
568;0.28053514
569;0.344056
570;0.50087977
571;0.39131378
572;0.36264453
573;0.48910133
574;0.54567732
575;0.67583067
576;0.49698781
577;0.49194664
578;0.31944526
579;0.57890524
580;0.43356218
581;0.44377212
582;0.47497369
583;0.34095306
584;0.45198282
585;0.57679889
586;0.12976884
587;0.47128655
588;0.40930026
589;0.40365926
590;0.4847187
591;0.54007202
592;0.40271909
593;0.28251069
594;0.56319988
595;0.51184675
596;0.49654877
597;0.41457972
598;0.54816915
599;0.52298652
600;0.54589319
601;0.22053703
602;0.40069096
603;0.48617064
604;0.49853023
605;0.37133738
606;0.36163985
607;0.43818443
608;0.41970731
609;0.41591205
610;0.45215417
611;0.43385579
612;0.30815097
613;0.53023703
614;0.33654422
615;0.37754799
616;0.54260769
617;0.46845216
618;0.5281724
619;0.49652701
620;0.47609128
621;0.45325012
622;0.52853581
623;0.40233465
624;0.54853942
625;0.43995534
626;0.4946132
627;0.39066003
628;0.47279743
629;0.39630163
630;0.33315582
631;0.48072667
632;0.68327305
633;0.55371483
634;0.44985867
635;0.3761621
636;0.3704497
637;0.42084108
638;0.5788134
639;0.4595658
640;0.46670091
641;0.41803935
642;0.48120819
643;0.42794048
644;0.45370878
645;0.50927397
646;0.37988393
647;0.27687216
648;0.42562441
649;0.57437913
650;0.53329
651;0.37912364
652;0.39683056
653;0.62710715
654;0.57234503
655;0.54016426
656;0.4014231
657;0.40281114
658;0.45558062
659;0.24474703
660;0.16576955
661;0.44163081
662;0.43633966
663;0.56163672
