commission_RT_pts,spread_mult,BE_slip_R,P0_total_R,P4c_total_R,delta_total_R,P4c_over_P0_ratio,P0_EV_R,P4c_EV_R,P0_gross_DD_R,P4c_gross_DD_R,delta_gross_DD_R,PR1_10pct_advantage,PR2_DD,P0_negative_months,P4c_negative_months,P0_worst_month_R,P4c_worst_month_R
5.0,1.0,0.0,1931.3508082816559,2169.1402600192355,237.7894517375796,1.1231207974842974,0.5494596894115664,0.6171096045573927,14.415969147956787,10.618161241655343,-3.7978079063014434,True,True,0,1,1.5303204951644498,-1.7763940284436488
5.0,1.0,0.05,1931.3508082816559,2115.6402600192355,184.2894517375796,1.095419978052327,0.5494596894115664,0.6018891209158564,14.415969147956787,10.768161241655207,-3.64780790630158,False,True,0,1,1.5303204951644498,-2.576394028443649
5.0,1.5,0.0,1884.1361941995774,2123.6596034483173,239.52340924873988,1.127126377586783,0.5360273667708613,0.6041705841958228,14.436103170741376,10.669815142135349,-3.766288028606027,True,True,0,1,1.4436132797743708,-1.8300463979530792
5.0,1.5,0.05,1884.1361941995774,2070.1596034483173,186.02340924873988,1.0987314026562538,0.5360273667708613,0.5889501005542865,14.436103170741376,10.819815142135212,-3.6162880286061636,False,True,0,1,1.4436132797743708,-2.630046397953079
6.0,1.0,0.0,1889.6133243679192,2127.402776105499,237.78945173757984,1.1258402704252317,0.5375855830349698,0.6052354981807964,14.415969147956787,10.618161241655343,-3.7978079063014434,True,True,0,1,1.2665113583143672,-2.040203165293732
6.0,1.0,0.05,1889.6133243679192,2073.9027761054986,184.28945173757938,1.0975275996210625,0.5375855830349698,0.5900150145392599,14.415969147956787,10.768161241655207,-3.64780790630158,False,True,0,1,1.2665113583143672,-2.8402031652937323
6.0,1.5,0.0,1842.3987102858405,2081.9221195345804,239.52340924873988,1.130006283608166,0.5241532603942647,0.5922964778192262,14.436103170741376,10.669815142135349,-3.766288028606027,True,True,0,1,1.1798041429242878,-2.0938555348031627
6.0,1.5,0.05,1842.3987102858405,2028.4221195345804,186.02340924873988,1.100968052251773,0.5241532603942647,0.57707599417769,14.436103170741376,10.819815142135212,-3.6162880286061636,True,True,0,1,1.1798041429242878,-2.893855534803163
7.5,1.0,0.0,1827.0070984973136,2064.7965502348934,237.78945173757984,1.1301524509309013,0.519774423470075,0.5874243386159014,14.415969147956787,10.618161241655343,-3.7978079063014434,True,True,0,1,0.8707976530392424,-2.4359168705688563
7.5,1.0,0.05,1827.0070984973136,2011.2965502348934,184.28945173757984,1.100869587145641,0.519774423470075,0.5722038549743651,14.415969147956787,10.768161241655207,-3.64780790630158,True,True,0,1,0.8707976530392424,-3.235916870568857
7.5,1.5,0.0,1779.7924844152353,2019.315893663975,239.52340924873965,1.1345794025686298,0.5063421008293699,0.5744853182543315,14.436103170741376,10.669815142135349,-3.766288028606027,True,True,0,1,0.7840904376491639,-2.4895692400782865
7.5,1.5,0.05,1779.7924844152353,1965.8158936639752,186.02340924873988,1.1045197183815838,0.5063421008293699,0.5592648346127952,14.436103170741376,10.819815142135212,-3.6162880286061636,True,True,0,1,0.7840904376491639,-3.2895692400782868
10.0,1.0,0.0,1722.6633887129715,1960.4528404505515,237.78945173758007,1.1380359351081561,0.4900891575285836,0.5577390726744101,14.415969147956787,10.618161241655343,-3.7978079063014434,True,True,0,1,0.21127481091403427,-3.095439712694065
10.0,1.0,0.05,1722.6633887129715,1906.9528404505515,184.28945173758007,1.106979374464599,0.4900891575285836,0.5425185890328739,14.415969147956787,10.768161241655207,-3.64780790630158,True,True,0,1,0.21127481091403427,-3.8954397126940647
10.0,1.5,0.0,1675.4487746308932,1914.9721838796331,239.52340924873988,1.142960747517636,0.4766568348878786,0.5448000523128401,14.436103170741376,10.669815142135349,-3.766288028606027,True,True,0,1,0.12456759552395534,-3.149092082203495
10.0,1.5,0.05,1675.4487746308932,1861.472183879633,186.02340924873965,1.1110290043273459,0.4766568348878786,0.5295795686713038,14.436103170741376,10.819815142135212,-3.6162880286061636,True,True,0,1,0.12456759552395534,-3.9490920822034954
