month,n,sum_r,ev,wr,gross_sum
2024-01,187,-32.959858785921476,-0.1762559293364785,0.34759358288770054,8.0
2024-02,191,-64.87938817415878,-0.3396826605976899,0.3089005235602094,-14.0
2024-03,256,-83.90933600909216,-0.32777084378551624,0.32421875,-7.0
2024-04,168,-45.18550461492329,-0.268961336993591,0.3333333333333333,0.0
2024-05,289,-160.81629309113092,-0.5564577615610067,0.25259515570934254,-70.0
2024-06,232,-114.21139265205932,-0.49229048556922117,0.2672413793103448,-46.0
2024-07,270,-131.9995720078968,-0.48888730373295114,0.2740740740740741,-48.0
2024-08,84,-30.10028742705479,-0.3583367550839856,0.2976190476190476,-9.0
2024-09,134,-31.183698024569733,-0.2327141643624607,0.3358208955223881,1.0
2024-10,233,-73.70162214412842,-0.31631597486750396,0.3261802575107296,-5.0
2024-11,122,-18.49714534706588,-0.15161594546775312,0.3524590163934426,7.0
2024-12,112,-9.674792343794488,-0.08638207449816507,0.36607142857142855,11.0
2025-01,167,-41.54931274102666,-0.2487982798863872,0.30538922155688625,-14.0
2025-02,247,-26.334129607651423,-0.1066159093427183,0.3684210526315789,26.0
2025-03,126,-32.04573178915918,-0.2543312046758665,0.30158730158730157,-12.0
2025-04,86,0.7760839531384178,0.009024232013237416,0.37209302325581395,10.0
2025-05,167,-50.54376244417285,-0.3026572601447476,0.281437125748503,-26.0
2025-06,107,-4.839544027350625,-0.04522938343318341,0.37383177570093457,13.0
2025-07,131,-33.59297917017467,-0.2564349554975166,0.3053435114503817,-11.0
2025-08,202,-48.86162441227731,-0.24188922976374905,0.31683168316831684,-10.0
2025-09,256,-52.516951416736894,-0.2051443414716285,0.3359375,2.0
2025-10,332,-57.94928800228823,-0.17454604819966332,0.3463855421686747,13.0
2025-11,204,-37.818787567080285,-0.18538621356411905,0.35294117647058826,12.0
2025-12,286,-112.80224982885326,-0.39441346094004637,0.2902097902097902,-37.0
2026-01,238,-66.75100031314658,-0.28046638787036376,0.3235294117647059,-7.0
2026-02,134,-47.7966329134708,-0.35669129039903585,0.291044776119403,-17.0
2026-03,252,-34.411795795559634,-0.13655474522047473,0.3373015873015873,3.0
2026-04,228,-41.59504322052508,-0.18243440009002226,0.34210526315789475,6.0
2026-05,207,-51.4728442195069,-0.24866108318602365,0.3333333333333333,0.0
2026-06,182,-42.72920057830011,-0.2347758273532973,0.34065934065934067,4.0
