month,n,sum_r,ev,wr,gross_sum
2023-01,74,-8.28154102173135,-0.1119127165098831,0.35135135135135137,4.0
2023-02,127,-33.75715506445789,-0.2658043705862826,0.2992125984251969,-13.0
2023-03,246,-80.67674288660774,-0.32795423937645424,0.2764227642276423,-42.0
2023-04,106,-32.542211186297244,-0.3070019923235589,0.3018867924528302,-10.0
2023-05,215,-21.574589373657936,-0.10034692731933924,0.37209302325581395,25.0
2023-06,253,-103.69097227099847,-0.409845740201575,0.2727272727272727,-46.0
2023-07,172,-65.31005148605561,-0.379709601663114,0.27906976744186046,-28.0
2023-08,295,-77.95188331383223,-0.2642436722502787,0.31864406779661014,-13.0
2023-09,137,-36.649620680240986,-0.2675154794178174,0.32116788321167883,-5.0
2023-10,153,-39.63054130320463,-0.2590231457725793,0.3202614379084967,-6.0
2023-11,191,-39.198785663531055,-0.2052292443116809,0.33507853403141363,1.0
2023-12,140,-66.46857336768383,-0.4747755240548845,0.24285714285714285,-38.0
