leg,side,bucket,n,ev5,wr,pf5,grossEV,grossPF,netEV,netPF,sumR,maxDD
BASE1,BUY,BOTH,1088,-0.013134,48.437500,0.979026,-0.019059,0.932737,-0.092722,0.713960,-100.789077,104.311254
BASE1,BUY,H1_ONLY,798,-0.069685,46.741855,0.890657,-0.036177,0.871543,-0.101735,0.680893,-81.184503,88.360098
BASE1,BUY,H4_ONLY,459,-0.144996,47.712418,0.787792,-0.052562,0.818678,-0.122102,0.630237,-56.044869,58.112074
BASE1,BUY,NEITHER,2017,-0.027921,49.033218,0.956815,-0.011673,0.958987,-0.077150,0.758977,-155.380356,157.171883
BASE1,SELL,BOTH,1677,0.050062,52.116875,1.083132,0.028217,1.108598,-0.035260,0.879172,-59.094996,65.947372
BASE1,SELL,H1_ONLY,649,0.056504,48.844376,1.094676,0.044173,1.176744,-0.022154,0.922056,-14.377978,37.150285
BASE1,SELL,H4_ONLY,615,-0.066156,51.056911,0.902591,0.011278,1.042681,-0.052082,0.825144,-32.030555,40.573528
BASE1,SELL,NEITHER,1276,0.055425,51.253918,1.089411,0.035820,1.136754,-0.036730,0.876937,-46.867126,54.754613
DOM2,BUY,BOTH,598,-0.007391,49.163880,0.988600,-0.004895,0.982786,-0.077828,0.759373,-46.541281,52.747441
DOM2,BUY,H1_ONLY,443,-0.005065,47.178330,0.991750,0.001306,1.005006,-0.064951,0.781047,-28.773238,35.601492
DOM2,BUY,H4_ONLY,220,-0.048272,52.272727,0.923720,-0.015204,0.944703,-0.081669,0.735626,-17.967101,17.967101
DOM2,BUY,NEITHER,985,0.051660,51.979695,1.090753,0.011674,1.043990,-0.054197,0.819139,-53.330227,57.571443
DOM2,SELL,BOTH,827,0.102593,53.567110,1.172459,0.050873,1.203478,-0.011410,0.959409,-9.413605,30.794894
DOM2,SELL,H1_ONLY,323,0.016801,53.250774,1.026738,0.022678,1.085436,-0.040568,0.862892,-13.103585,21.205718
DOM2,SELL,H4_ONLY,271,-0.239834,48.708487,0.705548,-0.033526,0.885866,-0.096875,0.704214,-26.253067,29.766412
DOM2,SELL,NEITHER,596,0.067554,52.013423,1.108551,0.055095,1.213113,-0.016642,0.943594,-9.918473,17.176523
DOM_CONT,BUY,BOTH,358,0.011516,51.675978,1.018217,0.019348,1.072378,-0.050765,0.833016,-18.173721,29.870815
DOM_CONT,BUY,H1_ONLY,282,-0.020096,49.645390,0.967538,-0.033742,0.880784,-0.096194,0.695248,-27.126829,29.234815
DOM_CONT,BUY,H4_ONLY,112,0.153772,56.250000,1.262363,0.090351,1.385776,0.023482,1.088130,2.629970,4.540220
DOM_CONT,BUY,NEITHER,567,0.049809,49.735450,1.079798,0.016767,1.062707,-0.047253,0.843438,-26.792525,30.027657
DOM_CONT,SELL,BOTH,460,0.062577,51.521739,1.096294,0.026940,1.097340,-0.032569,0.894072,-14.981637,31.411702
DOM_CONT,SELL,H1_ONLY,185,0.025837,48.108108,1.047123,0.017814,1.075052,-0.042686,0.842099,-7.896895,14.996398
DOM_CONT,SELL,H4_ONLY,143,-0.032841,51.748252,0.946276,-0.022178,0.921352,-0.087690,0.722792,-12.539679,17.476920
DOM_CONT,SELL,NEITHER,296,-0.104472,46.283784,0.855361,-0.030067,0.901310,-0.098490,0.712336,-29.153019,31.947641
MIX2,BUY,BOTH,411,0.039558,49.878345,1.065828,0.009284,1.035319,-0.064846,0.785096,-26.651597,30.818778
MIX2,BUY,H1_ONLY,308,-0.187323,47.077922,0.739736,-0.075196,0.753884,-0.138971,0.592436,-42.803013,42.817854
MIX2,BUY,H4_ONLY,239,0.227686,56.485356,1.436616,0.089700,1.368864,0.022962,1.084005,5.487879,6.577922
MIX2,BUY,NEITHER,928,-0.019790,48.491379,0.967388,-0.007722,0.971146,-0.072006,0.762334,-66.821104,71.500834
MIX2,SELL,BOTH,693,0.049633,49.927850,1.077702,0.033339,1.124593,-0.028252,0.905832,-19.522453,41.331825
MIX2,SELL,H1_ONLY,231,0.267129,56.709957,1.501205,0.107012,1.455656,0.037147,1.138411,8.580975,7.809577
MIX2,SELL,H4_ONLY,293,-0.045715,50.170648,0.935388,-0.007587,0.974379,-0.070816,0.783575,-20.748942,20.855775
MIX2,SELL,NEITHER,585,0.075686,52.820513,1.123293,0.059976,1.238478,-0.011005,0.961532,-6.426738,25.413784
MIXED,BUY,BOTH,410,-0.016357,46.585366,0.973385,-0.011393,0.958114,-0.080813,0.738970,-33.133241,33.133241
MIXED,BUY,H1_ONLY,336,-0.025371,47.321429,0.958750,-0.017150,0.936945,-0.077770,0.746855,-26.130640,26.933838
MIXED,BUY,H4_ONLY,207,-0.046993,49.275362,0.925295,-0.046582,0.845101,-0.113619,0.662627,-23.519099,24.982428
MIXED,BUY,NEITHER,887,-0.046991,49.605411,0.931330,0.006184,1.022460,-0.054660,0.821721,-48.429122,58.000675
