leg,side,bucket,n,ev5,wr,pf5,grossEV,grossPF,netEV,netPF,sumR,maxDD
BASE1,BUY,BOTH,4429,0.033784,51.072477,1.051840,-0.009240,0.969330,-0.163685,0.580490,-724.305878,725.693020
BASE1,BUY,H1_ONLY,1540,0.021140,51.298701,1.032605,-0.005762,0.980400,-0.126738,0.649654,-195.176316,199.355982
BASE1,BUY,H4_ONLY,1412,-0.036517,50.283286,0.949409,-0.003519,0.988315,-0.139197,0.631400,-196.407372,201.169996
BASE1,BUY,NEITHER,3196,0.029976,51.001252,1.045160,-0.008440,0.972147,-0.130538,0.648670,-416.938362,428.408373
BASE1,SELL,BOTH,2511,-0.056883,48.546396,0.917380,0.000563,1.002001,-0.117942,0.660920,-296.153303,302.498859
BASE1,SELL,H1_ONLY,1503,-0.096025,47.837658,0.866060,-0.026750,0.911347,-0.160978,0.576783,-241.788668,247.371219
BASE1,SELL,H4_ONLY,1234,-0.096084,47.730956,0.859490,-0.036980,0.875341,-0.158493,0.566834,-195.580441,198.728024
BASE1,SELL,NEITHER,5314,-0.113645,47.327813,0.842301,-0.017246,0.940716,-0.166664,0.558637,-885.154107,886.158212
DOM2,BUY,BOTH,2225,0.001066,49.797753,1.001588,-0.026966,0.914773,-0.178362,0.558791,-396.498070,399.373544
DOM2,BUY,H1_ONLY,738,-0.052910,48.915989,0.917739,-0.036609,0.873327,-0.160060,0.555444,-118.124443,119.962436
DOM2,BUY,H4_ONLY,655,-0.122515,48.854962,0.838351,-0.044498,0.860911,-0.178747,0.550481,-117.079413,117.565735
DOM2,BUY,NEITHER,1478,-0.002797,49.932341,0.995971,-0.005633,0.981082,-0.128511,0.648944,-189.810572,191.257434
DOM2,SELL,BOTH,1283,-0.080583,46.921278,0.886504,-0.023728,0.920810,-0.141825,0.614428,-181.820268,184.993237
DOM2,SELL,H1_ONLY,789,-0.134927,48.922687,0.819401,-0.027789,0.905840,-0.163351,0.564242,-128.883742,135.904133
DOM2,SELL,H4_ONLY,560,-0.162260,46.785714,0.776338,-0.061593,0.799405,-0.178272,0.528139,-99.832275,106.698113
DOM2,SELL,NEITHER,2483,-0.124157,48.127265,0.829887,-0.019469,0.933258,-0.168884,0.555155,-419.001092,422.619006
