variant,tf,path_mode,N,WR,EV_actual_R,EV_base_1pct_R,PF,sum_usd,final_balance,max_DD_pct_trade_sequence,max_consecutive_losses,median_risk_utilization,trading_days,trades_per_trading_day
AK47_SCALPER_V1,TICK,mirror,63,0.9206349206349206,0.14282507615844103,,4.83333333333387,276.0000000000491,100276.00000000016,0.023929646838295373,1,,1,63.0
AK47_SCALPER_V1,TICK,primary,53,0.9811320754716981,0.18633504859919095,,51.99999999992269,305.9999999999536,100306.00000000004,0.005993167788735396,1,,1,53.0
AK47_UPD4_V19,H1,mirror,1001,0.975024975024975,0.11143800643800655,0.06905354889516233,5.729693477924462,99331.84000000005,199331.8400000002,0.8765754464014264,2,0.6440559149308043,446,2.2443946188340806
AK47_UPD4_V19,H1,primary,1001,0.975024975024975,0.11521589521589529,0.07074388261058585,5.887874829582364,102716.49000000021,202716.49000000025,0.876350583142844,2,0.6353020402372072,446,2.2443946188340806
AK47_UPD4_V19,M15,mirror,1120,0.9642857142857143,0.16633858465608528,0.08623392978670945,5.998776503503507,162159.3850000006,262159.3850000008,0.968771414056095,2,0.4806999215367397,263,4.258555133079848
AK47_UPD4_V19,M15,primary,1113,0.9649595687331537,0.17304691025257124,0.08873572929855088,6.350365807693782,167930.38000000047,267930.3800000008,0.9669586885124346,2,0.47033048189381704,263,4.231939163498099
AK47_UPD_V15,H1,mirror,9603,0.9802145162969905,0.07903800895553488,0.0653926553624333,6.370929223534896,52297486.02000009,52397486.02000012,3.0204739248908257,2,0.9985450112334653,1066,9.00844277673546
AK47_UPD_V15,H1,primary,9599,0.9801020939681216,0.0811081015383548,0.06599222929010251,6.672462082549956,55269802.66000008,55369802.660000086,3.0218794596816636,2,0.9985229870073539,1066,9.0046904315197
AK47_UPD_V15,M15,mirror,26753,0.9790303891152394,0.07913624640227274,0.02939605029568944,5.369052583908227,255977350.11000028,256077350.1100001,2.5818543950284405,2,0.6993079368933329,1062,25.19114877589454
AK47_UPD_V15,M15,primary,26735,0.9790910791097812,0.08137774452964286,0.029540917357895945,5.632187501392746,264776637.7900002,264876637.79000017,2.378890690836544,2,0.6372943983436035,1062,25.174199623352166
