module,signal_time,entry_time,dir,level_price,raid_price,reclaim_close,entry,sl,tp,qScore,reclaimCP,h1bias,h4bias,d1bias,sweepATR,slATR,entryLag,raidLag,exit_time,exit_reason,R_raw,R_net
NYBUY,2025-12-22 19:40:00,2025-12-22 19:40:00,BUY,4435.2,4433.63,4436.78,4437.360000000001,4432.979302783994,4459.263486080033,93,0.8936567164178066,1,1,1,0.3619194829902559,1.0098469245568074,3,0,2025-12-22 20:40:00,SL,-1.0,-1.05
NYBUY,2025-12-23 18:50:00,2025-12-23 18:50:00,BUY,4469.45,4466.02,4470.04,4470.860000000001,4465.133204354754,4499.493978226235,100,0.8322981366458774,1,1,1,0.5801787624439035,0.9686779038568863,1,0,2025-12-23 22:55:00,TP,5.0,4.95
NYBUY,2026-01-05 16:05:00,2026-01-05 16:05:00,BUY,4419.31,4411.3,4422.39,4423.25,4410.461254692902,4487.19372653549,93,0.8669796557121233,1,1,1,1.432496837635082,2.2871207502793856,2,0,2026-01-06 16:50:00,TP,5.0,4.95
NYBUY,2026-01-06 16:00:00,2026-01-06 16:00:00,BUY,4466.75,4464.93,4467.95,4468.31,4464.228830506064,4488.715847469684,93,0.8961424332343101,1,1,1,0.3893495115816322,0.8730776643661162,1,0,2026-01-06 16:55:00,TP,5.0,4.95
LONBUY,2026-01-09 15:25:00,2026-01-09 15:25:00,BUY,4464.03,4463.31,4472.17,4473.7300000000005,4462.733292751484,4528.713536242585,80,0.8660328435609249,1,1,1,0.1872700582100098,2.860213897986219,2,0,2026-01-09 15:30:00,SL,-1.0,-1.05
NYBUY,2026-01-09 20:40:00,2026-01-09 20:40:00,BUY,4501.94,4491.15,4503.73,4504.13,4490.28396155635,4573.360192218252,93,0.880733944954011,1,1,1,1.868854681761632,2.398168097244436,2,0,2026-01-12 02:30:00,TP,5.0,4.95
NYBUY,2026-01-13 17:40:00,2026-01-13 17:40:00,BUY,4611.59,4603.32,4612.49,4613.97,4602.052848385092,4673.555758074541,100,0.834831460674122,1,1,1,0.9789673038382908,1.410701546055394,5,0,2026-01-13 18:25:00,SL,-1.0,-1.05
NYBUY,2026-01-20 17:45:00,2026-01-20 17:45:00,BUY,4728.32,4722.4,4733.45,4735.52,4721.229107559742,4806.974462201291,100,0.8410493827160189,1,1,1,0.7583958777674207,1.830769242619808,4,0,2026-01-21 03:10:00,TP,5.0,4.95
LONBUY,2026-01-22 15:25:00,2026-01-22 15:25:00,BUY,4832.58,4820.68,4834.02,4834.18,4820.072408142574,4904.717959287131,83,0.9791376912378824,1,1,1,2.937827388868752,3.482829390733564,3,0,2026-01-22 15:30:00,SL,-1.0,-1.05
LONBUY,2026-01-23 15:05:00,2026-01-23 15:05:00,BUY,4936.31,4933.43,4943.56,4944.75,4932.658049934192,5005.2097503290415,93,0.8956675508400146,1,1,1,0.5596216894517346,2.34962414048382,1,0,2026-01-23 15:20:00,SL,-1.0,-1.05
