month,N,EV_execution_net,sumR
2023-01,5,0.166600,0.833
2023-02,0,0.000000,0.000
2023-03,2,-1.570500,-3.141
2023-04,1,-0.026000,-0.026
2023-05,0,0.000000,0.000
2023-06,0,0.000000,0.000
2023-07,2,-1.144000,-2.288
2023-08,0,0.000000,0.000
2023-09,0,0.000000,0.000
2023-10,4,-0.621750,-2.487
2023-11,2,-1.216500,-2.433
2023-12,3,-0.113667,-0.341
2024-01,0,0.000000,0.000
2024-02,1,-0.730000,-0.730
2024-03,2,1.492500,2.985
2024-04,7,0.621286,4.349
2024-05,2,-1.231000,-2.462
2024-06,2,2.539000,5.078
2024-07,5,-0.900600,-4.503
2024-08,7,0.377571,2.643
2024-09,8,0.455500,3.644
2024-10,6,3.580500,21.483
2024-11,1,-1.851000,-1.851
2024-12,1,-1.280000,-1.280
2025-01,7,0.688571,4.820
2025-02,4,3.254000,13.016
2025-03,8,1.049500,8.396
2025-04,3,0.583000,1.749
2025-05,1,4.645000,4.645
2025-06,5,0.050200,0.251
2025-07,1,4.454000,4.454
2025-08,2,-0.610000,-1.220
2025-09,5,1.124600,5.623
2025-10,8,2.462375,19.699
2025-11,3,4.414000,13.242
2025-12,3,0.777667,2.333
2026-01,11,1.964909,21.614
2026-02,9,3.051556,27.464
2026-03,0,0.000000,0.000
2026-04,3,0.570667,1.712
2026-05,1,4.433000,4.433
2026-06,0,0.000000,0.000
2026-07,0,0.000000,0.000
