regime,bias,n,mean_excess,mean_R
EXPANSION,BEAR,9228,0.030163047182734007,-0.0619458617177709
EXPANSION,BULL,37400,-0.02324932346786029,-0.08317188028588207
EXPANSION,NEUTRAL,16153,-0.032081879889973415,-0.10113383482373182
PULLBACK,BEAR,37732,-0.023907446811821588,-0.13478862319873783
PULLBACK,BULL,77370,-0.02590919410957295,-0.09345043820585654
PULLBACK,NEUTRAL,54544,-0.030863761730011895,-0.10866021667438747
RANGE,BEAR,3048,-0.04422031646853016,-0.1552539658895557
RANGE,BULL,2136,-0.036140431206388865,-0.10672572591723316
RANGE,NEUTRAL,24070,-0.025323191174820594,-0.11817385765945788
REVERSAL,NEUTRAL,1724,-0.030882613443574645,-0.11476280586418826
