variant,dimension,n,mean_excess,mean_R,p_excess_pos,year,tf,dir
BASELINE,year,27544,-0.011733774886069541,-0.11207388615697286,0.3042767934940459,2022.0,,
BASELINE,year,64970,-0.025712314493172257,-0.11011431846818842,0.3061412959827613,2023.0,,
BASELINE,year,66602,-0.027324316876608003,-0.11117989057930007,0.30430017116603103,2024.0,,
BASELINE,year,66664,-0.031464795098490525,-0.09113703682103651,0.3088323532941318,2025.0,,
BASELINE,year,37625,-0.017624046697254155,-0.09516997594468063,0.30774750830564784,2026.0,,
BASELINE,tf,13055,-0.026131860789774017,-0.04563948136230334,0.3184986595174263,,H1,
BASELINE,tf,61676,-0.03254986569630441,-0.09300416492108622,0.31229327453142225,,M15,
BASELINE,tf,188674,-0.02239606527043121,-0.11114554695531345,0.30362424075389294,,M5,
BASELINE,dir,118263,-0.025345624463699853,-0.1437946163675937,0.29261899326078317,,,-1.0
BASELINE,dir,145142,-0.024643470478418188,-0.07094183982323421,0.31761309614033156,,,1.0
BASELINE,year_dir,12391,0.0012749859998394902,-0.1194992621498941,0.3005407150351061,2022.0,,-1.0
BASELINE,year_dir,15153,-0.022371375106309682,-0.10600196416606102,0.3073318814756154,2022.0,,1.0
BASELINE,year_dir,29217,-0.025339315298062038,-0.13513705260168032,0.29794297840298456,2023.0,,-1.0
BASELINE,year_dir,35753,-0.026017125767290105,-0.0896659862113643,0.31284088048555364,2023.0,,1.0
BASELINE,year_dir,29824,-0.014238533720791367,-0.2029509620490667,0.2743763412017167,2024.0,,-1.0
BASELINE,year_dir,36778,-0.037935834545841665,-0.03676093262850553,0.32856599053782154,2024.0,,1.0
BASELINE,year_dir,29801,-0.04530234860508306,-0.16711400577487448,0.2833461964363612,2025.0,,-1.0
BASELINE,year_dir,36863,-0.02027815993450594,-0.029715295459961034,0.32943601985730947,2025.0,,1.0
BASELINE,year_dir,17030,-0.02925448279166803,-0.03191979530650031,0.3258954785672343,2026.0,,-1.0
BASELINE,year_dir,20595,-0.008006842196750734,-0.14747153342310798,0.2927409565428502,2026.0,,1.0
PRIMARY_PULLBACK_EXPANSION,year,26039,-0.010100096135755734,-0.11037060603734178,0.3048504166826683,2022.0,,
PRIMARY_PULLBACK_EXPANSION,year,59986,-0.023853191386391765,-0.10695759827694454,0.3070883206081419,2023.0,,
PRIMARY_PULLBACK_EXPANSION,year,54691,-0.028020955258849026,-0.10874011013632545,0.3051141869777477,2024.0,,
PRIMARY_PULLBACK_EXPANSION,year,59423,-0.03261327974969937,-0.08934067985517473,0.3093246722649479,2025.0,,
PRIMARY_PULLBACK_EXPANSION,year,32288,-0.016575041096084892,-0.09331181485363117,0.30850470763131815,2026.0,,
PRIMARY_PULLBACK_EXPANSION,tf,11350,-0.03266060135090941,-0.046873899726703076,0.3181497797356828,,H1,
PRIMARY_PULLBACK_EXPANSION,tf,54393,-0.03149329894953495,-0.08855227213100066,0.31397422462449215,,M15,
PRIMARY_PULLBACK_EXPANSION,tf,166684,-0.021692478103637124,-0.10924926604485978,0.30416236711382016,,M5,
PRIMARY_PULLBACK_EXPANSION,dir,104296,-0.0191533842141714,-0.1390413035178027,0.29405729845823425,,,-1.0
PRIMARY_PULLBACK_EXPANSION,dir,128131,-0.028891372855283325,-0.07068777555508235,0.3177919473039311,,,1.0
PRIMARY_PULLBACK_EXPANSION,year_dir,11717,0.00707011827327297,-0.11720282362662014,0.30118631048903305,2022.0,,-1.0
PRIMARY_PULLBACK_EXPANSION,year_dir,14322,-0.024147254509627365,-0.1047810868714729,0.307848065912582,2022.0,,1.0
PRIMARY_PULLBACK_EXPANSION,year_dir,26967,-0.018569847054634357,-0.1302274593506972,0.2996625505247154,2023.0,,-1.0
PRIMARY_PULLBACK_EXPANSION,year_dir,33019,-0.028168159937665353,-0.08795283303342148,0.3131530331021533,2023.0,,1.0
PRIMARY_PULLBACK_EXPANSION,year_dir,24456,-0.004211966381104077,-0.1989618843057168,0.2756378802747792,2024.0,,-1.0
PRIMARY_PULLBACK_EXPANSION,year_dir,30235,-0.04727918684456527,-0.03576297406598862,0.328956507359021,2024.0,,1.0
PRIMARY_PULLBACK_EXPANSION,year_dir,26551,-0.04013016576066012,-0.1643697940823384,0.2837557907423449,2025.0,,-1.0
PRIMARY_PULLBACK_EXPANSION,year_dir,32872,-0.026541825610096707,-0.028739012422544438,0.32997688001946945,2025.0,,1.0
PRIMARY_PULLBACK_EXPANSION,year_dir,14605,-0.028153713752774177,-0.02645314383352355,0.32755905511811023,2026.0,,-1.0
PRIMARY_PULLBACK_EXPANSION,year_dir,17683,-0.007011815729860447,-0.14853269876748468,0.2927670644121473,2026.0,,1.0
STRICT_DIRECTION_MATCH,year,8973,-0.035726560075895794,-0.06780299735531851,0.3159478435305918,2022.0,,
STRICT_DIRECTION_MATCH,year,20928,-0.031475046940057684,-0.06335859694785555,0.31899847094801226,2023.0,,
STRICT_DIRECTION_MATCH,year,19983,-0.05918354526174344,-0.04114740091046942,0.32747835660311264,2024.0,,
STRICT_DIRECTION_MATCH,year,23767,-0.027286360040329073,-0.024652734640631294,0.3312576261202508,2025.0,,
STRICT_DIRECTION_MATCH,year,10837,-0.057353765366663256,-0.034354372238844445,0.3268432222939928,2026.0,,
STRICT_DIRECTION_MATCH,tf,4074,-0.08183016171580008,0.08548016052616347,0.36180657830142365,,H1,
STRICT_DIRECTION_MATCH,tf,19716,-0.07053412936290246,-0.037082954065023065,0.32856563197403127,,M15,
STRICT_DIRECTION_MATCH,tf,60698,-0.02813897808652403,-0.054893934765259826,0.32155919470163763,,M5,
STRICT_DIRECTION_MATCH,dir,21096,-0.04239762529324246,-0.0900177440224259,0.3105328024270004,,,-1.0
STRICT_DIRECTION_MATCH,dir,63392,-0.04003007259683789,-0.028644293804376716,0.3299943210499748,,,1.0
STRICT_DIRECTION_MATCH,year_dir,4534,0.021429355320169097,-0.06589384501951906,0.3160564622849581,2022.0,,-1.0
STRICT_DIRECTION_MATCH,year_dir,4439,-0.09410568159104746,-0.0697530078735692,0.31583690020274835,2022.0,,1.0
STRICT_DIRECTION_MATCH,year_dir,7361,-0.026412529743258646,-0.10768126440905879,0.30743105556310285,2023.0,,-1.0
STRICT_DIRECTION_MATCH,year_dir,13567,-0.034221799286607235,-0.03931060143065078,0.32527456327854354,2023.0,,1.0
STRICT_DIRECTION_MATCH,year_dir,2577,-0.1279197907920377,-0.27584329764546167,0.2561117578579744,2024.0,,-1.0
STRICT_DIRECTION_MATCH,year_dir,17406,-0.0490069794377995,-0.006400111131882998,0.3380443525221188,2024.0,,1.0
STRICT_DIRECTION_MATCH,year_dir,276,-0.3284602519186022,-0.41910030525041864,0.1956521739130435,2025.0,,-1.0
STRICT_DIRECTION_MATCH,year_dir,23491,-0.02374781361155195,-0.020018298921066296,0.33285087906006555,2025.0,,1.0
STRICT_DIRECTION_MATCH,year_dir,6348,-0.05936579054302888,0.002978893355065325,0.3372715816005041,2026.0,,-1.0
STRICT_DIRECTION_MATCH,year_dir,4489,-0.054508513457648095,-0.08714821719098062,0.31209623524170194,2026.0,,1.0
NEG_CONTROL_REVERSAL_RANGE,year,1505,-0.0399991310185753,-0.1415434615955599,0.2943521594684385,2022.0,,
NEG_CONTROL_REVERSAL_RANGE,year,4984,-0.048088189028351755,-0.1481077007699451,0.29474317817014445,2023.0,,
NEG_CONTROL_REVERSAL_RANGE,year,11911,-0.02412560562120176,-0.1223824791282652,0.3005625052472504,2024.0,,
NEG_CONTROL_REVERSAL_RANGE,year,7241,-0.022039798077528917,-0.10587877414770483,0.30479215577958846,2025.0,,
NEG_CONTROL_REVERSAL_RANGE,year,5337,-0.023970363513921483,-0.10641155460456544,0.3031665729810755,2026.0,,
NEG_CONTROL_REVERSAL_RANGE,tf,1705,0.017329256728634616,-0.037422092250316875,0.32082111436950145,,H1,
NEG_CONTROL_REVERSAL_RANGE,tf,7283,-0.040440822040809586,-0.12625307396009805,0.29973911849512563,,M15,
NEG_CONTROL_REVERSAL_RANGE,tf,21990,-0.027729249595574653,-0.1255193390097955,0.29954524783992725,,M5,
NEG_CONTROL_REVERSAL_RANGE,dir,13967,-0.07158503801455683,-0.17928910458852904,0.281878714111835,,,-1.0
NEG_CONTROL_REVERSAL_RANGE,dir,17011,0.007352766042074803,-0.07285551384254907,0.31626594556463467,,,1.0
NEG_CONTROL_REVERSAL_RANGE,year_dir,674,-0.09946917549544254,-0.15942117635939124,0.2893175074183976,2022.0,,-1.0
NEG_CONTROL_REVERSAL_RANGE,year_dir,831,0.008235297353757439,-0.12704336562585797,0.29843561973525873,2022.0,,1.0
NEG_CONTROL_REVERSAL_RANGE,year_dir,2250,-0.1064736486849573,-0.19398016424579656,0.2773333333333333,2023.0,,-1.0
NEG_CONTROL_REVERSAL_RANGE,year_dir,2734,-3.8706867648573436e-05,-0.1103560391676533,0.30907095830285297,2023.0,,1.0
NEG_CONTROL_REVERSAL_RANGE,year_dir,5368,-0.05991843887343521,-0.2211247484297236,0.268628912071535,2024.0,,-1.0
NEG_CONTROL_REVERSAL_RANGE,year_dir,6543,0.0052395065441641605,-0.041372468183709384,0.3267614244230475,2024.0,,1.0
NEG_CONTROL_REVERSAL_RANGE,year_dir,3250,-0.0875566952827056,-0.18953294874365167,0.28,2025.0,,-1.0
NEG_CONTROL_REVERSAL_RANGE,year_dir,3991,0.03131272407652374,-0.03775648213146147,0.32498120771736405,2025.0,,1.0
NEG_CONTROL_REVERSAL_RANGE,year_dir,2425,-0.035884062920758714,-0.06484369005405727,0.31587628865979384,2026.0,,-1.0
NEG_CONTROL_REVERSAL_RANGE,year_dir,2912,-0.014049099413104062,-0.14102765059872147,0.2925824175824176,2026.0,,1.0
