reaccel_decile,n,tp15_rate,ev,mean_x_end,mean_digestion_change
D1,236,0.3644067796610169,-0.09075143003776465,1.0702710442230488,-0.7367863074149992
D2,235,0.3659574468085106,-0.09988602308434281,0.9555445733712762,-0.4082940392712627
D3,235,0.34893617021276596,-0.15342373172604862,0.9744543329603788,-0.3331182013592024
D4,236,0.2838983050847458,-0.2722452119145165,1.0367273621620894,-0.2137877941673085
D5,235,0.30638297872340425,-0.22543702137660104,1.0459573467634475,-0.13757378640917134
D6,235,0.34893617021276596,-0.13365372814109183,1.0019156419139634,-0.05846573508586963
D7,236,0.326271186440678,-0.16474334018955025,1.1293147845533273,-0.0025987108193522824
D8,235,0.35319148936170214,-0.11159358416979744,1.1438222064793169,0.061434839146357195
D9,235,0.33617021276595743,-0.1673837991575698,1.2863011187022053,0.1773556840262243
D10,236,0.2966101694915254,-0.30149280994220146,1.9378053342781414,0.42526247571437686
