model,class,quintile,n,mean_p,actual_rate
min,SL,Q1,5400,0.11513351752387055,0.16722222222222222
min,SL,Q2,5401,0.3357124301525878,0.3806702462506943
min,SL,Q3,5401,0.5277117470539979,0.4993519718570635
min,SL,Q4,5401,0.7101279626489937,0.5934086280318459
min,SL,Q5,5401,0.8963300798657641,0.7559711164599149
min,TIME,Q1,5400,0.0018822062381414998,0.030555555555555555
min,TIME,Q2,5401,0.005370858886221813,0.05184225143491946
min,TIME,Q3,5401,0.014663071474383121,0.07905943343825217
min,TIME,Q4,5401,0.05399147799097554,0.1421958896500648
min,TIME,Q5,5401,0.41923522967985727,0.3904832438437326
min,TP,Q1,5400,0.06804016141192885,0.1487037037037037
min,TP,Q2,5401,0.19608332625693042,0.2629142751342344
min,TP,Q3,5401,0.34411025772743054,0.3504906498796519
min,TP,Q4,5401,0.5166507739119172,0.4576930198111461
min,TP,Q5,5401,0.7948060115423347,0.689316793186447
full,SL,Q1,5400,0.1280438179106129,0.20796296296296296
full,SL,Q2,5401,0.33758618605997,0.369561192371783
full,SL,Q3,5401,0.5359483675663728,0.4730605443436401
full,SL,Q4,5401,0.7237858627187018,0.5982225513793742
full,SL,Q5,5401,0.9014905147851262,0.7478244769487132
full,TIME,Q1,5400,0.0013208416276935273,0.010185185185185186
full,TIME,Q2,5401,0.004305903209698146,0.03406776522866136
full,TIME,Q3,5401,0.01221668953696971,0.07091279392705055
full,TIME,Q4,5401,0.049040757259279644,0.18033697463432696
full,TIME,Q5,5401,0.37893821258988264,0.39862988335493427
full,TP,Q1,5400,0.06897887598348557,0.16185185185185186
full,TP,Q2,5401,0.1915213021345193,0.25661914460285135
full,TP,Q3,5401,0.3396847147318949,0.3364191816330309
full,TP,Q4,5401,0.527271186337326,0.47398629883354937
full,TP,Q5,5401,0.799718340134196,0.6802443991853361
