clock,model,family,n_discovery,n_confirmation,auc_discovery_in,auc_discovery_oof,auc_confirmation,brier_confirmation,base_confirmation
5,SNAPSHOT,VWAP_VOLUME,13272,11819,0.5127878789255185,0.4960098700048146,0.5026579510612528,0.25019203433950293,0.5087570860478889
5,SEQUENCE,VWAP_VOLUME,13272,11819,0.5236761112271873,0.4979316821249807,0.5028060112493662,0.2506220299647383,0.5087570860478889
5,MULTISCALE,VWAP_VOLUME,13272,11819,0.5333231211562395,0.510295282564657,0.5080038433205263,0.2507085337960421,0.5087570860478889
5,SEQUENCE,ANCHOR_MEAN,12671,11432,0.5283650296363996,0.5115113422747294,0.5035724270155088,0.250529368634299,0.5055108467459762
15,SNAPSHOT,VWAP_VOLUME,13245,11790,0.512601145667729,0.5026806412215105,0.5058246431328939,0.2500795591127114,0.4981340118744699
15,SEQUENCE,VWAP_VOLUME,13245,11790,0.5293876395317477,0.5063221771170898,0.49694518424907397,0.25078292341372826,0.4981340118744699
15,MULTISCALE,VWAP_VOLUME,13245,11790,0.5338159589597511,0.509797582345039,0.4980032684958775,0.25100053713607606,0.4981340118744699
15,SEQUENCE,ANCHOR_MEAN,12675,11378,0.5268127167475201,0.49805961437882684,0.4991545574106114,0.25062380389986394,0.5003515556336791
30,SNAPSHOT,VWAP_VOLUME,13153,11756,0.5125664459033729,0.5074676888786028,0.5050718363258478,0.25019679345827317,0.4977883633889078
30,SEQUENCE,VWAP_VOLUME,13153,11756,0.5321430005196716,0.5076920967184839,0.5012382848751591,0.2509572283220759,0.4977883633889078
30,MULTISCALE,VWAP_VOLUME,13153,11756,0.5346943909325172,0.5061100491976726,0.4997134894238553,0.25120545288989676,0.4977883633889078
30,SEQUENCE,ANCHOR_MEAN,12609,11344,0.5336573389254323,0.5086486898581604,0.5022283374045092,0.25098311266333245,0.5014985895627645
