method,filled,fill_bar,entry,price_improvement_vs_mkt0,rev_return,mfe,mae,event_row,event_time,split,impulse_dir
MKT_0,True,2025.0,30462.5,,-0.07049519901518253,0.008034140336479331,0.1104318424292162,3,2021-01-22 02:00:00+00:00,DEV_2021_2024,1.0
MKT_15,True,2026.0,30468.72,,-0.07027666406727939,0.006096416259035496,0.11020515466353682,3,2021-01-22 02:00:00+00:00,DEV_2021_2024,1.0
MKT_30,True,2027.0,30565.56,,-0.06688573675731768,0.009245372896815898,0.1066877230451527,3,2021-01-22 02:00:00+00:00,DEV_2021_2024,1.0
MKT_60,True,2029.0,30505.33,,-0.06899220562439412,0.0072892179825624105,0.10887277731465278,3,2021-01-22 02:00:00+00:00,DEV_2021_2024,1.0
LIMIT_R0.50_T60,False,,,,,,,3,2021-01-22 02:00:00+00:00,DEV_2021_2024,1.0
LIMIT_R0.25_T60_AUDIT,True,2026.0,30663.58,0.006600902749281962,-0.06347530197061135,0.012412444991745927,0.1031500561904382,3,2021-01-22 02:00:00+00:00,DEV_2021_2024,1.0
LIMIT_R1.00_T60_AUDIT,False,,,,,,,3,2021-01-22 02:00:00+00:00,DEV_2021_2024,1.0
MKT_0,True,5038.0,53534.06,,-0.10927043456072627,0.02718643047062004,0.1614205984003455,14,2021-02-22 12:30:00+00:00,DEV_2021_2024,-1.0
MKT_15,True,5039.0,53784.14,,-0.11341205790405862,0.022410323935643475,0.16531973923911403,14,2021-02-22 12:30:00+00:00,DEV_2021_2024,-1.0
MKT_30,True,5040.0,53517.24,,-0.10899048605645578,0.027509266172919253,0.16115704023600622,14,2021-02-22 12:30:00+00:00,DEV_2021_2024,-1.0
MKT_60,True,5042.0,53200.0,,-0.10367725563909769,0.03363646616541352,0.15615488721804516,14,2021-02-22 12:30:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.50_T60,True,5038.0,53311.384999999995,0.004159501446368965,-0.10554996836041663,0.031476859961526125,0.15791795692421043,14,2021-02-22 12:30:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.25_T60_AUDIT,True,5038.0,53422.722499999996,0.0020797507231844824,-0.10741407834465933,0.029327174405984327,0.1596729275637347,14,2021-02-22 12:30:00+00:00,DEV_2021_2024,-1.0
LIMIT_R1.00_T60_AUDIT,True,5038.0,53088.71,0.008319002892737792,-0.1017982919532231,0.035803280961243925,0.154385932526897,14,2021-02-22 12:30:00+00:00,DEV_2021_2024,-1.0
MKT_0,True,5064.0,53517.69,,0.12071429091950725,0.161164093592231,0.027500626428382777,15,2021-02-22 19:00:00+00:00,DEV_2021_2024,1.0
MKT_15,True,5065.0,53440.49,,0.11944407695363579,0.15995231331149848,0.028984951298163645,15,2021-02-22 19:00:00+00:00,DEV_2021_2024,1.0
MKT_30,True,5066.0,53417.17,,0.11905965815860331,0.15958557894399875,0.02943416882624072,15,2021-02-22 19:00:00+00:00,DEV_2021_2024,1.0
MKT_60,True,5068.0,54227.25,,0.13221968659668348,0.17214020626161206,0.014055848305049566,15,2021-02-22 19:00:00+00:00,DEV_2021_2024,1.0
LIMIT_R0.50_T60,True,5067.0,53836.2,0.005951490058707593,0.12591639082996198,0.16612688116917612,0.021421645658497482,15,2021-02-22 19:00:00+00:00,DEV_2021_2024,1.0
LIMIT_R0.25_T60_AUDIT,True,5064.0,53676.94,0.0029756516023019676,0.12332297630975253,0.16365277156261152,0.024452213557628225,15,2021-02-22 19:00:00+00:00,DEV_2021_2024,1.0
LIMIT_R1.00_T60_AUDIT,True,5067.0,54154.72,0.011903166971519115,0.13105745907281963,0.17103144471986936,0.015413984228890815,15,2021-02-22 19:00:00+00:00,DEV_2021_2024,1.0
MKT_0,True,5094.0,51574.18,,-0.02944225191752925,0.017891123038698845,0.12955358669783995,16,2021-02-23 02:30:00+00:00,DEV_2021_2024,-1.0
MKT_15,True,5095.0,51218.75,,-0.022707114093959757,0.024954728492983556,0.1235131665649787,16,2021-02-23 02:30:00+00:00,DEV_2021_2024,-1.0
MKT_30,True,5096.0,52217.18,,-0.04139365626408775,0.005356857647234132,0.1402722245820246,16,2021-02-23 02:30:00+00:00,DEV_2021_2024,-1.0
MKT_60,True,5098.0,51508.06,,-0.028196363831213933,0.019197772154493954,0.1284362097893029,16,2021-02-23 02:30:00+00:00,DEV_2021_2024,-1.0
