sample,n,mean_net_atr,cum_net_atr,t,pf,dd_atr,stop_rate,long_n,short_n,window
2021,5,-1.5849685010070882,-7.924842505035441,-177.7659951073569,0.0,7.924842505035441,1.0,0,5,2021
2022,1,-1.5633989646768351,-1.5633989646768351,,0.0,1.5633989646768351,1.0,1,0,2022
2023,2,1.0739021138089773,2.1478042276179545,0.3770180483441744,2.2103658776698007,1.7745082435345187,0.5,1,1,2023
2024,1,1.4190610838821174,1.4190610838821174,,inf,0.0,0.0,0,1,2024
2025_H1,4,1.1485646415277457,4.594258566110983,0.7009352515914435,2.40926194309886,1.6839602335733588,0.5,3,1,2025_H1
2025_H2,2,2.0331003441032047,4.0662006882064095,0.5564318259991701,3.5088897653785627,1.6207171571736492,0.5,2,0,2025_H2
2026_JAN_JUL,1,-1.6403958921260164,-1.6403958921260164,,0.0,1.6403958921260164,1.0,1,0,2026_JAN_JUL
AUG2026_REUSED_AUDIT,1,-1.6659665042164136,-1.6659665042164136,,0.0,1.6659665042164136,1.0,0,1,AUG2026_REUSED_AUDIT
ALL_PRE_AUG,16,0.06866795024869822,1.0986872039791715,0.10113805971717724,1.0617798498166515,11.262749713246794,0.6875,8,8,ALL_PRE_AUG
POOLED_RECENT,3,0.8086015986934644,2.425804796080393,0.33150757958991034,1.7438579280780657,3.2611130492996656,0.6666666666666666,3,0,POOLED_RECENT
