slice,n,accept_rate,residual_mean,hit,long_n,short_n
2021,5,0.8,-0.5594264552363217,0.2,5,0
2022,4,0.75,-0.835226384211621,0.25,1,3
2023,8,0.875,5.273218856721639,0.625,5,3
2024,17,0.47058823529411764,-0.29892725570792694,0.6470588235294118,11,6
2025_H1,6,0.5,0.538641511709291,0.5,4,2
2025_H2,4,1.0,1.4613886897719655,0.5,3,1
2026_JAN_JUL,9,0.6666666666666666,-0.2477830213216729,0.3333333333333333,3,6
POOLED_RECENT,13,0.7692307692307693,0.27811596670713884,0.38461538461538464,6,7
AUG_REUSED,0,,,,0,0
LONG,32,0.71875,0.4246959946179364,0.46875,32,0
SHORT,21,0.5714285714285714,1.1534778334945168,0.5238095238095238,0,21
2022_SHORT,3,0.6666666666666666,-1.5061191017784132,0.0,0,3
