window,n,accept_rate,residual_mean,hit,long_n,short_n
2021,32,0.59375,1.7771083152559284,0.625,10,22
2022,39,0.6153846153846154,0.6387582041422503,0.5641025641025641,19,20
2023,42,0.5238095238095238,1.7177015773402133,0.5238095238095238,21,21
2024,41,0.6097560975609756,0.48691866815869916,0.5121951219512195,16,25
2025_H1,14,0.6428571428571429,-0.0164133052366972,0.5,2,12
2025_H2,15,0.8,2.000484070941797,0.5333333333333333,8,7
2026_JAN_JUL,29,0.6896551724137931,0.03261627631222864,0.4482758620689655,15,14
POOLED_RECENT,44,0.7272727272727273,0.7034802972086723,0.4772727272727273,23,21
AUG_REUSED,1,0.0,-3.1732411262436955,0.0,0,1
LONG,91,0.6153846153846154,0.9314039825654049,0.5274725274725275,91,0
SHORT,121,0.6198347107438017,0.9905103477929676,0.5371900826446281,0,121
2022_SHORT,20,0.65,1.6513062428345002,0.6,0,20
