window,n,resid_n,residual_mean,hit,impact_median,long_n,short_n
2021,62,62,0.6632954029381339,0.5806451612903226,0.9306921940841621,28,34
2022,50,50,0.17750843373228345,0.48,0.949574498860231,24,26
2023,44,44,2.296445545924607,0.5227272727272727,0.7488591158233742,26,18
2024,48,48,0.5615318406270063,0.5416666666666666,0.6973004799559205,26,22
2025_H1,16,16,-0.8227084662649955,0.4375,0.8390858945384627,3,13
2025_H2,26,26,0.6081633758870908,0.5384615384615384,0.8047093289714673,14,12
2026_JAN_JUL,38,38,0.10324173571419344,0.42105263157894735,0.8082893518898147,20,18
POOLED_RECENT,64,64,0.30836615203443296,0.46875,0.805925392453357,34,30
AUG_REUSED,1,1,-3.1732411262436955,0.0,1.5037012665976313,0,1
LONG,141,141,0.5486923257651058,0.49645390070921985,0.8587628369285079,141,0
SHORT,143,143,0.7496737718646246,0.5314685314685315,0.822939213433668,0,143
2022_SHORT,26,26,0.6490686659642233,0.5,0.9705614941748527,0,26
