slice,router,n,accept_rate,residual_mean,hit
2021,HIGH_RESPONSE,82,0.7560975609756098,1.1231554958707608,0.5609756097560976
2021,LOW_RESPONSE,81,0.6296296296296297,-0.13639646898305519,0.4567901234567901
2022,HIGH_RESPONSE,79,0.6455696202531646,0.7841273221508651,0.4936708860759494
2022,LOW_RESPONSE,83,0.7469879518072289,0.3966205105230722,0.46987951807228917
2023,HIGH_RESPONSE,83,0.6385542168674698,0.47612432558020684,0.5301204819277109
2023,LOW_RESPONSE,85,0.5411764705882353,-0.043976275803626966,0.4470588235294118
2024,HIGH_RESPONSE,94,0.6808510638297872,0.6698382662913892,0.5106382978723404
2024,LOW_RESPONSE,86,0.686046511627907,-0.9716771383119741,0.4069767441860465
2025_H1,HIGH_RESPONSE,46,0.717391304347826,1.1066472115336023,0.5217391304347826
2025_H1,LOW_RESPONSE,41,0.6341463414634146,-0.1850222678655743,0.3902439024390244
2025_H2,HIGH_RESPONSE,44,0.75,0.06344856331888508,0.5227272727272727
2025_H2,LOW_RESPONSE,50,0.66,-0.2578292973208963,0.5
2026_JAN_JUL,HIGH_RESPONSE,47,0.7446808510638298,1.4705291325680803,0.5319148936170213
2026_JAN_JUL,LOW_RESPONSE,62,0.7419354838709677,-0.15193531684417771,0.5161290322580645
POOLED_RECENT,HIGH_RESPONSE,91,0.7472527472527473,0.7901824837003376,0.5274725274725275
POOLED_RECENT,LOW_RESPONSE,112,0.7053571428571429,-0.1992094152712843,0.5089285714285714
AUG_REUSED,HIGH_RESPONSE,1,0.0,-3.1732411262436955,0.0
AUG_REUSED,LOW_RESPONSE,0,,,
