month,status,rows,note
2020-12,200,2957,
2021-01,200,2976,
2021-02,200,2683,
2021-03,200,2970,
2021-04,200,2852,
2021-05,200,2976,
2021-06,200,2880,
2021-07,200,2976,
2021-08,200,2958,
2021-09,200,2872,
2021-10,200,2976,
2021-11,200,2880,
2021-12,200,2976,
2022-01,200,2976,
2022-02,200,2688,
2022-03,200,2976,
2022-04,200,2880,
2022-05,200,2976,
2022-06,200,2880,
2022-07,200,2976,
2022-08,200,2976,
2022-09,200,2880,
2022-10,200,2976,
2022-11,200,2880,
2022-12,200,2976,
2023-01,200,2976,
2023-02,200,2688,
2023-03,200,2971,
2023-04,200,2880,
2023-05,200,2976,
2023-06,200,2880,
2023-07,200,2976,
2023-08,200,2976,
2023-09,200,2880,
2023-10,200,2976,
2023-11,200,2880,
2023-12,200,2976,
2024-01,200,2976,
2024-02,200,2784,
2024-03,200,2976,
2024-04,200,2880,
2024-05,200,2976,
2024-06,200,2880,
2024-07,200,2976,
2024-08,200,2976,
2024-09,200,2880,
2024-10,200,2976,
2024-11,200,2880,
2024-12,200,2976,
2025-01,200,2976,
2025-02,200,2688,
2025-03,200,2976,
2025-04,200,2880,
2025-05,200,2976,
2025-06,200,2880,
2025-07,200,2976,
2025-08,200,2976,
2025-09,200,2880,
2025-10,200,2976,
2025-11,200,2880,
2025-12,200,2976,
2026-01,200,2976,
2026-02,200,2688,
2026-03,200,2976,
2026-04,200,2880,
2026-05,200,2976,
2026-06,200,2880,
2026-07,200,2976,
2026-08,200,2976,
