episode_id,start,end,duration_h,n_h4_bars,start_year
2,2024-01-22 16:00:00,2024-01-26 12:00:00,92.0,23,2024
4,2024-03-24 16:00:00,2024-03-25 16:00:00,24.0,6,2024
6,2024-04-22 16:00:00,2024-04-22 20:00:00,4.0,1,2024
8,2024-06-02 16:00:00,2024-06-03 16:00:00,24.0,6,2024
10,2024-06-24 16:00:00,2024-07-01 00:00:00,152.0,38,2024
12,2024-09-06 08:00:00,2024-09-09 20:00:00,84.0,21,2024
14,2025-03-19 12:00:00,2025-03-19 20:00:00,8.0,2,2025
16,2025-07-25 00:00:00,2025-08-07 12:00:00,324.0,81,2025
18,2025-10-17 16:00:00,2025-10-20 08:00:00,64.0,16,2025
20,2025-11-08 12:00:00,2025-11-10 04:00:00,40.0,10,2025
22,2025-11-22 12:00:00,2025-11-27 00:00:00,108.0,27,2025
24,2026-02-08 12:00:00,2026-02-08 16:00:00,4.0,1,2026
26,2026-05-23 12:00:00,2026-05-24 12:00:00,24.0,6,2026
28,2026-06-06 12:00:00,2026-06-14 00:00:00,180.0,45,2026
30,2026-06-27 16:00:00,2026-07-02 04:00:00,108.0,27,2026
32,2026-08-03 12:00:00,2026-08-04 20:00:00,32.0,8,2026
