clock,split,model,n,auc,brier,logloss
D15,DEV_2021_2024,CORE,1155,0.6110422976417845,0.18258646797356218,0.5495272705375263
D15,BRIDGE_2025,CORE,301,0.5003547608911594,0.16350802143179038,0.5097804254560887
D15,OOS_2026,CORE,174,0.5550176056338028,0.15770911903361406,0.4968415263073579
D15,DEV_2021_2024,CORE_PLUS__RANGE_STATE,1155,0.6176150938571326,0.18013295894041145,0.5435678027561175
D15,BRIDGE_2025,CORE_PLUS__RANGE_STATE,301,0.5437774939690649,0.16302582739536436,0.5075908937174198
D15,OOS_2026,CORE_PLUS__RANGE_STATE,174,0.5387323943661972,0.1610350545066772,0.5029667431950401
D15,DEV_2021_2024,CORE_PLUS__EXHAUSTION,1155,0.6081974156324669,0.18193049759211563,0.548088921052133
D15,BRIDGE_2025,CORE_PLUS__EXHAUSTION,301,0.5141904356463743,0.16251234703433545,0.5085763508936797
D15,OOS_2026,CORE_PLUS__EXHAUSTION,174,0.5893485915492958,0.1543805333722929,0.48916464508558805
D15,DEV_2021_2024,CORE_PLUS__ACCEPTANCE,1155,0.6214988372743473,0.18004763339438057,0.5436285181549972
D15,BRIDGE_2025,CORE_PLUS__ACCEPTANCE,301,0.5267489711934157,0.1591735821590566,0.5001222109244041
D15,OOS_2026,CORE_PLUS__ACCEPTANCE,174,0.6137764084507042,0.14908172312942441,0.4757064494400204
D15,DEV_2021_2024,CORE_PLUS__RECOVERY_SEQUENCE,1155,0.6077818710693081,0.1820076736153682,0.5484040257503568
D15,BRIDGE_2025,CORE_PLUS__RECOVERY_SEQUENCE,301,0.5141194834681424,0.16258650590027407,0.5081301540693957
D15,OOS_2026,CORE_PLUS__RECOVERY_SEQUENCE,174,0.5915492957746479,0.15414778192033,0.4886748302353499
D15,DEV_2021_2024,CORE_PLUS__VOLUME_RESPONSE,1155,0.6135355650207374,0.18180521787280585,0.5473994655941085
D15,BRIDGE_2025,CORE_PLUS__VOLUME_RESPONSE,301,0.49446573009791406,0.16472781533723982,0.5131187283250436
D15,OOS_2026,CORE_PLUS__VOLUME_RESPONSE,174,0.5391725352112676,0.1589362961563727,0.5012462983407705
D15,DEV_2021_2024,FULL_POST,1155,0.6514580020297753,0.17594209089512372,0.5327955335391421
D15,BRIDGE_2025,FULL_POST,301,0.5762735915992621,0.15827970552724815,0.49748679642852484
D15,OOS_2026,FULL_POST,174,0.5836267605633803,0.15110478346688816,0.479098287684915
D30,DEV_2021_2024,CORE,1155,0.6069787512885877,0.18259130030545515,0.5500699009089072
D30,BRIDGE_2025,CORE,301,0.48271092669432925,0.1687449037291998,0.5235969641601121
D30,OOS_2026,CORE,174,0.5626050420168068,0.16234727598485696,0.5076220848068259
D30,DEV_2021_2024,CORE_PLUS__RANGE_STATE,1155,0.6175511639243388,0.18001319879729785,0.5431376957290667
D30,BRIDGE_2025,CORE_PLUS__RANGE_STATE,301,0.4867911479944675,0.16969374824428696,0.5238058043734213
D30,OOS_2026,CORE_PLUS__RANGE_STATE,174,0.5504201680672269,0.16558870924199934,0.5138620913196406
D30,DEV_2021_2024,CORE_PLUS__EXHAUSTION,1155,0.6046892605704148,0.18204523723395966,0.5488194894171257
D30,BRIDGE_2025,CORE_PLUS__EXHAUSTION,301,0.48298755186721987,0.16837448407574218,0.5230764098313885
D30,OOS_2026,CORE_PLUS__EXHAUSTION,174,0.5439075630252102,0.16351486706339005,0.5106209715910143
D30,DEV_2021_2024,CORE_PLUS__ACCEPTANCE,1155,0.6110782582289811,0.18089405653402846,0.5457372558754445
D30,BRIDGE_2025,CORE_PLUS__ACCEPTANCE,301,0.4770401106500692,0.16703232324630973,0.520375651187726
D30,OOS_2026,CORE_PLUS__ACCEPTANCE,174,0.5894957983193277,0.15738171381498764,0.49558465382980643
D30,DEV_2021_2024,CORE_PLUS__RECOVERY_SEQUENCE,1155,0.6107306392194155,0.1816108495328864,0.5474176581169264
D30,BRIDGE_2025,CORE_PLUS__RECOVERY_SEQUENCE,301,0.48430152143845095,0.17016863679824032,0.5275495385000781
D30,OOS_2026,CORE_PLUS__RECOVERY_SEQUENCE,174,0.5542016806722689,0.16264720776389663,0.5084819230981508
D30,DEV_2021_2024,CORE_PLUS__VOLUME_RESPONSE,1155,0.6137033810943207,0.18102082837313552,0.5459039192501566
D30,BRIDGE_2025,CORE_PLUS__VOLUME_RESPONSE,301,0.4689488243430152,0.1704172884406094,0.5273609317037942
D30,OOS_2026,CORE_PLUS__VOLUME_RESPONSE,174,0.5478991596638656,0.1634412690205742,0.5084351572336034
D30,DEV_2021_2024,FULL_POST,1155,0.6447413634656416,0.17632596966805136,0.5337372141714034
D30,BRIDGE_2025,FULL_POST,301,0.4616874135546335,0.17095353770363098,0.5288515473330464
D30,OOS_2026,FULL_POST,174,0.5436974789915966,0.15988673508968984,0.500117625063685
D60,DEV_2021_2024,CORE,1155,0.5918633178036872,0.18376328552459653,0.552620525035559
D60,BRIDGE_2025,CORE,301,0.4942600276625173,0.16675170047616802,0.5184507330634678
D60,OOS_2026,CORE,174,0.5313463514902365,0.16681028260731792,0.5186719879510551
D60,DEV_2021_2024,CORE_PLUS__RANGE_STATE,1155,0.6019282865978887,0.18191241182382767,0.5482681307628818
D60,BRIDGE_2025,CORE_PLUS__RANGE_STATE,301,0.5066390041493777,0.16718181478818384,0.5180196569254939
D60,OOS_2026,CORE_PLUS__RANGE_STATE,174,0.5681397738951696,0.16410827823805293,0.5113773397221952
D60,DEV_2021_2024,CORE_PLUS__EXHAUSTION,1155,0.5932617850835484,0.1823199441797714,0.5494580476255466
D60,BRIDGE_2025,CORE_PLUS__EXHAUSTION,301,0.5026970954356846,0.16664571557121355,0.5189171521929333
D60,OOS_2026,CORE_PLUS__EXHAUSTION,174,0.5405960945529291,0.16711342963188733,0.5190576440893859
D60,DEV_2021_2024,CORE_PLUS__ACCEPTANCE,1155,0.603750289682508,0.18142509108933996,0.5470747215840415
