Index,flow_id,signal_time,side,signal_i,signal_close,atr0,horizon_time,horizon_close,cost_atr,immediate_net_atr,immediate_gross_atr,filled,depth_atr,limit_price,fill_i,fill_time,delay_bars,delay_hours,stopped,postfill_mae_atr,postfill_mfe_atr,limit_net_atr,limit_bounded_net_atr
0,0,2021-01-01 00:00:00+00:00,1,46105,28786.75,178.38500000000073,2021-01-01 12:00:00+00:00,29290.02,0.08068713737141543,2.740570255346573,2.8212573927179885,False,1.5,28519.1725,,,,,,,,,
1,1,2021-01-01 12:00:00+00:00,1,46153,29290.02,134.88714285714326,2021-01-02 00:00:00+00:00,29325.0,0.10857231971701178,0.15075558403320924,0.259327903750221,True,1.5,29087.689285714285,46167.0,2021-01-01 15:30:00+00:00,14.0,3.5,True,1.7250664576735986,2.2271263807839254,1.651505584033215,-1.6078223197170118
2,2,2021-01-02 00:45:00+00:00,1,46204,29215.89,117.40642857142848,2021-01-02 12:45:00+00:00,30660.12,0.12442201996726887,12.176693153818547,12.301115173785817,False,1.5,29039.780357142856,,,,,,,,,
3,3,2021-01-02 13:00:00+00:00,1,46253,30814.73,244.44285714285746,2021-01-03 01:00:00+00:00,32437.92,0.06303053883466768,6.577335307696789,6.640365846531457,False,1.5,30448.065714285713,,,,,,,,,
4,4,2021-01-03 01:00:00+00:00,-1,46301,32437.92,292.5007142857147,2021-01-03 13:00:00+00:00,34391.57,0.05544930049010861,-6.734578289186103,-6.679128988695994,True,1.5,32876.67107142857,46307.0,2021-01-03 02:30:00+00:00,6.0,1.5,True,1.5498728940832869,1.4202395110146275,-5.235328289186094,-1.5561993004901087
5,5,2021-01-03 13:00:00+00:00,-1,46349,34391.57,362.2371428571423,2021-01-04 01:00:00+00:00,32831.93,0.047471070648273106,4.258106175512495,4.305577246160768,False,1.5,34934.92571428571,,,,,,,,,
6,6,2021-01-04 01:00:00+00:00,-1,46397,32831.93,384.2507142857131,2021-01-04 13:00:00+00:00,30953.13,0.042722015573909276,4.846793944058114,4.889515959632024,True,1.5,33408.30607142857,46404.0,2021-01-04 02:45:00+00:00,7.0,1.75,False,0.6382653810477223,14.59543434253309,6.346043944058108,6.346043944058108
7,7,2021-01-04 13:00:00+00:00,-1,46445,30953.13,796.8250000000005,2021-01-05 01:00:00+00:00,32524.09,0.019422790449596827,-1.9909472782605944,-1.9715244878109977,True,1.5,32148.3675,46453.0,2021-01-04 15:00:00+00:00,8.0,2.0,False,0.9432842845041248,1.8657892259906497,-0.4916972782605962,-0.4916972782605962
8,8,2021-01-05 01:00:00+00:00,-1,46493,32524.09,343.23714285714334,2021-01-05 13:00:00+00:00,31872.98,0.04737845346407725,1.8495899066035135,1.8969683600675908,False,1.5,33038.94571428571,,,,,,,,,
9,9,2021-01-05 13:15:00+00:00,1,46542,31733.26,284.3714285714286,2021-01-06 01:15:00+00:00,33776.0,0.055795443584848774,7.127556309655385,7.183351753240234,True,1.5,31306.702857142856,46545.0,2021-01-05 14:00:00+00:00,3.0,0.75,False,0.5765799256505492,11.229317793630061,8.62830630965538,8.62830630965538
