flow_id,signal_time,side,horizon,state,signal_close,atr14,passage_time,delay_h,total12_atr,residual12_atr,mae12_atr,mfe12_atr,stop15_touch,frozen_signed12_atr
0,2021-01-01 00:00:00+00:00,1,2H,ACCEPT_FIRST,28786.75,178.38500000000073,2021-01-01 00:15:00+00:00,0.25,2.8212573927179885,2.321257392717985,0.1931216189702082,4.258597976287216,False,2.8212573927179885
1,2021-01-01 12:00:00+00:00,1,2H,ACCEPT_FIRST,29290.02,134.88714285714326,2021-01-01 12:15:00+00:00,0.25,0.259327903750221,-0.24067209624978086,4.914478770612466,2.8085701274080903,True,0.259327903750221
2,2021-01-02 00:45:00+00:00,1,2H,ADVERSE_FIRST,29215.89,117.40642857142848,2021-01-02 01:00:00+00:00,0.25,12.301115173785817,12.80111517378581,0.865966210173437,14.855319433713186,False,12.301115173785815
3,2021-01-02 13:00:00+00:00,1,2H,ACCEPT_FIRST,30814.73,244.44285714285746,2021-01-02 13:15:00+00:00,0.25,6.640365846531457,6.140365846531456,1.1729939804803895,10.903448074338133,False,6.640365846531457
4,2021-01-03 01:00:00+00:00,-1,2H,ADVERSE_FIRST,32437.92,292.5007142857147,2021-01-03 01:15:00+00:00,0.25,-6.679128988695994,-6.179128988695995,8.185723600186563,0.04895714540379526,True,-6.679128988695994
5,2021-01-03 13:00:00+00:00,-1,2H,ACCEPT_FIRST,34391.57,362.2371428571423,2021-01-03 13:15:00+00:00,0.25,4.305577246160768,3.8055772461607575,0.1005694769803532,5.497972914349723,False,4.305577246160768
6,2021-01-04 01:00:00+00:00,-1,2H,ADVERSE_FIRST,32831.93,384.2507142857131,2021-01-04 01:30:00+00:00,0.5,4.889515959632024,5.389515959632016,2.138265381047716,13.095434342533096,True,4.889515959632024
7,2021-01-04 13:00:00+00:00,-1,2H,ADVERSE_FIRST,30953.13,796.8250000000005,2021-01-04 13:45:00+00:00,0.75,-1.9715244878109977,-1.4715244878109996,2.4432842845041227,0.418071722147273,True,-1.9715244878109977
8,2021-01-05 01:00:00+00:00,-1,2H,ACCEPT_FIRST,32524.09,343.23714285714334,2021-01-05 01:15:00+00:00,0.25,1.8969683600675908,1.3969683600675922,1.0391357911647965,7.645122489241081,False,1.8969683600675908
9,2021-01-05 13:15:00+00:00,1,2H,ADVERSE_FIRST,31733.26,284.3714285714286,2021-01-05 13:45:00+00:00,0.5,7.183351753240234,7.6833517532402364,2.076579925650546,9.729317793630065,True,7.183351753240234
10,2021-01-06 01:15:00+00:00,1,2H,ADVERSE_FIRST,33776.0,358.02499999999884,2021-01-06 01:30:00+00:00,0.25,2.3778507087494014,2.877850708749395,0.6147336079882613,6.068458906500972,False,2.3778507087494014
11,2021-01-06 13:15:00+00:00,-1,2H,ACCEPT_FIRST,34627.33,401.7221428571429,2021-01-06 13:30:00+00:00,0.25,-5.906072249653719,-6.406072249653728,7.0015309088904685,1.2791179404385724,True,-5.906072249653719
12,2021-01-07 01:15:00+00:00,1,2H,ADVERSE_FIRST,36999.93,417.39142857142934,2021-01-07 01:30:00+00:00,0.25,3.328194842799139,3.828194842799136,1.5874068192241573,3.5875197656191142,True,3.328194842799139
13,2021-01-07 13:15:00+00:00,-1,2H,ACCEPT_FIRST,38389.09,357.06785714285746,2021-01-07 13:30:00+00:00,0.25,-0.5307954670480968,-1.0307954670480974,6.0955640684543875,4.75688294541853,True,-0.5307954670480968
14,2021-01-08 01:45:00+00:00,-1,2H,ACCEPT_FIRST,38739.18,597.7635714285706,2021-01-08 02:00:00+00:00,0.25,-4.3965375703963225,-4.896537570396323,5.288411925880882,3.679397850798643,True,-4.3965375703963225
