flow_id,signal_time,side,frozen_signed12_atr,signal_close,atr14,level,distance_atr,distance_bin,oi_logchg_3h,oi_backed,touch_time,class_time,state,class_price,residual_atr,oi_flush,oi_flush_logchg
0,2021-01-01 00:00:00+00:00,1,2.8212573927179885,28786.75,178.38500000000073,29199.49,2.313759564985845,>2,0.021075649965521137,True,2021-01-01 01:00:00+00:00,2021-01-01 01:00:00+00:00,ACCEPT,29446.35,-0.8763629228914845,False,0.0287107697274962
1,2021-01-01 12:00:00+00:00,1,0.259327903750221,29290.02,134.88714285714326,29546.42,1.9008483282320452,1-2,0.030091444975049342,True,2021-01-01 12:30:00+00:00,2021-01-01 13:15:00+00:00,REJECT,29420.36,-0.7069613751178255,False,0.013562365436708745
2,2021-01-02 00:45:00+00:00,1,12.301115173785815,29215.89,117.40642857142848,29570.0,3.016104009880216,>2,-0.007202804466926338,False,2021-01-02 05:30:00+00:00,2021-01-02 05:45:00+00:00,ACCEPT,29628.65,8.785464412389183,False,0.04312390570704494
3,2021-01-02 13:00:00+00:00,1,6.640365846531457,30814.73,244.44285714285746,30960.0,0.5942902226637845,0.5-1,0.037044499945695364,True,2021-01-02 13:15:00+00:00,2021-01-02 13:30:00+00:00,ACCEPT,31319.24,4.576447899012312,True,-0.005121749005130738
4,2021-01-03 01:00:00+00:00,-1,-6.679128988695994,32437.92,292.5007142857147,30528.0,6.529625080280619,>2,-0.02623123518962167,False,,,NO_TOUCH,,,,
5,2021-01-03 13:00:00+00:00,-1,4.305577246160768,34391.57,362.2371428571423,32253.85,5.901437889937937,>2,-0.008431449013054149,False,,,NO_TOUCH,,,,
6,2021-01-04 01:00:00+00:00,-1,4.889515959632024,32831.93,384.2507142857131,32400.0,1.1240837920182363,1-2,-0.025722382157679746,False,2021-01-04 07:15:00+00:00,2021-01-04 07:30:00+00:00,ACCEPT,32092.2,2.9643926677336867,True,-0.06523863833168342
7,2021-01-04 13:00:00+00:00,-1,-1.9715244878109977,30953.13,796.8250000000005,27800.0,3.957117309321368,>2,-0.11035045923866882,False,,,NO_TOUCH,,,,
8,2021-01-05 01:00:00+00:00,-1,1.8969683600675908,32524.09,343.23714285714334,30620.0,5.547447412451192,>2,0.013147099323857603,True,2021-01-05 04:15:00+00:00,2021-01-05 05:00:00+00:00,REJECT,31100.0,-2.2520290011903428,True,-0.06787637499988719
9,2021-01-05 13:15:00+00:00,1,7.183351753240234,31733.26,284.3714285714286,32880.76,4.035215512910693,>2,0.01891307571063372,True,2021-01-05 18:00:00+00:00,2021-01-05 18:00:00+00:00,ACCEPT,33197.82,2.033185974078168,False,0.025250892868067254
10,2021-01-06 01:15:00+00:00,1,2.3778507087494014,33776.0,358.02499999999884,34500.0,2.0222051532714262,>2,-0.014028669758554102,False,2021-01-06 04:00:00+00:00,2021-01-06 04:00:00+00:00,ACCEPT,34691.0,-0.17783674324418255,False,0.030006338462515103
11,2021-01-06 13:15:00+00:00,-1,-5.906072249653719,34627.33,401.7221428571429,33555.91,2.667067322651935,>2,-0.017535639916456347,False,,,NO_TOUCH,,,,
