sample,n,full_mean,full_hit,resid_n,resid_mean,resid_hit,window,long_n,short_n
2021,258,3.200721877766866,0.7790697674418605,258,0.7299923277873301,0.4883720930232558,2021,134,124
2022,232,2.965805327642185,0.75,232,0.3823661451401446,0.47413793103448276,2022,119,113
2023,206,3.176282777142521,0.7184466019417476,206,0.4672640929911852,0.42718446601941745,2023,107,99
2024,265,2.1684788449124235,0.6641509433962264,265,0.13054808090082504,0.47924528301886793,2024,142,123
2025_H1,125,2.526780565556922,0.664,125,0.41218402272508015,0.504,2025_H1,66,59
2025_H2,132,2.4699207027133077,0.6590909090909091,132,0.24472443345283504,0.49242424242424243,2025_H2,66,66
2026_JAN_JUL,147,2.0317855607567057,0.673469387755102,147,-0.06775363171748888,0.4421768707482993,2026_JAN_JUL,66,81
AUG_REUSED,2,-2.1498783192748405,0.5,2,-3.0659628924933275,0.0,AUG_REUSED,2,0
ALL_PRE_AUG,1365,2.6984350237025625,0.7091575091575092,1365,0.35294172529705925,0.4717948717948718,ALL_PRE_AUG,700,665
POOLED_RECENT,279,2.239075305338324,0.6666666666666666,279,0.0800854528792235,0.4659498207885305,POOLED_RECENT,132,147
