flow_id,signal_time,side,origin,entry,extension050,atr14,reaccept_time,state,class_time,class_price,residual_atr,class_delay_h,post_class_mae_atr,post_class_mfe_atr
8,2021-01-05 01:00:00+00:00,-1,32524.09,32352.47142857143,32180.852857142858,343.23714285714334,2021-01-05 02:30:00+00:00,EXTENSION050_FIRST,2021-01-05 03:15:00+00:00,32180.852857142858,0.8969683600675937,0.75,0.0,6.645122489241084
11,2021-01-06 13:15:00+00:00,-1,34627.33,34426.46892857143,34225.60785714285,401.7221428571429,2021-01-06 20:00:00+00:00,SECOND_FAIL_FIRST,2021-01-06 20:30:00+00:00,35420.8,-3.930901067013263,0.5,5.026359726250012,0.026884253686368285
13,2021-01-07 13:15:00+00:00,-1,38389.09,38210.55607142857,38032.02214285714,357.06785714285746,2021-01-07 18:30:00+00:00,EXTENSION050_FIRST,2021-01-07 18:45:00+00:00,38032.02214285714,-1.530795467048098,0.25,5.875207793636678,1.0754878524490012
14,2021-01-08 01:45:00+00:00,-1,38739.18,38440.298214285714,38141.41642857143,597.7635714285706,2021-01-08 09:00:00+00:00,SECOND_FAIL_FIRST,2021-01-08 09:30:00+00:00,38900.0,-4.127501436903507,0.5,5.0193757923880655,0.07344040704100896
24,2021-01-13 03:00:00+00:00,1,34085.22,34410.66785714286,34736.11571428571,650.8957142857151,2021-01-13 07:15:00+00:00,EXTENSION050_FIRST,2021-01-13 07:30:00+00:00,34736.11571428571,-0.4641537924662016,0.25,1.0771552168769578,0.9053282619335569
28,2021-01-15 05:30:00+00:00,-1,38509.99,38357.10357142857,38204.21714285714,305.7728571428571,2021-01-15 08:45:00+00:00,EXTENSION050_FIRST,2021-01-15 09:00:00+00:00,38204.21714285714,8.100578861059319,0.25,2.111969202162218,12.186226003429235
34,2021-01-18 05:30:00+00:00,1,35322.13,35482.015,35641.9,319.7699999999999,2021-01-18 07:00:00+00:00,EXTENSION050_FIRST,2021-01-18 07:15:00+00:00,35641.9,0.11023548175250965,0.25,0.643055946461534,5.960659223817123
43,2021-01-22 19:15:00+00:00,-1,33593.5,33420.300357142856,33247.10071428571,346.3992857142865,2021-01-22 21:45:00+00:00,EXTENSION050_FIRST,2021-01-22 22:45:00+00:00,33247.10071428571,0.5267929866235974,1.0,0.7156460649250798,3.4289063611562858
52,2021-01-27 12:15:00+00:00,1,30593.52,30758.01785714286,30922.515714285717,328.9957142857144,2021-01-27 16:15:00+00:00,EXTENSION050_FIRST,2021-01-27 16:30:00+00:00,30922.515714285717,-2.190714598974379,0.25,4.300681294154944,2.2861522295123207
55,2021-01-29 01:15:00+00:00,-1,33953.58,33787.53428571429,33621.48857142858,332.091428571428,2021-01-29 03:30:00+00:00,EXTENSION050_FIRST,2021-01-29 03:45:00+00:00,33621.48857142858,-11.45067623373943,0.25,14.259601486681824,5.003105857251041
58,2021-01-30 13:15:00+00:00,1,33936.67,34095.95357142857,34255.237142857135,318.56714285714304,2021-01-30 17:00:00+00:00,EXTENSION050_FIRST,2021-01-30 17:15:00+00:00,34255.237142857135,-0.4355977883110251,0.25,1.09228823706147,1.8018583209639827
65,2021-02-03 01:45:00+00:00,1,35943.89,36060.14607142857,36176.40214285714,232.5121428571422,2021-02-03 11:15:00+00:00,EXTENSION050_FIRST,2021-02-03 11:30:00+00:00,36176.40214285714,1.7247609187845843,0.25,1.314650233321139,2.582608588798745
78,2021-02-09 19:45:00+00:00,-1,47162.5,46943.72928571429,46724.95857142858,437.5414285714277,2021-02-09 22:00:00+00:00,EXTENSION050_FIRST,2021-02-09 22:30:00+00:00,46724.95857142858,0.10981490732307024,0.5,0.8571563835587668,2.365395603355132
79,2021-02-10 08:00:00+00:00,-1,46667.01,46508.97607142857,46350.942142857144,316.06785714285746,2021-02-10 12:00:00+00:00,EXTENSION050_FIRST,2021-02-10 12:15:00+00:00,46350.942142857144,3.9374840393676753,0.25,0.0,8.165784924123432
82,2021-02-11 21:00:00+00:00,-1,47300.0,47071.64964285714,46843.29928571428,456.7007142857146,2021-02-12 06:00:00+00:00,SECOND_FAIL_FIRST,2021-02-12 06:30:00+00:00,47524.98,0.5704611178624456,0.5,0.6021886793633143,1.1968231774169154
105,2021-02-24 02:00:00+00:00,-1,50298.69,49930.28785714286,49561.885714285716,736.8042857142864,2021-02-24 06:00:00+00:00,EXTENSION050_FIRST,2021-02-24 06:15:00+00:00,49561.885714285716,0.11197778824770863,0.25,2.5430013397626405,0.6119477356848027
107,2021-02-25 02:15:00+00:00,1,50528.79,50760.15642857143,50991.52285714285,462.7328571428557,2021-02-25 12:45:00+00:00,EXTENSION050_FIRST,2021-02-25 13:00:00+00:00,50991.52285714285,-0.16591183435057213,0.25,0.2755863457162787,1.8552327322460203
116,2021-03-01 18:30:00+00:00,1,48459.99,48669.80107142857,48879.61214285714,419.6221428571423,2021-03-01 21:30:00+00:00,EXTENSION050_FIRST,2021-03-01 21:45:00+00:00,48879.61214285714,-0.037395888477902255,0.25,1.238285804746107,3.1984915000059555
120,2021-03-03 22:15:00+00:00,-1,51052.01,50833.39142857143,50614.77285714285,437.2371428571428,2021-03-04 02:45:00+00:00,EXTENSION050_FIRST,2021-03-04 03:15:00+00:00,50614.77285714285,3.6359281984931204,0.5,0.3450922350081543,4.722318062117311
123,2021-03-05 11:45:00+00:00,1,47492.7,47637.43535714285,47782.170714285705,289.470714285713,2021-03-05 12:30:00+00:00,EXTENSION050_FIRST,2021-03-05 13:00:00+00:00,47782.170714285705,3.414505291677715,0.5,3.014538850463502,5.830742808919787
124,2021-03-05 23:45:00+00:00,1,48770.57,48926.19571428571,49081.82142857143,311.25142857142885,2021-03-06 06:45:00+00:00,EXTENSION050_FIRST,2021-03-06 07:15:00+00:00,49081.82142857143,-2.881180120802643,0.5,3.690975600800449,0.18675760524334326
