flow_id,signal_time,side,origin,entry,atr14,extension_parent_reaccept_time,extension_time,residual_atr,failure_time,origin_reclaim_time,full_reaccept_time,extra_bad_closes_before_reaccept,accept_time,recon_failure_time,recon_reaccept_time,cycle_count,bad_closes,signal_to_accept_h,accept_to_failure_h,failure_to_origin_reclaim_h,failure_to_full_reaccept_h,reaccept_to_extension_h,signal_to_extension_h,accept_to_extension_h,cycle_count_accept_to_extension,origin_bad_close_count_accept_to_extension,clock_order_valid,failure_parity,reaccept_parity
8,2021-01-05 01:00:00+00:00,-1,32524.09,32352.47142857143,343.23714285714334,2021-01-05 02:30:00+00:00,2021-01-05 03:15:00+00:00,0.8969683600675937,2021-01-05 01:30:00+00:00,2021-01-05 02:30:00+00:00,2021-01-05 02:30:00+00:00,3,2021-01-05 01:15:00+00:00,2021-01-05 01:45:00+00:00,2021-01-05 02:30:00+00:00,1.0,4.0,0.25,0.25,1.0,1.0,0.75,2.25,2.0,1.0,4.0,True,False,True
13,2021-01-07 13:15:00+00:00,-1,38389.09,38210.55607142857,357.06785714285746,2021-01-07 18:30:00+00:00,2021-01-07 18:45:00+00:00,-1.530795467048098,2021-01-07 14:15:00+00:00,2021-01-07 15:00:00+00:00,2021-01-07 18:30:00+00:00,14,2021-01-07 13:30:00+00:00,2021-01-07 14:15:00+00:00,2021-01-07 18:30:00+00:00,1.0,17.0,0.25,0.75,0.75,4.25,0.25,5.5,5.25,1.0,17.0,True,True,True
24,2021-01-13 03:00:00+00:00,1,34085.22,34410.66785714286,650.8957142857151,2021-01-13 07:15:00+00:00,2021-01-13 07:30:00+00:00,-0.4641537924662016,2021-01-13 03:30:00+00:00,2021-01-13 07:15:00+00:00,2021-01-13 07:15:00+00:00,14,2021-01-13 03:15:00+00:00,2021-01-13 03:45:00+00:00,2021-01-13 07:15:00+00:00,1.0,15.0,0.25,0.25,3.75,3.75,0.25,4.5,4.25,1.0,15.0,True,False,True
28,2021-01-15 05:30:00+00:00,-1,38509.99,38357.10357142857,305.7728571428571,2021-01-15 08:45:00+00:00,2021-01-15 09:00:00+00:00,8.100578861059319,2021-01-15 08:30:00+00:00,2021-01-15 08:45:00+00:00,2021-01-15 08:45:00+00:00,0,2021-01-15 05:45:00+00:00,2021-01-15 08:30:00+00:00,2021-01-15 08:45:00+00:00,1.0,3.0,0.25,2.75,0.25,0.25,0.25,3.5,3.25,1.0,3.0,True,True,True
34,2021-01-18 05:30:00+00:00,1,35322.13,35482.015,319.7699999999999,2021-01-18 07:00:00+00:00,2021-01-18 07:15:00+00:00,0.1102354817525096,2021-01-18 06:30:00+00:00,2021-01-18 07:00:00+00:00,2021-01-18 07:00:00+00:00,1,2021-01-18 05:45:00+00:00,2021-01-18 06:30:00+00:00,2021-01-18 07:00:00+00:00,1.0,3.0,0.25,0.75,0.5,0.5,0.25,1.75,1.5,1.0,3.0,True,True,True
43,2021-01-22 19:15:00+00:00,-1,33593.5,33420.300357142856,346.3992857142865,2021-01-22 21:45:00+00:00,2021-01-22 22:45:00+00:00,0.5267929866235974,2021-01-22 20:30:00+00:00,2021-01-22 20:45:00+00:00,2021-01-22 21:45:00+00:00,0,2021-01-22 19:30:00+00:00,2021-01-22 20:30:00+00:00,2021-01-22 21:45:00+00:00,1.0,3.0,0.25,1.0,0.25,1.25,1.0,3.5,3.25,1.0,3.0,True,True,True
52,2021-01-27 12:15:00+00:00,1,30593.52,30758.01785714286,328.9957142857144,2021-01-27 16:15:00+00:00,2021-01-27 16:30:00+00:00,-2.190714598974379,2021-01-27 14:00:00+00:00,2021-01-27 16:00:00+00:00,2021-01-27 16:15:00+00:00,7,2021-01-27 12:30:00+00:00,2021-01-27 14:00:00+00:00,2021-01-27 16:15:00+00:00,1.0,9.0,0.25,1.5,2.0,2.25,0.25,4.25,4.0,1.0,9.0,True,True,True
55,2021-01-29 01:15:00+00:00,-1,33953.58,33787.53428571429,332.091428571428,2021-01-29 03:30:00+00:00,2021-01-29 03:45:00+00:00,-11.45067623373943,2021-01-29 02:15:00+00:00,2021-01-29 02:30:00+00:00,2021-01-29 03:30:00+00:00,3,2021-01-29 01:30:00+00:00,2021-01-29 02:15:00+00:00,2021-01-29 03:30:00+00:00,1.0,5.0,0.25,0.75,0.25,1.25,0.25,2.5,2.25,1.0,5.0,True,True,True
58,2021-01-30 13:15:00+00:00,1,33936.67,34095.95357142857,318.56714285714304,2021-01-30 17:00:00+00:00,2021-01-30 17:15:00+00:00,-0.4355977883110251,2021-01-30 16:15:00+00:00,2021-01-30 16:45:00+00:00,2021-01-30 17:00:00+00:00,1,2021-01-30 13:45:00+00:00,2021-01-30 16:15:00+00:00,2021-01-30 17:00:00+00:00,1.0,3.0,0.5,2.5,0.5,0.75,0.25,4.0,3.5,1.0,3.0,True,True,True
65,2021-02-03 01:45:00+00:00,1,35943.89,36060.14607142857,232.5121428571422,2021-02-03 11:15:00+00:00,2021-02-03 11:30:00+00:00,1.7247609187845845,2021-02-03 09:15:00+00:00,2021-02-03 10:45:00+00:00,2021-02-03 11:15:00+00:00,5,2021-02-03 02:45:00+00:00,2021-02-03 09:15:00+00:00,2021-02-03 11:15:00+00:00,1.0,7.0,1.0,6.5,1.5,2.0,0.25,9.75,8.75,1.0,7.0,True,True,True
78,2021-02-09 19:45:00+00:00,-1,47162.5,46943.72928571429,437.5414285714277,2021-02-09 22:00:00+00:00,2021-02-09 22:30:00+00:00,0.1098149073230702,2021-02-09 20:45:00+00:00,2021-02-09 22:00:00+00:00,2021-02-09 22:00:00+00:00,4,2021-02-09 20:00:00+00:00,2021-02-09 20:45:00+00:00,2021-02-09 22:00:00+00:00,1.0,6.0,0.25,0.75,1.25,1.25,0.5,2.75,2.5,1.0,6.0,True,True,True
79,2021-02-10 08:00:00+00:00,-1,46667.01,46508.97607142857,316.06785714285746,2021-02-10 12:00:00+00:00,2021-02-10 12:15:00+00:00,3.9374840393676753,2021-02-10 09:00:00+00:00,2021-02-10 11:00:00+00:00,2021-02-10 12:00:00+00:00,8,2021-02-10 08:15:00+00:00,2021-02-10 09:00:00+00:00,2021-02-10 12:00:00+00:00,1.0,10.0,0.25,0.75,2.0,3.0,0.25,4.25,4.0,1.0,10.0,True,True,True
