side,feature,n_2025h2,median_2025h2,n_2026,median_2026,rbc,p
LONG,signal_to_accept_h,23,0.25,26,0.25,0.04347826086956519,0.7390772302397965
LONG,accept_to_failure_h,23,1.0,26,1.0,-0.10869565217391308,0.5189073092318245
LONG,failure_to_origin_reclaim_h,23,0.75,26,1.125,0.041806020066889715,0.8068869140725667
LONG,failure_to_full_reaccept_h,23,1.5,26,1.75,-0.03344481605351168,0.8486209739270081
LONG,reaccept_to_extension_h,23,0.25,26,0.25,-0.09197324414715724,0.40041258358232634
LONG,signal_to_extension_h,23,4.75,26,3.5,-0.13043478260869568,0.44003506704945194
LONG,accept_to_extension_h,23,4.5,26,3.25,-0.1287625418060201,0.44567070734364733
LONG,extra_bad_closes_before_reaccept,23,2.0,26,5.0,-0.01672240802675584,0.9276822077532445
LONG,cycle_count_accept_to_extension,23,1.0,26,1.0,0.0,1.0
LONG,origin_bad_close_count_accept_to_extension,23,6.0,26,7.0,0.0050167224080268635,0.983953559642014
SHORT,signal_to_accept_h,33,0.25,30,0.25,-0.14848484848484844,0.205007663207889
SHORT,accept_to_failure_h,33,1.25,30,1.125,-0.04747474747474745,0.7503974302395577
SHORT,failure_to_origin_reclaim_h,33,0.75,30,0.75,-0.036363636363636376,0.8062281102779422
SHORT,failure_to_full_reaccept_h,33,1.5,30,1.25,-0.0565656565656566,0.7037706021347592
SHORT,reaccept_to_extension_h,33,0.25,30,0.25,0.14444444444444438,0.20112305272051445
SHORT,signal_to_extension_h,33,5.0,30,4.125,-0.13636363636363635,0.35580510771244844
SHORT,accept_to_extension_h,33,4.5,30,3.625,-0.11818181818181817,0.42419859488190237
SHORT,extra_bad_closes_before_reaccept,33,2.0,30,2.0,-0.11212121212121207,0.44486960694945854
SHORT,cycle_count_accept_to_extension,33,1.0,30,1.0,0.0,1.0
SHORT,origin_bad_close_count_accept_to_extension,33,6.0,30,5.0,-0.07272727272727275,0.6228962236647613
