n,mean_signed12_atr,cum_signed12_atr,t,payoff_ratio,hit_rate,median_mae_atr,mean_mae_atr,median_mfe_atr,stop15_touch_rate,horizon,bin
742,0.31279755612718896,232.09578664637422,1.558273927635818,1.1788159837448662,0.5242587601078167,2.658482152868177,3.939534818218967,3.405491856565325,0.6859838274932615,1H,<=0.25
304,0.39343845627134405,119.60529070648859,0.9950420554011298,1.2045672351004253,0.5032894736842105,2.527688634224477,4.083245219282691,2.8744381498418443,0.6875,1H,0.25-0.50
645,0.33435853708198554,215.66125641788068,1.6280246451288292,1.2037331532929554,0.5069767441860465,2.6276889524591924,3.726501290730064,2.982291666666675,0.7162790697674418,1H,0.50-1.00
830,0.34459741495545476,286.01585441302745,1.6631148659638957,1.1857239162718654,0.4867469879518072,2.689256439605132,3.8825323502310782,3.1045484365003673,0.7,1H,1.00-2.00
675,0.3798325625450767,256.38697971792675,1.4966765324051567,1.1965479850205267,0.522962962962963,2.6480020361415963,3.7659210963087006,3.211328209039882,0.6725925925925926,1H,>2.00
471,0.3717101181997307,175.07546567207316,1.445965738544112,1.2114330752145674,0.5562632696390658,2.670621006062573,4.033267336866703,3.809793744024046,0.6815286624203821,2H,<=0.25
181,0.13736547063734353,24.863150185359178,0.35232334108461455,1.076242021857381,0.4861878453038674,2.651137711635978,4.067611060822283,3.1476530819587922,0.7071823204419889,2H,0.25-0.50
479,0.32904293077394625,157.61156384072027,1.4415474668629364,1.217095069694063,0.4968684759916493,2.6427658605115094,3.64948672409485,2.794663147863048,0.7181628392484343,2H,0.50-1.00
860,0.24902734451668884,214.1635162843524,1.1406610985722672,1.1250917681821466,0.4848837209302326,2.737692682849127,4.010303288236691,3.08035710343493,0.708139534883721,2H,1.00-2.00
1205,0.4465157443312802,538.0514719191926,2.5030074187262557,1.2453011204226188,0.5153526970954356,2.5093763628434456,3.7341591855630147,3.0944411154001794,0.674688796680498,2H,>2.00
261,0.36551466158820267,95.39932667452089,1.0761936797528189,1.2186751212290627,0.5632183908045977,2.6618865608347493,4.0286950511649975,3.6149512161605304,0.6704980842911877,4H,<=0.25
88,0.605951305768388,53.32371490761814,1.0955991158436917,1.3950948230819498,0.5568181818181818,2.714550335996533,3.6954750488303385,3.316012080088467,0.6590909090909091,4H,0.25-0.50
241,0.31254803058836805,75.3240753717967,0.8759327505789599,1.1855755666367946,0.48132780082987553,2.821591948764859,3.9586758683068743,3.2225001250562757,0.7593360995850622,4H,0.50-1.00
549,0.06787398833533766,37.26281959610037,0.2576937055491213,1.03342149885939,0.4918032786885246,2.921285514671637,4.208821440060773,3.160478135056911,0.7304189435336976,4H,1.00-2.00
2057,0.4124721591403313,848.4552313516615,3.1086452064107815,1.2297106995372828,0.50753524550316,2.4869312681509816,3.7390171305274746,3.0749231325737147,0.6796305298979096,4H,>2.00
