window,month,signals,fills,cum_R,ev_R,profit_factor
2025_H2,2025-07,1,1,-1.1817584171975541,-1.1817584171975541,0.0
2025_H2,2025-08,1,1,-1.200929553264599,-1.200929553264599,0.0
2025_H2,2025-09,0,0,0.0,,
2025_H2,2025-10,8,6,5.942399614139949,0.7427999517674936,6.45463959526784
2025_H2,2025-11,6,4,3.081926735465774,0.5136544559109623,3.8483514588068712
2025_H2,2025-12,0,0,0.0,,
2026_JAN_JUL,2026-01,2,0,0.0,0.0,
2026_JAN_JUL,2026-02,7,5,-0.2311725518987171,-0.0330246502712453,0.9264979901607203
2026_JAN_JUL,2026-03,1,1,1.3637536198367077,1.3637536198367077,inf
2026_JAN_JUL,2026-04,1,1,1.3802015675029056,1.3802015675029056,inf
2026_JAN_JUL,2026-05,2,1,-1.180329695193435,-0.5901648475967175,0.0
2026_JAN_JUL,2026-06,8,6,6.059187096727804,0.7573983870909755,6.508435381466882
2026_JAN_JUL,2026-07,1,1,-1.2190864965986394,-1.2190864965986394,0.0
