window,policy,opportunities,admitted_signals,fills,fill_rate,cum_R,ev_per_opportunity,ev_per_admitted,profit_factor,max_dd_R,max_consecutive_losses,episodes,positive_episodes,negative_episodes,worst_episode_R,top_episode_positive_share,worst_loeo_remaining_R,bootstrap_ci025,bootstrap_ci975,max_episode_fills
2021,BASE_ALL,47,47,27,0.574468085106383,9.094976578005149,0.19351013995755637,0.19351013995755637,1.7282506096182537,3.1870672171387273,3,13,6,3,-2.107004590143081,0.3382881898138592,4.759915372884493,-0.06426786027929313,0.4966808542003082,9
2021,VF1_MATURE,47,29,18,0.6206896551724138,3.72296476669446,0.07921201631264808,0.12837809540325723,1.3987590715277365,3.1236894545678497,3,13,4,2,-2.691314122017808,0.4488274086451715,0.8155953278062995,-0.11940187799189286,0.28699147278886605,8
2022,BASE_ALL,33,33,20,0.6060606060606061,-2.789905950092312,-0.08454260454825188,-0.08454260454825188,0.7811072930542744,5.87259804938012,2,9,3,5,-2.154485237846392,0.28941807485729437,-4.643600374299716,-0.34884250632190716,0.18998482250256826,6
2022,VF1_MATURE,33,21,12,0.5714285714285714,-3.93474685605351,-0.11923475321374273,-0.18736889790730996,0.5269231916244104,7.281551927449955,2,9,1,4,-1.6384269388513097,0.3371886201347404,-4.3848655278669355,-0.23464606150812345,-0.009192871749367155,5
2023,BASE_ALL,9,9,6,0.6666666666666666,1.5706208683097895,0.17451342981219883,0.17451342981219883,1.698167931773271,2.249631924973383,1,5,2,1,-2.2496319249733836,0.6395730128814162,-0.8727097206589758,-0.4999182055496408,0.8491642165450488,3
2023,VF1_MATURE,9,4,3,0.75,0.7571153017762426,0.08412392241958251,0.18927882544406066,1.6622710105973153,1.1432106942041529,1,5,1,1,-1.1432106942041529,1.0,-1.1432106942041529,-0.3117847347829508,0.5182707261764715,2
2024,BASE_ALL,33,33,24,0.7272727272727273,-5.6610114576703765,-0.17154580174758716,-0.17154580174758716,0.6711993855615386,9.482021730643114,4,13,4,7,-2.0512218642341633,0.252842052484264,-7.1091952936343,-0.4155829513512251,0.084624749698711,4
2024,VF1_MATURE,33,18,13,0.7222222222222222,-1.4156347790710941,-0.04289802360821497,-0.07864637661506077,0.8363308580613086,2.386894956868823,2,13,2,4,-1.182564474038197,0.4039240678183612,-3.2169450877202364,-0.2121048652791563,0.10301893318954115,3
2025_H1,BASE_ALL,11,11,6,0.5454545454545454,-1.679295223470002,-0.15266320213363654,-0.15266320213363654,0.6164856429776,2.1551145567653647,2,5,2,2,-2.1551145567653647,0.5440460061947606,-3.1478968998487566,-0.592909811339086,0.36665729150407284,2
2025_H1,VF1_MATURE,11,3,2,0.6666666666666666,0.10047019070605079,0.009133653700550071,0.033490063568683594,1.088885300371703,1.130335278003245,1,5,1,1,-1.130335278003245,1.0,-1.130335278003245,-0.26084660261613346,0.2840320312406067,1
