window,prior_virtual_fill_bucket,opportunities,fills,opportunity_mean_R,fill_mean_R,fill_positive_rate,cum_R,median_hours_since_episode_start,median_hours_since_first_virtual_fill
2025_H2,0,6,5,-0.12681080837890898,-0.15217297005469077,0.4,-0.7608648502734539,0.0,
2025_H2,1,3,2,0.9424201599874383,1.4136302399811576,1.0,2.827260479962315,78.5,74.5
2025_H2,2,2,2,0.15916855338087843,0.15916855338087843,0.5,0.31833710676175686,121.25,119.0
2025_H2,3+,5,3,0.8513811285385902,1.418968547564317,1.0,4.256905642692951,164.0,163.75
2026_JAN_JUL,0,12,7,-0.027624701935779945,-0.047356631889908476,0.42857142857142855,-0.33149642322935935,0.0,
2026_JAN_JUL,1,4,2,0.10066049363388624,0.20132098726777248,0.5,0.40264197453554496,22.625,13.25
2026_JAN_JUL,2,2,2,1.4528085754809597,1.4528085754809597,1.0,2.9056171509619193,107.5,28.5
2026_JAN_JUL,3+,4,4,0.7989477095271302,0.7989477095271302,0.75,3.195790838108521,101.375,85.25
POOLED_RECENT,0,18,12,-0.06068673741682298,-0.09103010612523445,0.4166666666666667,-1.0923612735028136,0.0,
POOLED_RECENT,1,7,4,0.4614146363568371,0.807475613624465,0.75,3.22990245449786,25.75,19.25
POOLED_RECENT,2,4,4,0.805988564430919,0.805988564430919,0.75,3.223954257723676,121.25,69.625
POOLED_RECENT,3+,9,7,0.8280773867557191,1.0646709258287816,0.8571428571428571,7.452696480801472,159.5,147.25
