window,fill_ordinal,n,mean_R,median_R,positive_rate,cum_R
2025_H2,1,5,-0.15217297005469077,-1.0894211267954834,0.4,-0.7608648502734539
2025_H2,2,2,1.4136302399811576,1.4136302399811576,1.0,2.827260479962315
2025_H2,3,2,0.15916855338087843,0.15916855338087843,0.5,0.31833710676175686
2025_H2,4+,3,1.418968547564317,1.425568036565561,1.0,4.256905642692951
2026_JAN_JUL,1,7,-0.047356631889908476,-1.0444525,0.42857142857142855,-0.33149642322935935
2026_JAN_JUL,2,2,0.20132098726777248,0.20132098726777248,0.5,0.40264197453554496
2026_JAN_JUL,3,2,1.4528085754809597,1.4528085754809597,1.0,2.9056171509619193
2026_JAN_JUL,4+,4,0.7989477095271302,1.3999660362683297,0.75,3.195790838108521
POOLED_RECENT,1,12,-0.09103010612523445,-1.0669368133977417,0.4166666666666667,-1.0923612735028134
POOLED_RECENT,2,4,0.807475613624465,1.4136302399811576,0.75,3.22990245449786
POOLED_RECENT,3,4,0.805988564430919,1.422943299823685,0.75,3.223954257723676
POOLED_RECENT,4+,7,1.0646709258287816,1.4143561659776038,0.8571428571428571,7.452696480801472
