source_index,parent_time,signal_time,fill_time,real_fill,real_R,episode_7d,ret_24h,ret_72h,ret_7d,range_pos_7d,range_pos_30d,rv_ratio_24h_7d,range_ratio_24h_7d,parent_range_pct,parent_body_frac,parent_reclaim_frac,router_conf,child_latency_h,child_parent_range_ratio,prior_virtual_fills,episode_age_h
0,2021-01-20 19:45:00+00:00,2021-01-20 21:45:00+00:00,2021-01-20 22:00:00+00:00,False,0.0,1,-0.04277736719464553,-0.045154251325015826,-0.06452098942907791,0.22281940298507455,0.48935528219971053,0.893530376525564,0.5028701492537319,0.05429421498122573,0.5253846153846164,0.9404081632653075,0.3254023435307476,2.0,0.10433281004709438,0.0,0.0
4,2021-02-28 07:45:00+00:00,2021-02-28 08:00:00+00:00,,False,0.0,3,-0.05249009641825675,-0.10903018835572054,-0.206022100841441,0.06487069039253045,0.48307624804254573,0.7529994994785769,0.27790531779131855,0.0419215136293623,0.12457087597711099,0.3557525451956917,0.4376914264670378,0.25,0.2820157412630621,0.0,0.0
5,2021-02-28 19:45:00+00:00,2021-02-28 21:00:00+00:00,2021-02-28 21:15:00+00:00,False,0.0,3,-0.041065911294897894,-0.0787816147686371,-0.21684328361572291,0.1463201342281878,0.4968654905269558,0.8166979211083383,0.2787932885906038,0.03426751569406557,0.6664958006387748,0.9235440242892607,0.3255674189841013,1.25,0.34135746487388713,0.0,13.0
8,2021-03-23 07:45:00+00:00,2021-03-23 08:45:00+00:00,,False,0.0,5,-0.05071318114816903,-0.07434994799856698,-0.02835764739391,0.18362489603743043,0.6001507111016768,1.2858836647074203,0.7616764165908134,0.03286513959957411,0.2934011977393529,0.6524308715632401,0.406214499327816,1.0,0.11780766508241339,0.0,0.0
9,2021-03-25 03:45:00+00:00,2021-03-25 04:00:00+00:00,,False,0.0,5,-0.03661452976400459,-0.09132597472411286,-0.1109181606692008,0.09849512802477899,0.49617968584164734,1.283314857339257,0.6604889704135702,0.026859615915166588,0.12914285714285922,0.4449000000000004,0.4323304786315072,0.25,0.3469857142857135,0.0,43.25
10,2021-04-07 19:45:00+00:00,2021-04-07 20:45:00+00:00,2021-04-07 21:00:00+00:00,False,0.0,6,-0.033701906691147365,-0.030592272897026818,-0.04555235803755353,0.16437275227416923,0.5100039942398855,1.4504176601328516,0.6731542204357944,0.024521924862471536,0.2161437908496713,0.4944299201161959,0.3288254361784641,1.0,0.19261437908496964,0.0,0.0
11,2021-04-25 23:45:00+00:00,2021-04-26 00:00:00+00:00,,False,0.0,7,-0.015186652710635462,-0.062385563018212076,-0.09861166231103369,0.28241423598233834,0.16696552108904275,1.0735643909342252,0.3840778498434907,0.05427665199889865,0.09997071170555696,0.8023378066822358,0.380958982313418,0.25,0.4680682492358742,0.0,0.0
15,2021-06-08 07:45:00+00:00,2021-06-08 08:00:00+00:00,2021-06-08 08:45:00+00:00,False,0.0,8,-0.07744550002320227,-0.11549098628314414,-0.08453793645033814,0.1465456276349793,0.10849322033898315,1.1068060563949418,0.6330028559771523,0.03406740741414811,0.1332128324533217,0.7512309788173697,0.4407324081185178,0.25,0.301080055917164,0.0,0.0
18,2021-07-15 15:45:00+00:00,2021-07-15 18:15:00+00:00,,False,0.0,10,-0.04537442228541788,-0.05301335700996479,-0.04250594620967241,0.07532513686633252,0.20939977487018738,1.050260560431876,0.578843750969558,0.022033960907295265,0.29154548189750457,0.3180795736206399,0.3867441953712883,2.5,0.2034328122985248,0.0,0.0
19,2021-07-15 19:45:00+00:00,2021-07-15 20:00:00+00:00,,False,0.0,10,-0.03526082079187365,-0.035662776337140656,-0.0403709009227331,0.14285432232479545,0.24180567712038925,1.034730362432553,0.578843750969558,0.02115202758199027,0.2172113943028501,0.6006296851574198,0.3796396668775148,0.25,0.18524737631184607,0.0,1.75
20,2021-07-20 11:45:00+00:00,2021-07-20 12:00:00+00:00,2021-07-20 12:15:00+00:00,False,0.0,10,-0.04999186560249358,-0.05403431316853058,-0.09838014924467631,0.11383965704779558,0.11774214239897361,1.0642772076640477,0.5144436624224202,0.0205497698262777,0.21129830541807373,0.6797830148480787,0.4096990922314198,0.25,0.22324559965911878,0.0,113.75
24,2021-08-04 11:45:00+00:00,2021-08-04 12:00:00+00:00,,False,0.0,10,-0.0010605039085581636,-0.07921450857117218,-0.05581998091216622,0.17020139712873564,0.6829036859094662,0.813587099985086,0.23464376360393244,0.01969179293743255,0.44078036835941675,0.8670020227829208,0.3666010564667508,0.25,0.3469072713722978,3.0,473.75
33,2021-09-21 23:45:00+00:00,2021-09-22 00:00:00+00:00,2021-09-22 00:30:00+00:00,True,1.4774834258555554,12,-0.01769658322448331,-0.14321744475869258,-0.11998222895484001,0.18814804396745685,0.13056231231231205,1.7824675931816178,0.43696988056084485,0.06706546165671363,0.46723672795557586,0.41523937815488887,0.3784071280405359,0.25,0.3323327976807117,2.0,163.25
37,2021-11-26 15:45:00+00:00,2021-11-26 16:30:00+00:00,2021-11-26 17:00:00+00:00,False,0.0,15,-0.07797602707149343,-0.04983304760934559,-0.061591017146150784,0.13430815221386386,0.05658064516129032,1.0231060123975093,0.9033869544975619,0.02536512116419199,0.4514284885155084,0.6105355562326822,0.3667074141393087,0.75,0.1796311612182463,0.0,0.0
38,2021-11-28 19:45:00+00:00,2021-11-28 20:45:00+00:00,,False,0.0,15,0.012237121320058053,-0.06702800775685669,-0.07831652261475197,0.25981780063130383,0.10556005833570486,0.7792677304357067,0.29600752936467833,0.031324191633321355,0.18803993313304362,0.7956290988157995,0.3223360568630702,1.0,0.09747144710846867,1.0,52.25
40,2022-01-07 07:45:00+00:00,2022-01-07 08:00:00+00:00,2022-01-07 08:15:00+00:00,False,0.0,17,-0.03142935614926423,-0.10426187179631308,-0.1146328828766745,0.09991309255378035,0.06801677489177474,1.0717995055180238,0.3419728520215258,0.02277810932581352,0.10147368421052785,0.7439052631578938,0.3891158491495493,0.25,0.2026315789473684,0.0,0.0
46,2022-02-14 03:45:00+00:00,2022-02-14 06:15:00+00:00,,False,0.0,18,-0.00948710669505548,-0.02983711664366906,-0.020608425873315905,0.07456374518785075,0.6937327909620635,0.619921983659955,0.28321203435711584,0.01501750029761607,0.21798945161085415,0.5812257736544462,0.4110710020771134,2.5,0.28378979475122085,5.0,305.25
47,2022-02-18 19:45:00+00:00,2022-02-18 22:30:00+00:00,2022-02-18 22:45:00+00:00,True,1.3433449481458188,18,-0.016536918753602636,-0.09708346322268313,-0.05617029401346585,0.09275851661825175,0.5443794594318122,1.4841464107673752,0.2848077866224011,0.024573561297766028,0.38934704078845594,0.7759013225130839,0.3470341174465148,2.75,0.12879071508798126,5.0,417.5
53,2022-04-06 19:45:00+00:00,2022-04-06 20:00:00+00:00,,False,0.0,20,-0.0478527180570818,-0.056346834608481666,-0.07013269357338481,0.14030871217687976,0.5947305822398442,1.128603902255126,0.6496001483193118,0.025631608309714848,0.3689612126616147,0.5148996879179663,0.3611745987426431,0.25,0.2815514935354454,0.0,0.0
54,2022-04-07 03:45:00+00:00,2022-04-07 06:30:00+00:00,2022-04-07 06:45:00+00:00,False,0.0,20,-0.04254345132034054,-0.059727112647502856,-0.07763430281285455,0.1548685007131648,0.557316330099936,1.1893269404405962,0.5704883379680461,0.01921142032482988,0.14856806213480175,0.6813307043066388,0.4021203471333232,2.75,0.1212157645418039,0.0,10.5
55,2022-04-08 19:45:00+00:00,2022-04-08 20:45:00+00:00,2022-04-08 21:00:00+00:00,True,-1.1938838111221934,20,-0.017642106384229028,-0.06711783455109288,-0.07252383662243111,0.07648739291983633,0.49307182806699484,1.0835897125679879,0.3094604292947873,0.030445692151148944,0.704989354097331,0.24354135760240145,0.3209692066461038,1.0,0.08472908675834424,1.0,48.75
