comparison,feature,n_a,n_b,median_a,median_b,smd,cliffs_delta
2025_H1_vs_2025_H2,ret_24h,14,13,-0.023200085561822847,-0.01740075657895024,0.7402768478422345,0.3626373626373626
2025_H1_vs_2025_H2,ret_72h,14,13,-0.047935895965185715,-0.028685478330488734,1.1888988470578195,0.6153846153846154
2025_H1_vs_2025_H2,ret_7d,14,13,-0.041699341169465276,-0.03625877117918874,0.04805344486590818,0.054945054945054944
2025_H1_vs_2025_H2,range_pos_7d,14,13,0.14612781256789756,0.13373305379272604,-0.2700398969181868,-0.17582417582417584
2025_H1_vs_2025_H2,range_pos_30d,14,13,0.21488705632271066,0.24852716265731997,0.22096429328116843,0.14285714285714285
2025_H1_vs_2025_H2,rv_ratio_24h_7d,14,13,1.303120436402797,1.083383325647745,-0.7865231231885854,-0.38461538461538464
2025_H1_vs_2025_H2,range_ratio_24h_7d,14,13,0.4651304063811048,0.41287562044624754,-0.47343191005898216,-0.24175824175824176
2025_H1_vs_2025_H2,parent_range_pct,14,13,0.02461398225785863,0.010461084387438544,-1.8209450448342686,-0.8791208791208791
2025_H1_vs_2025_H2,parent_body_frac,14,13,0.3390554353179658,0.22950505132500484,-0.32812820618038346,-0.1978021978021978
2025_H1_vs_2025_H2,parent_reclaim_frac,14,13,0.629903553549837,0.7241940041171946,0.17432783289642048,0.12087912087912088
2025_H1_vs_2025_H2,router_conf,14,13,0.35912722504680256,0.3830940594413447,0.7634689718692337,0.3956043956043956
2025_H1_vs_2025_H2,child_latency_h,14,13,0.875,1.0,0.04093481010913242,-0.016483516483516484
2025_H1_vs_2025_H2,child_parent_range_ratio,14,13,0.14098929706082314,0.20702054098026923,0.7932593002746656,0.43956043956043955
2025_H1_vs_2025_H2,prior_virtual_fills,14,13,0.5,2.0,0.7165718889193967,0.38461538461538464
2025_H1_vs_2025_H2,episode_age_h,14,13,21.25,145.25,0.21992096665270455,0.21978021978021978
HIST_vs_POOLED_RECENT,ret_24h,89,30,-0.02304863958923198,-0.018706895033169635,0.3759613451994561,0.18876404494382024
HIST_vs_POOLED_RECENT,ret_72h,89,30,-0.04600039187717986,-0.03443423410728369,0.4564717500160192,0.22771535580524344
HIST_vs_POOLED_RECENT,ret_7d,89,30,-0.044431694974924496,-0.04631667886263069,0.294865290629124,0.10711610486891386
HIST_vs_POOLED_RECENT,range_pos_7d,89,30,0.13937712632020427,0.13334186888468735,-0.080381430886569,-0.027715355805243445
HIST_vs_POOLED_RECENT,range_pos_30d,89,30,0.25404169836264157,0.2230996201806897,-0.23237926031178696,-0.08389513108614233
HIST_vs_POOLED_RECENT,rv_ratio_24h_7d,89,30,1.0835897125679879,1.0616290771182062,-0.21475017902371873,-0.12434456928838951
HIST_vs_POOLED_RECENT,range_ratio_24h_7d,89,30,0.4929268782564519,0.4601679574994306,-0.14981488078792704,-0.052434456928838954
HIST_vs_POOLED_RECENT,parent_range_pct,89,30,0.019970797097551583,0.011318346289573213,-0.6362883486129508,-0.4966292134831461
HIST_vs_POOLED_RECENT,parent_body_frac,89,30,0.2934011977393529,0.3123679538417165,0.0020262127393581206,0.010486891385767791
HIST_vs_POOLED_RECENT,parent_reclaim_frac,89,30,0.6255557258929912,0.666319851499336,0.21943917767989735,0.1295880149812734
HIST_vs_POOLED_RECENT,router_conf,89,30,0.3778254894729148,0.36225051528495067,-0.07133795987825993,-0.09138576779026217
HIST_vs_POOLED_RECENT,child_latency_h,89,30,1.0,1.0,0.2787992508526724,0.07415730337078652
HIST_vs_POOLED_RECENT,child_parent_range_ratio,89,30,0.17943041093190468,0.20375254063333137,0.4568576684432426,0.17303370786516853
HIST_vs_POOLED_RECENT,prior_virtual_fills,89,30,0.0,1.0,0.41323105655719095,0.25205992509363295
HIST_vs_POOLED_RECENT,episode_age_h,89,30,3.5,91.0,0.5145736104179199,0.351310861423221
