window,parent_class,vf_class,opps,fills,cum_R,mean_R,profit_factor,max_dd_R,positive_rate
HIST_PRE_RECENT,COMPACT,VF1,21,6,-3.3018865424591293,-0.5503144237431882,0.3953198169731898,5.460550279539641,0.3333333333333333
HIST_PRE_RECENT,COMPACT,VF2PLUS,2,1,1.305908022228556,1.305908022228556,inf,0.0,1.0
HIST_PRE_RECENT,LARGE,VF1,54,10,-9.231071108030426,-0.9231071108030425,0.12367067152337534,9.231071108030426,0.1
HIST_PRE_RECENT,LARGE,VF2PLUS,12,6,3.3902782059057537,0.565046367650959,2.5885016139235955,1.0785427927927929,0.6666666666666666
POOLED_RECENT,COMPACT,VF1,11,5,3.8344885418467336,0.7668977083693467,4.138507739390474,1.2217553245834678,0.8
POOLED_RECENT,COMPACT,VF2PLUS,8,5,3.089339029606803,0.6178678059213606,3.2284619681645643,1.3863099634369287,0.8
POOLED_RECENT,LARGE,VF1,9,3,1.6383446065669143,0.5461148688556381,2.3993421730416604,1.170796277086218,0.6666666666666666
POOLED_RECENT,LARGE,VF2PLUS,2,1,1.1033834132074123,1.1033834132074123,inf,0.0,1.0
2025_H2,COMPACT,VF1,5,2,0.04466401156841315,0.022332005784206577,1.036557247322528,1.2217553245834678,0.5
2025_H2,COMPACT,VF2PLUS,6,4,2.0133304089171564,0.5033326022292891,2.452294553178947,1.3863099634369287,0.75
2025_H2,LARGE,VF1,1,1,1.3768201840681402,1.3768201840681402,inf,0.0,1.0
2025_H2,LARGE,VF2PLUS,1,1,1.1033834132074123,1.1033834132074123,inf,0.0,1.0
2026_JAN_JUL,COMPACT,VF1,6,3,3.7898245302783207,1.263274843426107,inf,0.0,1.0
2026_JAN_JUL,COMPACT,VF2PLUS,2,1,1.0760086206896466,1.0760086206896466,inf,0.0,1.0
2026_JAN_JUL,LARGE,VF1,8,2,0.26152442249877383,0.13076221124938692,1.2233731244428232,1.170796277086218,0.5
2026_JAN_JUL,LARGE,VF2PLUS,1,0,0.0,,,0.0,
