rule,window,eligible_parents,children,child_found_rate,virtual_fills,virtual_fill_rate,mature_admit,real_fills,fills_per_month,mean_R_per_fill,cum_R,profit_factor,max_dd_R,max_consecutive_losses,episodes,positive_episodes,negative_episodes,worst_episode_R,worst_loeo_remaining_R
BREAK_CONFIRM_12H,2021,58,58,1.0,42,0.7241379310344828,34,29,2.4166666666666665,0.10035613948864149,2.910328045170604,1.1786842936230806,4.952185695798651,4,18,5,5,-1.6252909377366538,0.822783508551379
BREAK_CONFIRM_12H,2022,51,51,1.0,28,0.5490196078431373,25,15,1.25,-0.12141914604581258,-1.8212871906871886,0.818373237500652,7.718933378829338,3,18,4,4,-4.448114486287209,-4.599044784441809
BREAK_CONFIRM_12H,2023,34,34,1.0,17,0.5,11,5,0.4166666666666667,-1.2502561270200037,-6.251280635100018,0.0,6.251280635100018,2,18,0,4,-2.410630394542474,-6.251280635100018
BREAK_CONFIRM_12H,2024,47,47,1.0,26,0.5531914893617021,22,11,0.9166666666666666,0.0029667489424459836,0.03263423836690538,1.0049033326567924,4.433916217878529,1,20,3,4,-1.1752435064935065,-2.845726998265838
BREAK_CONFIRM_12H,2025_H1,32,32,1.0,20,0.625,15,11,1.8333333333333333,-0.03636766979451393,-0.4000443677396539,0.9446432719042406,3.7193453331754647,2,12,4,2,-2.3334474105393777,-1.8596439127555093
COLOR_ONLY_12H,2021,58,58,1.0,36,0.6206896551724138,37,23,1.9166666666666667,0.10542077838512365,2.4246779028578436,1.1890375195620337,8.453397019061502,5,18,7,2,-3.8802745135709076,0.6115895831856759
COLOR_ONLY_12H,2022,51,51,1.0,33,0.6470588235294118,28,18,1.5,-0.7308369781885294,-13.155065607393531,0.2456087319161089,14.606102157829396,3,18,2,7,-4.605966163523185,-14.606102157829397
COLOR_ONLY_12H,2023,34,34,1.0,18,0.5294117647058824,12,5,0.4166666666666667,-0.5383966853320323,-2.691983426660162,0.2928479656076466,3.7444237751856333,2,18,1,2,-2.3386725959403645,-3.7444237751856333
COLOR_ONLY_12H,2024,47,47,1.0,29,0.6170212765957447,22,11,0.9166666666666666,-0.04639671597367901,-0.5103638757104694,0.9283907909659912,4.847694361039229,2,20,3,3,-2.5090157534497823,-3.3710331837565204
COLOR_ONLY_12H,2025_H1,32,32,1.0,18,0.5625,17,8,1.3333333333333333,0.023587721834488984,0.18870177467591143,1.0414513205791034,2.3334474105393777,2,12,3,2,-2.3334474105393777,-2.070520959685728
TWO_BAR_CONFIRM_12H,2021,58,58,1.0,43,0.7413793103448276,35,27,2.25,0.19976406581597275,5.393629777031265,1.3788920707157886,6.495259582933805,2,18,8,4,-3.7905579088430796,2.3712943027882387
TWO_BAR_CONFIRM_12H,2022,51,51,1.0,36,0.7058823529411765,31,22,1.8333333333333333,-0.26266095786502,-5.778541073030439,0.6531929448373025,11.651466208664694,5,18,4,5,-5.613510580600169,-7.229577623466304
TWO_BAR_CONFIRM_12H,2023,34,34,1.0,21,0.6176470588235294,15,8,0.6666666666666666,-0.9630261468678176,-7.704209174942541,0.1449379618101495,7.704209174942541,1,18,1,6,-1.4949768255769902,-7.816015012436583
TWO_BAR_CONFIRM_12H,2024,47,47,1.0,30,0.6382978723404256,23,14,1.1666666666666667,0.10022130503629616,1.4030982705081465,1.1697633187032581,4.342602007687294,2,20,3,4,-2.383437536344253,-2.9262661119191167
TWO_BAR_CONFIRM_12H,2025_H1,32,32,1.0,19,0.59375,14,10,1.6666666666666667,0.007356360866737854,0.0735636086673781,1.0128401887251801,3.3881067952301542,2,12,3,3,-1.1672202870795236,-1.319571177852085
