month,fills,cum_R,mean_R,profit_factor,leave_month_out_remaining_R
2025-07,2,-0.40715302662375075,-0.20357651331187537,0.7063044792563272,10.072708617851612
2025-08,3,3.686902771692788,1.2289675905642625,inf,5.978652819535073
2025-09,2,-0.11837191137605552,-0.05918595568802776,0.9031132428938569,9.783927502603916
2025-10,0,0.0,,,9.66555559122786
2025-11,1,1.3768201840681402,1.3768201840681402,inf,8.28873540715972
2025-12,0,0.0,,,9.66555559122786
2026-01,1,1.4025252194705795,1.4025252194705795,inf,8.263030371757282
2026-02,1,1.4323206995849918,1.4323206995849918,inf,8.23323489164287
2026-03,1,1.3090722357089128,1.3090722357089128,inf,8.356483355518948
2026-04,0,0.0,,,9.66555559122786
2026-05,2,2.1542356957884747,1.0771178478942374,inf,7.511319895439386
2026-06,0,0.0,,,9.66555559122786
2026-07,1,-1.170796277086218,-1.170796277086218,0.0,10.836351868314079
