event_row,split,event_time,impulse_dir,rr,entry,fill_i,fill_time,exit_i,exit_time,outcome,gross_R,mfe_R,mae_R,stop_frac,duration_h
14,DEV_2021_2024,2021-02-22 12:30:00+00:00,-1.0,1.5,53311.384999999995,5038,2021-02-22 12:45:00+00:00,5039,2021-02-22 13:00:00+00:00,TP,1.5,1.6871786235545179,0.9010553497249298,0.008353750329315185,0.25
14,DEV_2021_2024,2021-02-22 12:30:00+00:00,-1.0,2.0,53311.384999999995,5038,2021-02-22 12:45:00+00:00,5040,2021-02-22 13:15:00+00:00,SL,-1.0,1.6871786235545179,1.411799708094751,0.008353750329315185,0.5
15,DEV_2021_2024,2021-02-22 19:00:00+00:00,1.0,1.5,53836.2,5067,2021-02-22 20:00:00+00:00,5073,2021-02-22 21:30:00+00:00,SL,-1.0,0.602301268366185,1.1095064674117825,0.011832930258822148,1.5
15,DEV_2021_2024,2021-02-22 19:00:00+00:00,1.0,2.0,53836.2,5067,2021-02-22 20:00:00+00:00,5073,2021-02-22 21:30:00+00:00,SL,-1.0,0.602301268366185,1.1095064674117825,0.011832930258822148,1.5
16,DEV_2021_2024,2021-02-23 02:30:00+00:00,-1.0,1.5,51173.92,5094,2021-02-23 02:45:00+00:00,5095,2021-02-23 03:00:00+00:00,TP,1.5,1.6412874999999985,0.34114999999999784,0.01563296304054878,0.25
16,DEV_2021_2024,2021-02-23 02:30:00+00:00,-1.0,2.0,51173.92,5094,2021-02-23 02:45:00+00:00,5102,2021-02-23 04:45:00+00:00,SL,-1.0,1.653725000000004,1.9673999999999978,0.01563296304054878,2.0
17,DEV_2021_2024,2021-02-23 08:00:00+00:00,-1.0,1.5,47570.675,5116,2021-02-23 08:15:00+00:00,5119,2021-02-23 09:00:00+00:00,SL,-1.0,0.7412522480829026,1.5059519276395568,0.035883661520464065,0.75
17,DEV_2021_2024,2021-02-23 08:00:00+00:00,-1.0,2.0,47570.675,5116,2021-02-23 08:15:00+00:00,5119,2021-02-23 09:00:00+00:00,SL,-1.0,0.7412522480829026,1.5059519276395568,0.035883661520464065,0.75
18,DEV_2021_2024,2021-02-23 12:00:00+00:00,-1.0,1.5,46176.645000000004,5133,2021-02-23 12:30:00+00:00,5133,2021-02-23 12:30:00+00:00,TP,1.5,3.2171068254821162,0.4856266170055915,0.01732672436466538,0.0
18,DEV_2021_2024,2021-02-23 12:00:00+00:00,-1.0,2.0,46176.645000000004,5133,2021-02-23 12:30:00+00:00,5133,2021-02-23 12:30:00+00:00,TP,2.0,3.2171068254821162,0.4856266170055915,0.01732672436466538,0.0
20,DEV_2021_2024,2021-02-23 20:30:00+00:00,1.0,1.5,47629.420000000006,5166,2021-02-23 20:45:00+00:00,5167,2021-02-23 21:00:00+00:00,SL,-1.0,0.718230816247159,1.1398844251819598,0.015114187827607487,0.25
20,DEV_2021_2024,2021-02-23 20:30:00+00:00,1.0,2.0,47629.420000000006,5166,2021-02-23 20:45:00+00:00,5167,2021-02-23 21:00:00+00:00,SL,-1.0,0.718230816247159,1.1398844251819598,0.015114187827607487,0.25
21,DEV_2021_2024,2021-02-24 01:15:00+00:00,1.0,1.5,49487.205,5185,2021-02-24 01:30:00+00:00,5186,2021-02-24 01:45:00+00:00,SL,-1.0,1.167159786349398,1.1492517557655964,0.012976485538029587,0.25
21,DEV_2021_2024,2021-02-24 01:15:00+00:00,1.0,2.0,49487.205,5185,2021-02-24 01:30:00+00:00,5186,2021-02-24 01:45:00+00:00,SL,-1.0,1.167159786349398,1.1492517557655964,0.012976485538029587,0.25
23,DEV_2021_2024,2021-02-26 00:15:00+00:00,-1.0,1.5,46302.32,5373,2021-02-26 00:30:00+00:00,5381,2021-02-26 02:30:00+00:00,TP,1.5,1.6639779570250919,0.33588871852987634,0.019438766783176256,2.0
23,DEV_2021_2024,2021-02-26 00:15:00+00:00,-1.0,2.0,46302.32,5373,2021-02-26 00:30:00+00:00,5400,2021-02-26 07:15:00+00:00,SL,-1.0,1.6639779570250919,1.4469257605048587,0.019438766783176256,6.75
26,DEV_2021_2024,2021-03-04 04:00:00+00:00,-1.0,1.5,49249.06,5966,2021-03-04 04:45:00+00:00,5979,2021-03-04 08:00:00+00:00,TP,1.5,2.9071482921880127,0.5050727088265087,0.00960668081786744,3.25
26,DEV_2021_2024,2021-03-04 04:00:00+00:00,-1.0,2.0,49249.06,5966,2021-03-04 04:45:00+00:00,5979,2021-03-04 08:00:00+00:00,TP,2.0,2.9071482921880127,0.5050727088265087,0.00960668081786744,3.25
47,DEV_2021_2024,2021-04-18 01:00:00+00:00,-1.0,1.5,59067.15,10266,2021-04-18 01:15:00+00:00,10267,2021-04-18 01:30:00+00:00,TP,1.5,1.6407795514640888,0.2731857800411348,0.0069148418367908785,0.25
47,DEV_2021_2024,2021-04-18 01:00:00+00:00,-1.0,2.0,59067.15,10266,2021-04-18 01:15:00+00:00,10270,2021-04-18 02:15:00+00:00,SL,-1.0,1.6407795514640888,1.0621388698462375,0.0069148418367908785,1.0
56,DEV_2021_2024,2021-04-22 08:30:00+00:00,-1.0,1.5,53170.57,10670,2021-04-22 08:45:00+00:00,10673,2021-04-22 09:30:00+00:00,TP,1.5,1.9750643009721542,0.19741488295043363,0.00862845743425355,0.75
56,DEV_2021_2024,2021-04-22 08:30:00+00:00,-1.0,2.0,53170.57,10670,2021-04-22 08:45:00+00:00,10674,2021-04-22 09:45:00+00:00,TP,2.0,2.5707964601769984,0.19741488295043363,0.00862845743425355,1.0
59,DEV_2021_2024,2021-04-23 07:45:00+00:00,-1.0,1.5,47599.33500000001,10763,2021-04-23 08:00:00+00:00,10765,2021-04-23 08:30:00+00:00,TP,1.5,1.5238265254076666,0.14475889305024195,0.014416377875867362,0.5
59,DEV_2021_2024,2021-04-23 07:45:00+00:00,-1.0,2.0,47599.33500000001,10763,2021-04-23 08:00:00+00:00,10771,2021-04-23 10:00:00+00:00,TP,2.0,2.6909182320280944,0.14475889305024195,0.014416377875867362,2.0
70,DEV_2021_2024,2021-05-02 03:45:00+00:00,-1.0,1.5,56187.04000000001,11593,2021-05-02 04:00:00+00:00,11598,2021-05-02 05:15:00+00:00,TP,1.5,1.7897776933307994,0.02988789663691926,0.009366928743710215,1.25
70,DEV_2021_2024,2021-05-02 03:45:00+00:00,-1.0,2.0,56187.04000000001,11593,2021-05-02 04:00:00+00:00,11625,2021-05-02 12:00:00+00:00,TP,2.0,2.08991069732092,0.28840965228958654,0.009366928743710215,8.0
