impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,parent_family,raw_24h,cont_24h,rev_24h,p_cont,p_rev,router_conf,router_side
-1.0,-0.15168807945461427,-0.12759119549538298,0.957294813427307,-0.5846855522664466,-0.5323946271482076,-0.785672521578154,-0.06057664307835924,-0.8968727415326885,0.442288690219001,1903,2021-01-20 19:45:00+00:00,DEV_2021_2024,34193.11,35311.0,33400.0,35197.12,32468.66,H4_7D_PIVOT_SWEEP_RECLAIM,-0.07751941067905566,0.07751941067905566,-0.07751941067905566,0.13218629742667198,0.32540234353074765,0.32540234353074765,REV
1.0,0.10232744102221401,-0.6225150510608899,-0.4103187576513735,0.9453969751214022,0.13233699893808293,-0.5319940071972967,-0.029820819044566627,0.8314696123025451,0.5555702330196024,4042,2021-02-12 03:45:00+00:00,DEV_2021_2024,47968.66,48985.8,47338.35,47587.31,47829.22,H4_7D_PIVOT_SWEEP_RECLAIM,0.00508349810064912,0.00508349810064912,-0.00508349810064912,0.14976626135994622,0.32448666175955365,0.32448666175955365,REV
1.0,-0.2204147118779384,-0.061854656810799914,1.2261596576936507,0.537168543490527,-0.050179311995889625,-0.695113523671849,-0.02876834363143265,0.8968727415326884,-0.44228869021900113,4250,2021-02-14 07:45:00+00:00,DEV_2021_2024,47267.2,49404.94,47220.42,48725.18,47267.06,H4_7D_PIVOT_SWEEP_RECLAIM,-0.0299253897061027,-0.0299253897061027,0.0299253897061027,0.150121233639152,0.3168032941093595,0.3168032941093595,REV
1.0,0.6665700988015295,0.19894465703323658,-0.47530257987390895,0.5599908092226514,0.23108166711730857,-0.24725340517531608,-0.06328513869389225,0.8968727415326884,-0.44228869021900113,4442,2021-02-16 07:45:00+00:00,DEV_2021_2024,49624.02,49998.0,48550.0,49163.46,51112.39,H4_7D_PIVOT_SWEEP_RECLAIM,0.03967800169847502,0.03967800169847502,-0.03967800169847502,0.14841789643199366,0.34193284592110357,0.34193284592110357,REV
-1.0,0.24824463572258013,0.018345274102430097,-0.28873111949217023,-1.3107566759106226,-0.34594199190397856,0.3030388707894415,0.01176966952937035,0.8968727415326884,-0.44228869021900113,5594,2021-02-28 07:45:00+00:00,DEV_2021_2024,44632.7,45600.0,43738.65,44400.83,46288.18,H4_7D_PIVOT_SWEEP_RECLAIM,0.04250708826839489,-0.04250708826839489,0.04250708826839489,0.18310054413950433,0.4376914264670378,0.4376914264670378,REV
-1.0,2.4693757329903674,1.4524471229071514,1.0322147169556284,-1.391714765701791,0.746205019195411,1.4934432000532585,0.010114727099983525,-0.8968727415326885,0.442288690219001,5642,2021-02-28 19:45:00+00:00,DEV_2021_2024,43391.14,44521.66,43000.0,44405.32,48262.83,H4_7D_PIVOT_SWEEP_RECLAIM,0.08693017209694509,-0.08693017209694509,0.08693017209694509,0.21823937529875123,0.3255674189841013,0.3255674189841013,REV
1.0,-0.391127782573674,-0.5441512817134173,-0.33936460853094264,1.1906533991709283,0.1801317801970805,0.04575558333512474,-0.029492575658883982,0.8968727415326884,-0.44228869021900113,6452,2021-03-09 07:45:00+00:00,DEV_2021_2024,53840.63,54448.0,53409.57,53546.9,54173.38,H4_7D_PIVOT_SWEEP_RECLAIM,0.011699839150322244,0.011699839150322244,-0.011699839150322244,0.14415392988249587,0.3221194084086901,0.3221194084086901,REV
1.0,-0.06567829615796489,-0.8226992554762682,-1.3131045984063072,-0.33485696571862417,0.6194959167411146,0.08474024263862114,-0.007362435850473067,0.8314696123025451,0.5555702330196024,6532,2021-03-10 03:45:00+00:00,DEV_2021_2024,54874.67,55813.09,53134.8,53467.8,55992.6,H4_7D_PIVOT_SWEEP_RECLAIM,0.047210563711266085,0.047210563711266085,-0.047210563711266085,0.1879644624297874,0.3481352848561148,0.3481352848561148,REV
-1.0,0.7778097830438444,1.5328664926415445,-0.46794369520074464,-1.2882836213025746,0.31523044334798145,0.08762678066682075,-0.010477528260150358,0.8968727415326884,-0.44228869021900113,7796,2021-03-23 07:45:00+00:00,DEV_2021_2024,54683.6,54780.02,53000.0,54161.34,55464.2,H4_7D_PIVOT_SWEEP_RECLAIM,0.02396479570624588,-0.02396479570624588,0.02396479570624588,0.23228647404710107,0.40621449932781606,0.40621449932781606,REV
-1.0,0.4860965224105407,-0.24747667069520826,-0.1666391355545751,-0.9076669802430894,-0.7134244402652277,-0.30276851693408796,-0.02745212012136292,0.8314696123025451,0.5555702330196024,7972,2021-03-25 03:45:00+00:00,DEV_2021_2024,52303.66,52900.0,51500.0,52122.86,52407.19,H4_7D_PIVOT_SWEEP_RECLAIM,0.005288164490151903,-0.005288164490151903,0.005288164490151903,0.15332944322455688,0.4323304786315072,0.4323304786315072,REV
