impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,parent_family,raw_24h,cont_24h,rev_24h,p_cont,p_rev,router_conf,router_side
-1.0,-0.15168807945461427,-0.12759119549538298,0.957294813427307,-0.5846855522664466,-0.5323946271482076,-0.785672521578154,-0.06057664307835924,-0.8968727415326885,0.442288690219001,1903,2021-01-20 19:45:00+00:00,DEV_2021_2024,34193.11,35311.0,33400.0,35197.12,32468.66,H4_7D_PIVOT_SWEEP_RECLAIM,-0.07751941067905566,0.07751941067905566,-0.07751941067905566,0.1321862974266721,0.32540234353074626,0.32540234353074626,REV
-1.0,0.5669352221478764,0.4813372545280736,0.09461109300740764,-1.6336165380143175,0.288978521465343,0.17386122275998567,0.03482993849681642,0.8314696123025451,0.5555702330196024,2031,2021-01-22 03:45:00+00:00,DEV_2021_2024,30851.99,31029.79,28850.0,30943.4,32365.01,H4_7D_PIVOT_SWEEP_RECLAIM,0.04594226878752816,-0.04594226878752816,0.04594226878752816,0.24295578518911656,0.39817211041749245,0.39817211041749245,REV
1.0,0.10232744102221401,-0.6225150510608899,-0.4103187576513735,0.9453969751214022,0.1323369989380829,-0.5319940071972967,-0.029820819044566627,0.8314696123025451,0.5555702330196024,4042,2021-02-12 03:45:00+00:00,DEV_2021_2024,47968.66,48985.8,47338.35,47587.31,47829.22,H4_7D_PIVOT_SWEEP_RECLAIM,0.00508349810064912,0.00508349810064912,-0.00508349810064912,0.14976626135990373,0.32448666175955265,0.32448666175955265,REV
1.0,-0.2204147118779384,-0.061854656810799914,1.2261596576936507,0.537168543490527,-0.05017931199588962,-0.695113523671849,-0.02876834363143265,0.8968727415326884,-0.44228869021900113,4250,2021-02-14 07:45:00+00:00,DEV_2021_2024,47267.2,49404.94,47220.42,48725.18,47267.06,H4_7D_PIVOT_SWEEP_RECLAIM,-0.0299253897061027,-0.0299253897061027,0.0299253897061027,0.15012123363911625,0.31680329410935854,0.31680329410935854,REV
1.0,0.6665700988015295,0.1989446570332366,-0.47530257987390895,0.5599908092226514,0.23108166711730851,-0.24725340517531608,-0.06328513869389225,0.8968727415326884,-0.44228869021900113,4442,2021-02-16 07:45:00+00:00,DEV_2021_2024,49624.02,49998.0,48550.0,49163.46,51112.39,H4_7D_PIVOT_SWEEP_RECLAIM,0.03967800169847502,0.03967800169847502,-0.03967800169847502,0.1484178964319452,0.3419328459211026,0.3419328459211026,REV
-1.0,2.0128738944747333,-2.047299801762711,-2.2804696479885145,-2.333927270483631,1.2964405830561005,1.735380278714335,0.03308495582818164,0.8968727415326884,-0.44228869021900113,5402,2021-02-26 07:45:00+00:00,DEV_2021_2024,47331.34,47786.5,44106.78,44973.68,47158.53,H4_7D_PIVOT_SWEEP_RECLAIM,0.04827039995340887,-0.04827039995340887,0.04827039995340887,0.2260689236034063,0.4356195641011716,0.4356195641011716,REV
-1.0,0.24824463572258013,0.01834527410243009,-0.28873111949217023,-1.3107566759106226,-0.3459419919039785,0.3030388707894415,0.01176966952937035,0.8968727415326884,-0.44228869021900113,5594,2021-02-28 07:45:00+00:00,DEV_2021_2024,44632.7,45600.0,43738.65,44400.83,46288.18,H4_7D_PIVOT_SWEEP_RECLAIM,0.04250708826839489,-0.04250708826839489,0.04250708826839489,0.1831005441394923,0.4376914264670364,0.4376914264670364,REV
-1.0,2.4693757329903674,1.4524471229071514,1.0322147169556284,-1.391714765701791,0.7462050191954109,1.4934432000532585,0.010114727099983525,-0.8968727415326885,0.442288690219001,5642,2021-02-28 19:45:00+00:00,DEV_2021_2024,43391.14,44521.66,43000.0,44405.32,48262.83,H4_7D_PIVOT_SWEEP_RECLAIM,0.08693017209694509,-0.08693017209694509,0.08693017209694509,0.21823937529876042,0.32556741898410024,0.32556741898410024,REV
1.0,-0.391127782573674,-0.5441512817134173,-0.33936460853094264,1.1906533991709283,0.18013178019708048,0.04575558333512474,-0.029492575658883982,0.8968727415326884,-0.44228869021900113,6452,2021-03-09 07:45:00+00:00,DEV_2021_2024,53840.63,54448.0,53409.57,53546.9,54173.38,H4_7D_PIVOT_SWEEP_RECLAIM,0.011699839150322244,0.011699839150322244,-0.011699839150322244,0.14415392988244524,0.3221194084086891,0.3221194084086891,REV
1.0,-0.06567829615796489,-0.8226992554762682,-1.3131045984063072,-0.33485696571862417,0.6194959167411144,0.08474024263862114,-0.007362435850473067,0.8314696123025451,0.5555702330196024,6532,2021-03-10 03:45:00+00:00,DEV_2021_2024,54874.67,55813.09,53134.8,53467.8,55992.6,H4_7D_PIVOT_SWEEP_RECLAIM,0.047210563711266085,0.047210563711266085,-0.047210563711266085,0.18796446242975934,0.34813528485611417,0.34813528485611417,REV
