impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,parent_family,raw_24h,cont_24h,rev_24h
-1.0,-2.0133746615158055,-1.2758794214502795,-2.558519574563704,-1.0943920047040123,0.6128709227050199,1.0923916578383341,-0.025726465522939654,0.06540312923014312,-0.9978589232386035,1967,2021-01-21 11:45:00+00:00,DEV_2021_2024,34624.27,34681.73,32009.68,32208.62,31710.88,H4_DISPLACEMENT_EXTREME,-0.015400741890943204,0.015400741890943204,-0.015400741890943204
1.0,0.2520817952753152,0.704693529211647,4.807993184230843,2.414444334614383,1.2643230888167076,0.11542063608079621,-0.01030579158621061,0.06540312923014312,-0.9978589232386035,2735,2021-01-29 11:45:00+00:00,DEV_2021_2024,32266.36,37990.0,32006.91,37025.32,33660.4,H4_DISPLACEMENT_EXTREME,-0.09084500442012622,-0.09084500442012622,0.09084500442012622
-1.0,0.7971492854551847,-1.682418503970639,-2.7516332257353393,0.6894340338546983,2.3872292808824755,1.8407160542557635,0.0009809405051049865,-0.8968727415326885,0.442288690219001,2767,2021-01-29 19:45:00+00:00,DEV_2021_2024,37129.4,37569.0,33500.0,34318.57,34286.5,H4_DISPLACEMENT_EXTREME,-0.0010488746449122122,0.0010488746449122122,-0.0010488746449122122
1.0,0.2529752824704264,0.24767533773341213,3.859439100196039,2.4336908044567473,2.458212040174142,0.8849222839955196,0.00245210753124761,-0.8314696123025452,-0.5555702330196022,3711,2021-02-08 15:45:00+00:00,DEV_2021_2024,39423.08,44918.0,39094.01,43716.32,46773.63,H4_DISPLACEMENT_EXTREME,0.07025567675432676,0.07025567675432676,-0.07025567675432676
-1.0,4.090279469822919,-2.198393273268983,-3.119941671553821,-3.4132938412585427,1.8284255677166208,4.54883658089851,0.026338989400636705,0.06540312923014312,-0.9978589232386035,5130,2021-02-23 11:45:00+00:00,DEV_2021_2024,49642.92,50027.01,44892.56,46369.29,50360.02,H4_DISPLACEMENT_EXTREME,0.08630185978428417,-0.08630185978428417,0.08630185978428417
-1.0,-0.5392365287949953,-2.504858303604078,-2.9718748978898186,-3.3043250100160098,0.6708580895106321,1.3281361513700785,0.030869479526423466,-0.8968727415326885,0.442288690219001,5162,2021-02-23 19:45:00+00:00,DEV_2021_2024,48602.02,49247.69,45500.0,45523.0,48959.93,H4_DISPLACEMENT_EXTREME,0.0754982863614937,-0.0754982863614937,0.0754982863614937
1.0,2.1017795116966784,0.4647524504748542,3.0215126355602715,-2.1026944241720287,-0.23473456098141537,0.983486683702204,0.04194805700525118,-0.0654031292301428,0.9978589232386035,5178,2021-02-23 23:45:00+00:00,DEV_2021_2024,45523.02,48938.85,45251.0,48891.0,49676.2,H4_DISPLACEMENT_EXTREME,0.016060215581599868,0.016060215581599868,-0.016060215581599868
1.0,0.07420018535793617,0.45987638585635915,2.566608202139289,0.6730758043386041,0.8816110362559761,0.06855156596086243,0.032460754945790996,-0.8968727415326885,0.442288690219001,7268,2021-03-17 19:45:00+00:00,DEV_2021_2024,54930.0,58201.58,54740.0,57867.42,57293.79,H4_DISPLACEMENT_EXTREME,-0.009912831779954945,-0.009912831779954945,0.009912831779954945
-1.0,7.283942542869461,-10.216165664429498,-6.8864957326036995,-4.734146185198275,4.433140896383871,12.671269511888875,0.15148822795955957,0.8314696123025451,0.5555702330196024,10276,2021-04-18 03:45:00+00:00,DEV_2021_2024,60006.67,60499.0,50931.3,55014.46,57030.9,H4_DISPLACEMENT_EXTREME,0.03692526601358792,-0.03692526601358792,0.03692526601358792
-1.0,-0.9626519006876648,-3.5829167088381744,-3.837364751941872,-4.531484568830361,2.3480961739476345,2.6059057884154426,-0.009385451261742958,0.06540312923014312,-0.9978589232386035,10308,2021-04-18 11:45:00+00:00,DEV_2021_2024,56184.51,56498.0,53064.66,53308.92,57107.4,H4_DISPLACEMENT_EXTREME,0.07144706536593715,-0.07144706536593715,0.07144706536593715
