impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,parent_family,raw_24h,cont_24h,rev_24h,p_cont,p_rev,router_conf,router_side,source_row,filled,fill_time,signal_net_R,gross_R,cost_R,outcome,stop_frac,episode_7d,prior_virtual_fills,vf1_mature,real_R,real_fill
-1.0,-2.1952617631546785,-2.138082958475704,-4.655022058280735,-2.117527474008582,2.4906080171401457,2.6610247121193096,-0.026642302743071673,-0.8314696123025452,-0.5555702330196022,13464,2021-05-21 15:45:00+00:00,DEV_2021_2024,41124.3,41789.4,36444.44,36794.57,38162.4,H4_DISPLACEMENT_EXTREME,0.03692931716955661,-0.03692931716955661,0.03692931716955661,0.258196886731902,0.3144390116478376,0.3144390116478376,REV,22,False,,0.0,0.0,0.0,NO_FILL,,1,0,False,0.0,False
-1.0,0.5282164693995773,-1.2437381783275478,-2.33330700359629,-2.348195797025471,1.0429796354637695,0.48913096696828934,-0.040386047678241936,-0.8314696123025452,-0.5555702330196022,13656,2021-05-23 15:45:00+00:00,DEV_2021_2024,35386.8,35800.0,32600.0,33318.09,37539.63,H4_DISPLACEMENT_EXTREME,0.12676061833774455,-0.12676061833774455,0.12676061833774455,0.1904182192179211,0.3646954034310529,0.3646954034310529,REV,23,True,2021-05-23 16:15:00+00:00,1.4950440484375,1.5,0.0049559515625,TP,0.10088879878958665,1,0,False,0.0,False
-1.0,-2.4603707360872202,-1.0832741514827096,-2.4404971567660203,-0.34069649283610554,0.8897434034859291,1.2269762171499006,-0.03708141867295751,0.06540312923014312,-0.9978589232386035,13832,2021-05-25 11:45:00+00:00,DEV_2021_2024,38993.91,39110.0,36486.0,36537.16,39850.65,H4_DISPLACEMENT_EXTREME,0.09068792136884185,-0.09068792136884185,0.09068792136884185,0.18706803311736886,0.33619339146127103,0.33619339146127103,REV,24,False,,0.0,0.0,0.0,NO_FILL,,1,1,True,0.0,False
-1.0,-1.411239502769522,-1.374535645271023,-3.7567230795472497,1.211141989537861,0.7717220503887172,0.7028949816212341,0.09958545229453773,-0.0654031292301428,0.9978589232386035,19832,2021-07-26 23:45:00+00:00,DEV_2021_2024,39361.36,39510.96,36764.93,37237.6,39457.87,H4_DISPLACEMENT_EXTREME,0.05951828251031843,-0.05951828251031843,0.05951828251031843,0.22685617598878297,0.33687588470231644,0.33687588470231644,REV,28,False,,0.0,0.0,0.0,NO_FILL,,2,0,False,0.0,False
-1.0,-1.9376327965575153,-1.1527493975409446,-2.395676323867114,-0.48169946712164385,1.2926882925769452,1.711473894434877,0.13623920784213278,0.8314696123025451,0.5555702330196024,24438,2021-09-13 03:45:00+00:00,DEV_2021_2024,46025.23,46285.71,44555.0,44617.79,45186.85,H4_DISPLACEMENT_EXTREME,0.012824702541853972,-0.012824702541853972,0.012824702541853972,0.31165188037202973,0.35679908759908624,0.35679908759908624,REV,34,False,,0.0,0.0,0.0,NO_FILL,,3,0,False,0.0,False
-1.0,2.854914455267751,0.830791817647669,-2.308430126756323,-1.4970237209297406,1.4640669438010494,1.3295627961292693,0.03760978083838802,-0.0654031292301428,0.9978589232386035,25286,2021-09-21 23:45:00+00:00,DEV_2021_2024,42010.81,42331.87,39600.0,40734.38,43543.61,H4_DISPLACEMENT_EXTREME,0.06897220485347777,-0.06897220485347777,0.06897220485347777,0.283301303558447,0.3784071280405359,0.3784071280405359,REV,36,False,,0.0,0.0,0.0,NO_FILL,,4,0,False,0.0,False
-1.0,-1.2014717932247976,-1.2473114988647112,-3.2078569311816376,-1.9376265308981548,1.0384072072822264,1.8014499114519247,-0.026642565403501097,-0.8968727415326885,0.442288690219001,31214,2021-11-22 19:45:00+00:00,DEV_2021_2024,58194.78,58250.0,55800.0,55993.03,57778.2,H4_DISPLACEMENT_EXTREME,0.03188181959757852,-0.03188181959757852,0.03188181959757852,0.20314055058813704,0.35931878432814,0.35931878432814,REV,47,False,,0.0,0.0,0.0,NO_FILL,,5,0,False,0.0,False
-1.0,-2.2568628364385366,-1.9328853526098202,-4.709427336725227,-2.6211488624144286,2.185763506768522,1.585535906739405,-0.04126959595864215,0.06540312923014312,-0.9978589232386035,31566,2021-11-26 11:45:00+00:00,DEV_2021_2024,56966.32,56966.32,53680.45,53719.3,54605.73,H4_DISPLACEMENT_EXTREME,0.01650095654616579,-0.01650095654616579,0.01650095654616579,0.26598152620910115,0.36227905032434465,0.36227905032434465,REV,48,False,,0.0,0.0,0.0,NO_FILL,,5,0,False,0.0,False
-1.0,0.20928526920639348,-2.6379499796984756,-3.178177160184024,-0.6119288854109562,1.9810727798533592,0.6677879623610928,-0.023006247151433384,0.06540312923014312,-0.9978589232386035,39918,2022-02-21 11:45:00+00:00,DEV_2021_2024,39294.06,39362.15,37348.49,37577.33,37519.48,H4_DISPLACEMENT_EXTREME,-0.0015068088492418141,0.0015068088492418141,-0.0015068088492418141,0.20424357732255558,0.31795097514184206,0.31795097514184206,REV,62,False,,0.0,0.0,0.0,NO_FILL,,6,0,False,0.0,False
-1.0,0.39096320775237975,-3.908665506286845,-4.754724521139008,-2.342045951434929,2.6678260944578693,2.8757192941733525,-0.018988637992336563,0.8314696123025451,0.5555702330196024,40174,2022-02-24 03:45:00+00:00,DEV_2021_2024,37250.02,37427.81,34720.53,34936.89,38923.36,H4_DISPLACEMENT_EXTREME,0.11410457138441021,-0.11410457138441021,0.11410457138441021,0.2527910469659277,0.3817551645732733,0.3817551645732733,REV,63,False,,0.0,0.0,0.0,NO_FILL,,6,0,False,0.0,False
