impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,parent_family,raw_24h,cont_24h,rev_24h
-1.0,1.255120500926931,1.1243401828727202,-2.015709903255506,-1.8186373496301136,0.7013945177336531,2.043296887885443,-0.018804533437170427,0.8314696123025451,0.5555702330196024,5098,2021-02-23 03:45:00+00:00,DEV_2021_2024,54087.67,54183.59,50901.0,51906.36,50874.99,H4_FAILED_EXTENSION,-0.019763498509558608,0.019763498509558608,-0.019763498509558608
-1.0,-1.311512542181035,1.9619974921041097,-2.5363717930312655,-1.4880344348335628,0.9147355489975328,1.5013982166936573,-0.0034456050237262783,0.06540312923014312,-0.9978589232386035,37230,2022-01-24 11:45:00+00:00,DEV_2021_2024,34887.9,35562.15,33029.54,33697.11,36406.0,H4_FAILED_EXTENSION,0.08038906589049732,-0.08038906589049732,0.08038906589049732
1.0,-2.2229952745074533,-2.389587247543004,2.7041062119305557,-1.5665615951314706,1.5323542022821506,1.329679435537801,0.02624267745233386,0.8968727415326884,-0.44228869021900113,47390,2022-05-10 07:45:00+00:00,DEV_2021_2024,30642.55,32658.99,30600.0,31609.78,30614.99,H4_FAILED_EXTENSION,-0.03147126254239585,-0.03147126254239585,0.03147126254239585
1.0,-0.34954726167888217,-1.4724914136814098,2.4919130413903345,0.23209607797001558,1.2848791705985723,0.12113408492490078,0.030789614083206747,0.06540312923014312,-0.9978589232386035,47502,2022-05-11 11:45:00+00:00,DEV_2021_2024,30614.99,32162.59,30376.61,31533.15,28472.98,H4_FAILED_EXTENSION,-0.09704583812458889,-0.09704583812458889,0.09704583812458889
-1.0,2.785819591374214,1.3339380895880644,-2.197969406199598,-3.8451394002600323,0.7371960866652302,2.1385419188445614,0.01675014698301395,0.06540312923014312,-0.9978589232386035,64974,2022-11-09 11:45:00+00:00,DEV_2021_2024,18239.34,18256.85,17250.33,17818.08,16397.57,H4_FAILED_EXTENSION,-0.0796707876210847,0.0796707876210847,-0.0796707876210847
-1.0,-3.102020392880965,1.9194315255204704,-1.7162132266439707,-2.8441782755921126,0.7036789097554479,2.780082066741586,-0.013095249452183443,-0.8968727415326885,0.442288690219001,65006,2022-11-09 19:45:00+00:00,DEV_2021_2024,17119.61,17333.33,16441.53,16784.64,17455.62,H4_FAILED_EXTENSION,0.03997583504918789,-0.03997583504918789,0.03997583504918789
1.0,-0.5678287415756691,-1.557908788087798,2.168418599312184,2.438351118109136,0.8954378782250918,-0.14971776072905146,0.07121525897443545,-0.8314696123025452,-0.5555702330196022,68254,2022-12-13 15:45:00+00:00,DEV_2021_2024,17444.32,18000.0,17395.0,17752.94,18061.83,H4_FAILED_EXTENSION,0.01736498748981896,0.01736498748981896,-0.01736498748981896
1.0,-1.5934581034565505,-2.707319374361008,1.9547327058782897,1.0138275379562387,1.224794112151068,1.5530067538520111,-0.08682084705965552,-0.8968727415326885,0.442288690219001,76814,2023-03-12 19:45:00+00:00,DEV_2021_2024,20359.59,21331.75,20341.85,20779.54,24279.91,H4_FAILED_EXTENSION,0.16845271839511367,0.16845271839511367,-0.16845271839511367
1.0,-1.2249372021378129,-1.2057548037470496,1.8952215234187786,3.99991502319581,1.3308320144917005,0.5858706093945288,0.2539832159254597,-0.8968727415326885,0.442288690219001,93129,2023-08-29 19:45:00+00:00,DEV_2021_2024,27423.44,28142.85,27350.01,27831.33,27178.28,H4_FAILED_EXTENSION,-0.02346456313801759,-0.02346456313801759,0.02346456313801759
1.0,-5.086723367074626,-3.518192602968322,3.337187836593071,5.1911636551052,2.860847798588702,3.620551929496414,-0.0862258551206982,0.8314696123025451,0.5555702330196024,98441,2023-10-24 03:45:00+00:00,DEV_2021_2024,33069.99,35280.0,32832.34,34061.6,33999.39,H4_FAILED_EXTENSION,-0.0018261038313243105,-0.0018261038313243105,0.0018261038313243105
