cell,window,selected_rev,mature_admit,real_fills,fills_per_month,mean_R_per_fill,cum_R,profit_factor,max_dd_R,max_consecutive_losses,episodes,positive_episodes,negative_episodes,worst_episode_R,top_episode_positive_share,worst_loeo_remaining_R,bootstrap_ci025,bootstrap_ci975,family
H4_DISPLACEMENT_EXTREME,2021,26,9,3,0.25,0.6615274152638994,1.9845822457916977,2.973499187520351,1.0056159426573021,1,8,1,0,0.0,1.0,-2.220446049250313e-16,0.0,0.15667754572039722,H4_DISPLACEMENT_EXTREME
H4_DISPLACEMENT_EXTREME,2022,26,0,0,0.0,,0.0,,0.0,0,12,0,0,0.0,,0.0,0.0,0.0,H4_DISPLACEMENT_EXTREME
H4_DISPLACEMENT_EXTREME,2023,20,2,0,0.0,,0.0,,0.0,0,14,0,0,0.0,,0.0,0.0,0.0,H4_DISPLACEMENT_EXTREME
H4_DISPLACEMENT_EXTREME,2024,23,2,1,0.08333333333333333,1.4827367501081687,1.4827367501081687,inf,0.0,0,15,1,0,0.0,1.0,0.0,0.0,0.17108500962786563,H4_DISPLACEMENT_EXTREME
H4_DISPLACEMENT_EXTREME,2025_H1,16,0,0,0.0,,0.0,,0.0,0,8,0,0,0.0,,0.0,0.0,0.0,H4_DISPLACEMENT_EXTREME
H4_FAILED_EXTENSION,2021,1,0,0,0.0,,0.0,,0.0,0,1,0,0,0.0,,0.0,0.0,0.0,H4_FAILED_EXTENSION
H4_FAILED_EXTENSION,2022,3,0,0,0.0,,0.0,,0.0,0,2,0,0,0.0,,0.0,0.0,0.0,H4_FAILED_EXTENSION
H4_FAILED_EXTENSION,2023,0,0,0,0.0,,0.0,,0.0,0,0,0,0,,,,,,H4_FAILED_EXTENSION
H4_FAILED_EXTENSION,2024,1,0,0,0.0,,0.0,,0.0,0,1,0,0,0.0,,0.0,0.0,0.0,H4_FAILED_EXTENSION
H4_FAILED_EXTENSION,2025_H1,0,0,0,0.0,,0.0,,0.0,0,0,0,0,,,,,,H4_FAILED_EXTENSION
H4_7D_PIVOT_SWEEP_RECLAIM,2021,58,5,1,0.08333333333333333,-1.0039980790340286,-1.0039980790340286,0.0,1.0039980790340286,1,18,0,1,-1.0039980790340286,,-1.0039980790340286,-0.047809432334953744,0.0,H4_7D_PIVOT_SWEEP_RECLAIM
H4_7D_PIVOT_SWEEP_RECLAIM,2022,51,6,0,0.0,,0.0,,0.0,0,18,0,0,0.0,,0.0,0.0,0.0,H4_7D_PIVOT_SWEEP_RECLAIM
H4_7D_PIVOT_SWEEP_RECLAIM,2023,34,0,0,0.0,,0.0,,0.0,0,18,0,0,0.0,,0.0,0.0,0.0,H4_7D_PIVOT_SWEEP_RECLAIM
H4_7D_PIVOT_SWEEP_RECLAIM,2024,47,4,1,0.08333333333333333,1.4719628156807134,1.4719628156807134,inf,0.0,0,20,1,0,0.0,1.0,0.0,0.0,0.1103972111760535,H4_7D_PIVOT_SWEEP_RECLAIM
H4_7D_PIVOT_SWEEP_RECLAIM,2025_H1,32,0,0,0.0,,0.0,,0.0,0,12,0,0,0.0,,0.0,0.0,0.0,H4_7D_PIVOT_SWEEP_RECLAIM
