cell,window,selected_rev,mature_admit,real_fills,fills_per_month,mean_R_per_fill,cum_R,profit_factor,max_dd_R,max_consecutive_losses,episodes,positive_episodes,negative_episodes,worst_episode_R,top_episode_positive_share,worst_loeo_remaining_R,bootstrap_ci025,bootstrap_ci975,family
H4_DISPLACEMENT_EXTREME,2025_H2,8,0,0,0.0,,0.0,,0.0,0,5,0,0,0.0,,0.0,0.0,0.0,H4_DISPLACEMENT_EXTREME
H4_DISPLACEMENT_EXTREME,2026_JAN_JUL,7,0,0,0.0,,0.0,,0.0,0,7,0,0,0.0,,0.0,0.0,0.0,H4_DISPLACEMENT_EXTREME
H4_DISPLACEMENT_EXTREME,POOLED_RECENT,15,0,0,0.0,,0.0,,0.0,0,12,0,0,0.0,,0.0,0.0,0.0,H4_DISPLACEMENT_EXTREME
H4_DISPLACEMENT_EXTREME,AUG2026_REUSED_AUDIT,0,0,0,0.0,,0.0,,0.0,0,0,0,0,,,,,,H4_DISPLACEMENT_EXTREME
H4_FAILED_EXTENSION,2025_H2,0,0,0,0.0,,0.0,,0.0,0,0,0,0,,,,,,H4_FAILED_EXTENSION
H4_FAILED_EXTENSION,2026_JAN_JUL,0,0,0,0.0,,0.0,,0.0,0,0,0,0,,,,,,H4_FAILED_EXTENSION
H4_FAILED_EXTENSION,POOLED_RECENT,0,0,0,0.0,,0.0,,0.0,0,0,0,0,,,,,,H4_FAILED_EXTENSION
H4_FAILED_EXTENSION,AUG2026_REUSED_AUDIT,0,0,0,0.0,,0.0,,0.0,0,0,0,0,,,,,,H4_FAILED_EXTENSION
H4_7D_PIVOT_SWEEP_RECLAIM,2025_H2,22,2,0,0.0,,0.0,,0.0,0,7,0,0,0.0,,0.0,0.0,0.0,H4_7D_PIVOT_SWEEP_RECLAIM
H4_7D_PIVOT_SWEEP_RECLAIM,2026_JAN_JUL,21,0,0,0.0,,0.0,,0.0,0,8,0,0,0.0,,0.0,0.0,0.0,H4_7D_PIVOT_SWEEP_RECLAIM
H4_7D_PIVOT_SWEEP_RECLAIM,POOLED_RECENT,43,2,0,0.0,,0.0,,0.0,0,15,0,0,0.0,,0.0,0.0,0.0,H4_7D_PIVOT_SWEEP_RECLAIM
H4_7D_PIVOT_SWEEP_RECLAIM,AUG2026_REUSED_AUDIT,6,3,0,0.0,,0.0,,0.0,0,3,0,0,0.0,,0.0,0.0,0.0,H4_7D_PIVOT_SWEEP_RECLAIM
