cell,window,selected_rev,mature_admit,real_fills,fills_per_month,mean_R_per_fill,cum_R,profit_factor,max_dd_R,max_consecutive_losses,episodes,positive_episodes,negative_episodes,worst_episode_R,top_episode_positive_share,worst_loeo_remaining_R,bootstrap_ci025,bootstrap_ci975,family
RANGE60_EXTREME,2025_H2,22,5,3,0.5,-0.6524583318513625,-1.9573749955540876,0.06613831089141861,2.0960009585814596,2,10,0,1,-1.9573749955540876,1.0,-1.9573749955540876,-0.22585096102547164,0.0,RANGE60_EXTREME
RANGE60_EXTREME,2026_JAN_JUL,19,12,5,0.7142857142857143,-0.055251651565152396,-0.27625825782576197,0.9138176568121541,2.1276360656114006,2,6,1,1,-1.7558439656496634,0.5051072608144807,-1.7558439656496632,-0.2194804957062079,0.16439841198043348,RANGE60_EXTREME
RANGE60_EXTREME,POOLED_RECENT,41,17,8,0.6153846153846154,-0.2792041566724812,-2.2336332533798493,0.5786797792994316,2.6054253533415865,2,16,1,2,-1.9573749955540876,0.48228333658369343,-3.7132189612037507,-0.18567062493936087,0.07708331232677669,RANGE60_EXTREME
RANGE60_EXTREME,AUG2026_REUSED_AUDIT,2,0,0,0.0,,0.0,,0.0,0,2,0,0,0.0,,0.0,0.0,0.0,RANGE60_EXTREME
VOLUME60_SHOCK,2025_H2,18,8,6,1.0,-0.5381748649899315,-3.22904918993959,0.3118539443474186,3.6499966786848455,2,8,1,2,-2.4572407947631207,1.0,-3.649996678684846,-0.38421017670366797,0.0561263318327008,VOLUME60_SHOCK
VOLUME60_SHOCK,2026_JAN_JUL,19,13,10,1.4285714285714286,0.18356913092166133,1.835691309216613,1.3394535899672162,2.1649940109983046,2,6,1,1,-0.3066830987858311,0.5946550387317535,-0.30668309878583155,-0.034075899865092345,0.2677968010003055,VOLUME60_SHOCK
VOLUME60_SHOCK,POOLED_RECENT,37,21,16,1.2307692307692308,-0.08708486754518605,-1.3933578807229772,0.8620461258615996,5.003866258485821,2,14,2,3,-2.4572407947631207,0.4947123338610045,-3.5357322887254217,-0.23770863925486008,0.13102530698238768,VOLUME60_SHOCK
VOLUME60_SHOCK,AUG2026_REUSED_AUDIT,2,1,1,1.0,1.319472728329068,1.319472728329068,inf,0.0,0,1,1,0,1.319472728329068,1.0,0.0,0.659736364164534,0.659736364164534,VOLUME60_SHOCK
PERSISTENT60_MOVE,2025_H2,57,46,32,5.333333333333333,-0.3741008521443958,-11.971227268620666,0.5211967889743668,15.00975835231406,5,6,2,2,-12.290904584687647,0.5217275005069736,-14.201400116491051,-0.3540574031157742,0.20562083399066644,PERSISTENT60_MOVE
PERSISTENT60_MOVE,2026_JAN_JUL,47,33,20,2.857142857142857,0.1426094213899814,2.852188427799627,1.262827753782886,4.3034035568325635,3,12,3,3,-1.6253522935680995,0.3052203530512552,0.09789746829736767,-0.09624797072021057,0.39034985300323366,PERSISTENT60_MOVE
PERSISTENT60_MOVE,POOLED_RECENT,104,79,52,4.0,-0.1753661315542508,-9.119038840821041,0.7456641935737066,15.010362268508349,5,18,5,5,-12.290904584687647,0.25429758384430506,-11.873329800323301,-0.2507306015233213,0.1947126722224156,PERSISTENT60_MOVE
PERSISTENT60_MOVE,AUG2026_REUSED_AUDIT,4,1,0,0.0,,0.0,,0.0,0,2,0,0,0.0,,0.0,0.0,0.0,PERSISTENT60_MOVE
