feature,n_periods,rho_vs_period_ev,p
downside_extension_72h_atr,7,-0.42857142857142866,0.3373683110858243
bear_trend_eff_24h,7,0.3214285714285715,0.48207203829967776
flow_persist_12h,7,0.3571428571428572,0.431611352038328
bear_trend_24h_atr,7,0.5,0.2531699951003227
bear_trend_72h_atr,7,-0.6785714285714287,0.09375025395983135
downside_extension_24h_atr,7,-0.10714285714285716,0.8191508555699912
atr_rank_90d,7,0.28571428571428575,0.5345092286010406
flow_persist_3h,7,0.642857142857143,0.11939237342741109
oi_logchg_3h,7,0.8928571428571429,0.006807187408935393
oi_logchg_12h,7,0.5714285714285715,0.18020198891152767
