destination,lag,window,n,mean_score,median_score,mean_active,median_active,top2_share,median_rank
EXPANSION,1,1,438,11.141552511415526,10.0,0.8356164383561644,1.0,0.07077625570776255,4.0
EXPANSION,1,2,438,22.477168949771688,20.0,1.5844748858447488,2.0,0.22602739726027396,3.0
EXPANSION,1,3,438,34.62328767123287,35.0,2.3926940639269407,2.0,0.4246575342465753,3.0
EXPANSION,2,1,438,14.30365296803653,10.0,1.0182648401826484,1.0,0.0776255707762557,4.0
EXPANSION,2,2,438,28.664383561643834,25.0,1.9977168949771689,2.0,0.2374429223744292,3.0
EXPANSION,2,3,438,36.58675799086758,35.0,2.5136986301369864,2.0,0.3515981735159817,3.0
EXPANSION,3,1,438,20.011415525114156,20.0,1.4589041095890412,1.0,0.0958904109589041,4.0
EXPANSION,3,2,438,29.71461187214612,25.0,2.1095890410958904,2.0,0.23515981735159816,3.0
EXPANSION,3,3,438,38.43607305936073,35.0,2.6232876712328768,3.0,0.3812785388127854,3.0
PULLBACK,1,1,494,20.172064777327936,20.0,1.5242914979757085,2.0,0.10931174089068826,3.0
PULLBACK,1,2,494,34.068825910931174,30.0,2.2813765182186234,2.0,0.291497975708502,3.0
PULLBACK,1,3,494,42.064777327935225,40.0,2.748987854251012,3.0,0.4008097165991903,3.0
PULLBACK,2,1,494,24.281376518218625,20.0,1.6072874493927125,2.0,0.14777327935222673,3.0
PULLBACK,2,2,494,34.64574898785425,30.0,2.251012145748988,2.0,0.2874493927125506,3.0
PULLBACK,2,3,494,42.540485829959515,40.0,2.714574898785425,3.0,0.41295546558704455,3.0
PULLBACK,3,1,494,19.757085020242915,20.0,1.3765182186234817,1.0,0.11133603238866396,3.0
PULLBACK,3,2,494,31.356275303643724,30.0,2.076923076923077,2.0,0.24696356275303644,3.0
PULLBACK,3,3,494,38.522267206477736,35.0,2.516194331983806,2.0,0.3582995951417004,3.0
RANGE,1,1,177,16.807909604519775,10.0,1.2485875706214689,1.0,0.06779661016949153,4.0
RANGE,1,2,177,28.587570621468927,25.0,2.0508474576271185,2.0,0.23728813559322035,3.0
RANGE,1,3,177,39.2090395480226,35.0,2.7401129943502824,3.0,0.4124293785310734,3.0
RANGE,2,1,177,19.774011299435028,20.0,1.497175141242938,2.0,0.07909604519774012,4.0
RANGE,2,2,177,32.3728813559322,25.0,2.3389830508474576,2.0,0.1864406779661017,3.0
RANGE,2,3,177,40.282485875706215,35.0,2.84180790960452,3.0,0.3389830508474576,3.0
RANGE,3,1,177,22.45762711864407,20.0,1.7118644067796611,2.0,0.07909604519774012,4.0
RANGE,3,2,177,32.59887005649718,25.0,2.384180790960452,2.0,0.21468926553672316,3.0
RANGE,3,3,177,40.16949152542373,35.0,2.864406779661017,3.0,0.3389830508474576,3.0
REVERSAL,1,1,9,47.77777777777778,50.0,2.5555555555555554,3.0,1.0,1.0
REVERSAL,1,2,9,58.888888888888886,60.0,3.3333333333333335,3.0,1.0,1.0
REVERSAL,1,3,9,58.888888888888886,60.0,3.3333333333333335,3.0,1.0,1.0
REVERSAL,2,1,9,33.333333333333336,30.0,2.0,2.0,0.7777777777777778,2.0
REVERSAL,2,2,9,34.44444444444444,30.0,2.111111111111111,2.0,0.7777777777777778,2.0
REVERSAL,2,3,9,46.666666666666664,40.0,2.7777777777777777,3.0,1.0,1.0
REVERSAL,3,1,9,7.777777777777778,10.0,0.6666666666666666,1.0,0.1111111111111111,4.0
REVERSAL,3,2,9,26.666666666666668,30.0,1.7777777777777777,2.0,0.5555555555555556,2.0
REVERSAL,3,3,9,31.11111111111111,30.0,2.111111111111111,2.0,0.7777777777777778,1.0
