bin,n,score_min,score_max,score_mean,mean_outcome,median_outcome,p_positive,pf
1,34,-0.35,-0.075,-0.18308823529411766,0.10202158218625978,-0.33661894197273823,0.4411764705882353,1.2140706362338294
2,35,-0.025,0.1,0.052857142857142866,0.06962438652471507,-0.2285449863190092,0.4,1.1763063411977983
3,33,0.125,0.175,0.14545454545454545,0.06607337440456142,-0.3830519895098586,0.42424242424242425,1.1406503937924892
4,30,0.2,0.25,0.22500000000000003,0.0959255790478308,-0.23059589149109488,0.43333333333333335,1.2359255681389503
5,46,0.275,0.35,0.3146739130434782,0.15088847371026057,-0.3227420146338251,0.4782608695652174,1.3576014809372685
6,26,0.375,0.4,0.3913461538461539,0.20490914944623623,0.17822759118243225,0.5,1.463767514738108
7,44,0.425,0.475,0.45738636363636365,-0.0692088465037394,-0.48190053571990776,0.36363636363636365,0.8662799541069438
8,19,0.5,0.525,0.5118421052631579,-0.2596334891764527,-0.8181578644938942,0.3684210526315789,0.5259499434570606
9,33,0.55,0.6,0.5696969696969697,0.2346504680222395,-0.2706584899877434,0.48484848484848486,1.5403117737525813
10,27,0.625,0.725,0.6629629629629629,0.37676801065538507,0.5214190962584788,0.5185185185185185,2.1204854582392616
