q5,compat,n,mean_outcome,p_positive
1,ALIGNED,3,-0.2386482772027451,0.3333333333333333
1,NEUTRAL,61,0.12288879072194774,0.4262295081967213
1,OPPOSED,5,-0.17493681594654345,0.4
2,ALIGNED,17,0.19369793762520018,0.47058823529411764
2,NEUTRAL,30,0.2188824829079511,0.5
2,OPPOSED,16,-0.30007191875509287,0.25
3,ALIGNED,28,0.1365471124101087,0.5
3,NEUTRAL,12,-0.07099383110275025,0.4166666666666667
3,OPPOSED,32,0.2905348281882527,0.5
4,ALIGNED,21,-0.21368920951744508,0.2857142857142857
4,NEUTRAL,2,-0.7997767827093754,0.0
4,OPPOSED,40,-0.04727996438080094,0.425
5,ALIGNED,28,0.4176215143597962,0.5357142857142857
5,OPPOSED,32,0.19446247907359385,0.46875
