q5,compat,n,mean_outcome,p_positive,mean_raw_R
1,ALIGNED,4026,-0.1268258876058002,0.2799304520615996,-0.18145619571424318
1,NEUTRAL,47809,-0.020610218373729665,0.3043569202451421,-0.10711328391967521
1,OPPOSED,4034,0.07894931118244705,0.3252354982647496,-0.03752829281198248
2,ALIGNED,12514,-0.057506800626136785,0.3127696979383091,-0.07837045625650142
2,NEUTRAL,30763,-0.03746743434658278,0.30403406689854695,-0.11599984674805092
2,OPPOSED,11548,-0.005166239947332349,0.2871492899203325,-0.15368006883415203
3,ALIGNED,19147,-0.0694789985377189,0.3154541181386118,-0.07418475353119978
3,NEUTRAL,16584,-0.0394571264239614,0.3102990834539315,-0.10612439564004557
3,OPPOSED,17707,0.02715524599443376,0.2963799627266053,-0.13834115474631198
4,ALIGNED,26693,-0.04860855494240182,0.3225190124751808,-0.04723787972239389
4,NEUTRAL,1335,-0.05400813870458459,0.299625468164794,-0.11477473381871298
4,OPPOSED,24446,-0.008644376415599342,0.2812321034116011,-0.17492761033575724
5,ALIGNED,24611,0.013607001996235098,0.3465523546381699,0.015271766706439982
5,OPPOSED,22188,-0.0322240521989146,0.28326122228231476,-0.18166678690535012
