period,candidate_time,side_name,R,anchor_high,anchor_low,resolution_1m,resolution_3m,resolution_5m,resolution_minute_3m,resolution_close_3m,mfe_15m,mae_15m,mfe_60m,mae_60m,ret_60m,impulse60,delayed_release_R,delayed_minus_original_R
historical,2021-01-29 05:30:00,SELL,1.4963886215791933,33049.86,32800.0,UNRESOLVED,UNRESOLVED,REJECTION,,,0.10306659162366301,0.6506770822738117,0.8656074753680418,0.6506770822738117,0.2710046947083365,0,,
historical,2021-02-16 04:00:00,BUY,-1.0044214092967185,49755.5,49418.99,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,1.3240191629126017,0.8649222550761004,1.5108334307813105,1.5014524388908368,-0.5758265908614112,0,,
historical,2021-02-25 09:45:00,SELL,-1.0047399745874934,49193.38,48578.67,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,-0.45089603199860323,1.131338134697508,-0.11543312469793335,1.6044021672933486,-1.3626719473814408,0,,
historical,2021-02-28 04:20:00,BUY,-1.003003293493226,44948.51,44596.45,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.38368828460273896,0.8596237917619146,1.2652709260819046,1.5017246219869225,0.4494244575462252,0,,
historical,2021-03-08 03:15:00,SELL,0.9681203781862259,50682.86,50323.54,UNRESOLVED,RELEASE,RELEASE,2.0,50311.92,0.26933240160196903,0.7574098102182731,0.42365099403211726,0.7574098102182731,0.41856275755027006,0,-1.0041223662933303,-1.9722427444795563
historical,2021-04-13 08:15:00,BUY,2.1198112809652634,61747.22,61193.1,RELEASE,RELEASE,RELEASE,1.0,62188.51,3.3929733898801033,-1.0362541658227686,3.7858506257173232,-1.0362541658227686,3.271361029789353,1,2.122935745640494,0.0031244646752304206
historical,2021-04-23 01:10:00,SELL,1.4967726569992201,51771.6,51142.29,UNRESOLVED,RELEASE,RELEASE,3.0,51137.33,0.6374384196549476,0.1730203496967071,3.203239102523424,0.6346599630889179,1.2053209198338273,0,1.4967781666596895,5.509660469416033e-06
historical,2021-05-28 05:45:00,SELL,2.7680540476293363,37378.21,36777.0,RELEASE,RELEASE,RELEASE,1.0,36746.0,1.0366648308467346,0.10427869809425554,1.6860747900667714,0.4704237031169788,0.31222965488648574,1,-1.003537178104098,-3.7715912257334345
historical,2021-06-06 20:10:00,SELL,-1.008507271318783,35835.77,35608.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,-0.18257520321742798,2.3961109314817803,-0.18257520321742798,3.078047978036039,-2.040331501114634,0,,
historical,2021-07-03 09:35:00,SELL,-0.21423575755534607,34563.99,34450.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.006855452549814027,0.781987947994495,0.006855452549814027,0.875306046988838,-0.6294891055599908,0,,
historical,2021-07-11 09:25:00,BUY,-1.0098712894859658,33849.0,33632.82,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.13739389166007726,0.8276012951780812,0.13739389166007726,1.2315568390653948,-1.0565327732563468,0,,
historical,2021-07-23 01:40:00,BUY,-1.0076381062815554,32709.55,32383.66,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.9292750531799593,0.6120236511629147,1.5921639407666084,0.6229350647828578,0.22495561011912035,0,,
historical,2021-08-23 15:35:00,SELL,1.4911670733536142,49789.86,49637.59,RELEASE,RELEASE,RELEASE,1.0,49581.8,1.7604486773777768,0.3525594589030293,1.7604486773777768,0.3525594589030293,0.22386591531250044,1,0.07498106109709946,-1.4161860122565146
historical,2021-08-27 00:25:00,BUY,3.031797225193805,46590.67,46364.23,UNRESOLVED,RELEASE,RELEASE,3.0,46632.53,1.4079086447113285,-0.1144048717711107,5.118310335908235,-0.1144048717711107,4.828296891914751,1,2.636807212069156,-0.3949900131246489
historical,2021-08-31 00:25:00,SELL,-1.0055966042854367,46969.31,46825.09,UNRESOLVED,UNRESOLVED,RELEASE,,,0.5503118992993229,0.15712779810256094,0.5503118992993229,0.5615278725119335,-0.33161778384076396,0,,
historical,2021-09-07 08:25:00,SELL,1.4904569807866925,52227.51,51907.09,UNRESOLVED,RELEASE,RELEASE,3.0,51785.49,4.588993687220814,-0.2959895978598588,4.8749739750081185,-0.2959895978598588,3.725608199149114,1,1.490506647863212,4.966707651954394e-05
historical,2021-09-14 12:55:00,BUY,0.09692795525678354,46500.27,46333.65,RELEASE,RELEASE,RELEASE,1.0,46521.44,0.8732985165842485,0.31351047280403355,1.552336240902265,0.5506972609589343,-0.00354880826710613,0,-1.007538615108245,-1.1044665703650285
