signal_ts,entry_ts,exit_ts,side,entry_price,atr,rejection_ts,rejection_minute,rejection_close,action_minute,action_close,anchor_high,anchor_low,early_R,original_R,delta_R,saved_R,given_up_R,original_exit_ts,original_exit_reason,mfe_15m,mae_15m,ret_15m,mfe_30m,mae_30m,ret_30m,mfe_60m,mae_60m,ret_60m,mfe_120m,mae_120m,ret_120m,period
1609806000,1609806300,1609806960,-1,32352.42,327.08071428571463,1609806780,8,32568.02,11,32710.69,32499.84,32257.91,-0.7335347826625,-1.0032970883115309,0.2697623056490308,0.2697623056490308,0.0,1609807200,INITIAL_STOP,0.07655602701822418,1.5548761445951498,-1.2005293581968672,0.07655602701822418,1.6741433416391358,-0.7559907668050486,0.10550912509581013,1.6741433416391358,-0.6237909821298001,0.10550912509581013,1.6741433416391358,-0.6558320030224137,historical
1610148600,1610150400,1610150760,-1,40637.23,646.5464285714287,1610150580,3,40873.86,6,40978.5,40851.99,40601.0,-0.35398526316564416,1.3343492762093103,-1.6883345393749545,0.0,1.6883345393749545,1610172000,TIME_EXIT,-0.0025829544889578748,0.603607077162719,-0.3046339617638759,-0.0025829544889578748,0.6321278440947184,-0.27105555340738974,0.9629161534084939,0.6321278440947184,0.4570128098192091,1.2843625195406383,0.6321278440947184,0.600467318113277,historical
1610194200,1610195100,1610195520,-1,40623.68,422.4342857142848,1610195340,4,40734.99,7,40718.62,40709.85,40566.71,-0.1530355328301314,-1.0032055226397603,0.8501699898096289,0.8501699898096289,0.0,1610199600,INITIAL_STOP,0.0520080891702542,0.64012323133944,-0.19465749533317903,0.37089792495198054,0.64012323133944,-0.4987994751508255,0.37089792495198054,1.1556590374158022,-0.9464667370072789,0.37089792495198054,2.1688580472364234,-1.3644725806888034,historical
1610242500,1610243100,1610243820,1,41366.0,316.0978571428573,1610243640,9,41239.8,12,41201.46,41390.0,41255.9,-0.35138548867100544,-1.00436215126268,0.6529766625916744,0.6529766625916744,0.0,1610248200,INITIAL_STOP,0.14590418428290433,0.6757401076068166,-0.3631470362930131,0.14590418428290433,1.0898523739257955,-0.5958281454431945,0.14590418428290433,1.3635018088882955,-0.703358137285701,0.14590418428290433,3.4045153286617933,-2.5577522331466054,historical
1610455200,1610457000,1610457540,1,35395.64,462.1478571428587,1610457360,6,35157.78,9,35009.2,35450.0,35179.53,-0.5600080522570353,-1.002552980931172,0.44254492867413664,0.44254492867413664,0.0,1610457900,INITIAL_STOP,0.08858636768999882,1.774215734914757,-1.696751348903487,0.08858636768999882,2.58713738800352,-2.5381920133785107,0.08858636768999882,4.487827797844523,-3.065966828797824,0.08858636768999882,6.049232852194777,-3.384046849570396,historical
1610764800,1610765400,1610765760,1,36724.65,366.7692857142865,1610765580,3,36355.8,6,36307.07,36738.1,36536.0,-0.7623616059401572,-1.003337670431201,0.2409760644910437,0.2409760644910437,0.0,1610766000,INITIAL_STOP,0.037271387033883725,1.8928793305250242,-1.0337016068879528,0.037271387033883725,1.8928793305250242,-0.7644860431918047,0.037271387033883725,1.8928793305250242,-0.9074369445953734,0.0485864021173286,1.8928793305250242,-0.4759667911123557,historical
1611020400,1611021000,1611021480,1,37318.34,266.04857142857145,1611021300,5,37017.82,8,36946.28,37420.0,37101.28,-0.9369865935686585,-1.0046756299422546,0.06768903637359602,0.06768903637359602,0.0,1611021600,INITIAL_STOP,0.19203260414318893,1.6851810088383299,-1.0303381767024105,0.19203260414318893,1.7678726763104349,-1.6281613454041624,0.19203260414318893,2.437073788889237,-1.8668395674259197,0.19203260414318893,2.799037769687571,-2.221286123908608,historical
1611024600,1611025200,1611026160,1,36913.0,300.8250000000007,1611025980,13,36765.95,16,36733.97,36923.85,36780.0,-0.400843569073932,-1.0040901964043365,0.6032466273304045,0.6032466273304045,0.0,1611031800,INITIAL_STOP,0.139616055846422,0.515116762237177,-0.515116762237177,0.139616055846422,0.96374968835701,-0.5781101969583747,0.139616055846422,1.3193717277486927,-1.1867697166126525,0.139616055846422,2.026194631430225,-1.7751184243330798,historical
1611120600,1611121500,1611122460,-1,35332.28,343.8935714285711,1611122280,13,35491.76,16,35496.43,35462.24,35305.15,-0.32164333732820477,-1.0034247301040682,0.6817813927758634,0.6817813927758634,0.0,1611127500,INITIAL_STOP,0.19273404770163208,0.5836689507343467,-0.4818932767820648,0.19273404770163208,0.6621816134975355,-0.2968941803007951,0.19273404770163208,0.9325850398067492,-0.5291753470239022,0.5300477099434805,1.5200051510953396,-1.2778953621448483,historical
1611325500,1611326400,1611326940,-1,32299.99,348.61714285714305,1611326760,6,32381.59,9,32382.26,32364.64,32261.01,-0.16041475339299144,-1.0030883918229279,0.8426736384299365,0.8426736384299365,0.0,1611341100,INITIAL_STOP,0.2868189417781319,0.43030012457382155,-0.39685369131916687,0.2868189417781319,1.0613649029635406,-0.9868132048255869,0.2868189417781319,1.2506843364804563,-0.26372770784159066,0.9766587988460617,1.2506843364804563,-0.9753106150013062,historical
1611361800,1611363300,1611364080,1,32746.64,322.06285714285696,1611363900,10,32630.14,13,32573.8,32827.73,32633.0,-0.3611662094947457,-1.0033892597126892,0.6422230502179436,0.6422230502179436,0.0,1611364800,INITIAL_STOP,0.14907027909370596,0.6685961924025424,-0.5354234310959669,0.14907027909370596,1.5265343056368756,-0.990738276467765,0.6898653324107108,1.5265343056368756,-0.2093069675839673,0.6898653324107108,2.1340865137240232,-1.324865598552187,historical
1611534600,1611534900,1611535920,-1,32637.76,232.77928571428544,1611535740,14,32822.55,17,32832.82,32777.0,32617.0,-0.5633144071688635,-1.0046736346406189,0.4413592274717554,0.4413592274717554,0.0,1611540300,INITIAL_STOP,0.42026935386370756,0.9417504625780003,-0.7038856550196333,0.72927451203009,0.9417504625780003,0.1665096612057339,0.72927451203009,0.9417504625780003,0.38461326026186216,0.8983617221709066,1.7476211371286796,-0.3490001258089434,historical
1611792900,1611793200,1611793800,-1,29961.46,383.495,1611793620,7,30164.4,10,30201.78,30160.0,29936.5,-0.4203758814760726,-1.0026042460353681,0.5822283645592956,0.5822283645592956,0.0,1611795300,INITIAL_STOP,0.3080353068488439,0.8827494491453669,-0.3673059622680884,0.3080353068488439,1.3719605209976646,-1.348987600881372,0.3080353068488439,2.0431557125907793,-1.4127693972542037,0.3080353068488439,3.221032868746659,-2.818185373994451,historical
1611844200,1611846300,1611846780,1,32118.1,275.52642857142826,1611846600,5,31809.97,8,31760.84,32120.3,31825.61,-0.8683157470850145,-1.0038856647577705,0.13556991767275606,0.13556991767275606,0.0,1611846900,INITIAL_STOP,0.10750329887981634,1.5174587866862619,-0.7552814482406363,0.516465882194356,1.5174587866862619,-0.1382807456894154,0.516465882194356,1.5174587866862619,-0.5920666153363473,1.382444515304476,1.6626354225806668,1.0983701330180975,historical
1611896400,1611898200,1611898680,-1,32948.54,304.11785714285674,1611898500,5,33082.57,8,33081.65,33049.86,32800.0,-0.29540614783585795,1.4963886215791933,-1.7917947694150511,0.0,1.7917947694150511,1611906000,PROFIT_STOP,0.30100172630442,0.6761194555682221,-0.536272356816543,0.30100172630442,0.6761194555682221,-0.26785668150270436,0.8994539241130711,0.6761194555682221,0.14402311134077286,2.6750813242046734,0.6761194555682221,2.354942280365934,historical
1611971400,1611973200,1611973620,-1,33954.18,505.292857142856,1611973440,4,34099.99,7,34301.92,34046.61,33700.35,-0.46103654420114526,-0.46795002671718483,0.006913482516039571,0.006913482516039571,0.0,1611994800,TIME_EXIT,0.1502692922067834,1.017033968985459,-0.7473091983432549,0.1502692922067834,1.0364484528067182,-0.23443830310569422,0.8770557385391766,1.0364484528067182,0.502520461966891,2.1870881101482973,1.0364484528067182,1.2709263369191914,historical
