period,bucket,N,EV_R,PF,SumR,WR,MaxDD_R,mean_mfe60,mean_mae60,initial_stop_share,right_tail_ge_1p5R,mean_vol_percentile
historical,P0_20,1223,0.17464058370862537,1.2835042715597316,213.58543387564882,0.38184791496320525,19.1109519056655,1.5024450863308432,1.2403014811472732,0.5952575633687653,0.21259198691741618,0.09187051421822477
historical,P20_40,1232,0.16538055219659295,1.2742323800744604,203.7488403062025,0.3912337662337662,29.30163968555236,1.38136516284002,1.181592043267588,0.5917207792207793,0.20941558441558442,0.3010099399608328
historical,P40_60,1076,0.048010428957244736,1.078151776995699,51.65922155799534,0.3680297397769517,35.82523053026625,1.29880503216391,1.1301823725387552,0.5901486988847584,0.17007434944237917,0.4979292057591314
historical,P60_80,969,0.17712148251670504,1.323375402027772,171.63071655868717,0.41589267285861714,21.444594188634646,1.2123329770764228,1.1166814386095223,0.5294117647058824,0.18575851393188855,0.6945504078824511
historical,P80_100,776,0.07355237244885049,1.1412461253222244,57.076641020307974,0.4020618556701031,37.17678095300713,1.1544338424747227,0.9316895879841565,0.4793814432989691,0.15077319587628865,0.8996711872034037
historical,NA,21,0.127121783834355,1.2325445963180752,2.669557460521455,0.3333333333333333,3.036004648290314,1.1282903342633854,0.9296416612094403,0.47619047619047616,0.23809523809523808,
forward_2026,P0_20,125,0.12046017157055983,1.1948811864803202,15.057521446319978,0.384,13.224990784120962,1.4794920295700849,1.253710988236568,0.608,0.216,0.09101190476190477
forward_2026,P20_40,130,-0.025223965597054924,0.963473674292563,-3.27911552761714,0.3153846153846154,24.345709607380254,1.4356172335973125,1.325586553290442,0.6846153846153846,0.17692307692307693,0.29848519536019535
forward_2026,P40_60,105,0.25372930577079744,1.4562053670035287,26.64157710593373,0.42857142857142855,6.705867230044664,1.298852967388525,1.177001480365717,0.5523809523809524,0.24761904761904763,0.49874338624338627
forward_2026,P60_80,99,-0.02162069118938216,0.9647518191022163,-2.140448427748834,0.3838383838383838,12.10407198479372,1.0881574000413563,1.1788670752093835,0.5858585858585859,0.1717171717171717,0.6931417348084015
forward_2026,P80_100,63,-0.12827678295973946,0.7886465809051733,-8.081437326463586,0.30158730158730157,12.365024224287156,0.9690022931736262,1.095637986037126,0.5714285714285714,0.12698412698412698,0.8917863441672964
forward_2026,NA,22,0.33180652323368043,1.603147598764877,7.299743511140969,0.45454545454545453,2.5406237430192586,1.3385263651886863,0.8536061789402954,0.5454545454545454,0.18181818181818182,
