signal_ts,entry_ts,exit_ts,side,R,reason,entry_fill,exit_fill,period,cost_model,mode
1609480800,1609480800,1609485600,-1,1.4999999999999942,PROTECTED_STOP,29213.8,28923.541964285716,historical,GROSS,MARKET_RAW
1609485900,1609485900,1609493400,-1,-1.000000000000001,INITIAL_STOP,29040.0,29238.452142857142,historical,GROSS,MARKET_RAW
1609493700,1609493700,1609515300,1,-0.06646347831866384,TIME,29285.96,29270.96,historical,GROSS,MARKET_RAW
1609547100,1609547100,1609547400,1,-1.0000000000000009,INITIAL_STOP,29118.03,28983.003214285713,historical,GROSS,MARKET_RAW
1609548300,1609548300,1609567500,1,2.0571864161761972,PROTECTED_STOP,29212.12,29575.00107142857,historical,GROSS,MARKET_RAW
1609567800,1609567800,1609575300,1,1.5000000000000004,PROTECTED_STOP,29569.83,29801.71017857143,historical,GROSS,MARKET_RAW
1609632000,1609632000,1609649700,-1,-1.000000000000001,INITIAL_STOP,32199.91,32961.43535714286,historical,GROSS,MARKET_RAW
1609650000,1609650000,1609650900,1,2.1373933108939824,PROTECTED_STOP,33256.95,33929.15714285714,historical,GROSS,MARKET_RAW
1609651200,1609651200,1609658700,-1,-1.0000000000000042,INITIAL_STOP,33946.6,34347.49857142857,historical,GROSS,MARKET_RAW
1609718400,1609718400,1609728900,-1,-1.0000000000000024,INITIAL_STOP,33054.53,33596.32892857143,historical,GROSS,MARKET_RAW
1609732800,1609732800,1609745100,-1,2.211202068978188,PROTECTED_STOP,33562.22,32658.98107142857,historical,GROSS,MARKET_RAW
1609745400,1609745400,1609749900,1,-0.9999999999999984,INITIAL_STOP,32433.0,31919.52,historical,GROSS,MARKET_RAW
1609804800,1609804800,1609805700,-1,-1.0000000000000009,INITIAL_STOP,32031.07,32487.193214285715,historical,GROSS,MARKET_RAW
1609806000,1609806000,1609818900,-1,2.019888057338401,PROTECTED_STOP,32477.41,31486.410357142857,historical,GROSS,MARKET_RAW
1609825500,1609825500,1609826400,1,-1.0000000000000022,INITIAL_STOP,30882.96,30075.763928571425,historical,GROSS,MARKET_RAW
1609891200,1609891200,1609892700,1,-1.0000000000000022,INITIAL_STOP,33999.52,33514.84,historical,GROSS,MARKET_RAW
1609896900,1609896900,1609907400,1,3.2149105043875132,PROTECTED_STOP,33584.46,35310.9875,historical,GROSS,MARKET_RAW
1609907700,1609907700,1609922400,-1,2.0257156111689136,PROTECTED_STOP,35448.42,34236.6825,historical,GROSS,MARKET_RAW
1609977600,1609977600,1609999200,1,0.8011305936153232,TIME,36823.68,37409.99,historical,GROSS,MARKET_RAW
1610003700,1610003700,1610020800,-1,-0.999999999999998,INITIAL_STOP,37341.03,37865.998928571425,historical,GROSS,MARKET_RAW
1610021100,1610021100,1610028600,-1,-1.0000000000000007,INITIAL_STOP,38127.13,38608.89357142857,historical,GROSS,MARKET_RAW
1610067900,1610067900,1610069700,1,-1.000000000000002,INITIAL_STOP,38969.35,38145.26714285714,historical,GROSS,MARKET_RAW
1610073600,1610073600,1610095200,1,1.4447967330977247,TIME,37255.88,38669.32,historical,GROSS,MARKET_RAW
1610095500,1610095500,1610099700,-1,-0.9999999999999976,INITIAL_STOP,38542.45,39181.39321428571,historical,GROSS,MARKET_RAW
1610150400,1610150400,1610172000,-1,1.6495728010858062,TIME,40637.23,39341.12,historical,GROSS,MARKET_RAW
1610172600,1610172600,1610182200,-1,-1.0000000000000049,INITIAL_STOP,39547.28,40192.813571428575,historical,GROSS,MARKET_RAW
1610182500,1610182500,1610204100,1,1.0197827022216208,TIME,40242.67,40981.72,historical,GROSS,MARKET_RAW
1610242500,1610242500,1610248200,1,-0.9999999999999983,INITIAL_STOP,41259.53,40785.38321428571,historical,GROSS,MARKET_RAW
1610251200,1610251200,1610261100,-1,-0.9999999999999952,INITIAL_STOP,40393.5,40871.77607142857,historical,GROSS,MARKET_RAW
