period,cost_model,mode,timeout,adverse,side,minz,response,pause,entry_missing
historical,GROSS,MARKET_RAW,0,0,0,0,0,13474,0
historical,GROSS,CONFIRM_CANONICAL,982,5115,198,438,11,37643,0
historical,IC,MARKET_RAW,0,0,0,0,0,13766,0
historical,IC,CONFIRM_CANONICAL,978,5125,199,443,11,38128,0
historical,GETLEVERAGED,MARKET_RAW,0,0,0,0,0,14086,0
historical,GETLEVERAGED,CONFIRM_CANONICAL,988,5226,200,453,10,39606,0
forward_2026,GROSS,MARKET_RAW,0,0,0,0,0,903,0
forward_2026,GROSS,CONFIRM_CANONICAL,98,521,16,53,0,3324,0
forward_2026,IC,MARKET_RAW,0,0,0,0,0,935,0
forward_2026,IC,CONFIRM_CANONICAL,98,533,16,52,0,3225,0
forward_2026,GETLEVERAGED,MARKET_RAW,0,0,0,0,0,907,0
forward_2026,GETLEVERAGED,CONFIRM_CANONICAL,103,544,16,51,0,3287,0
