cost_model,mode,year,N,WR,EV_R,PF,SumR,MaxDD_R,R_DD
GROSS,MARKET_RAW,2021,1090,0.40642201834862385,0.09970215004528273,1.176232713957311,108.67534354935817,21.537839229330316,5.045786738038403
GROSS,MARKET_RAW,2022,1036,0.3967181467181467,0.07327859539988525,1.1304497298940384,75.91662483428112,25.032785707271408,3.032687840739563
GROSS,MARKET_RAW,2023,1085,0.3880184331797235,0.06578928030758836,1.114446527493555,71.38136913373337,31.480075608010786,2.267509456539197
GROSS,MARKET_RAW,2024,1098,0.3888888888888889,0.059333040053121865,1.1028411378567236,65.1476779783278,31.122824735909916,2.093244380326429
GROSS,MARKET_RAW,2025,1092,0.38003663003663,0.030403621652852566,1.0509912268349217,33.200754844915004,24.53957952390463,1.3529471771337116
GROSS,CONFIRM_CANONICAL,2021,1070,0.3897196261682243,0.05828975590815267,1.100235132007257,62.370038821723355,40.25956575763078,1.5491980017171885
GROSS,CONFIRM_CANONICAL,2022,1006,0.4025844930417495,0.09475249717390516,1.167159505284278,95.32101215694858,23.219953390575398,4.105133656109656
GROSS,CONFIRM_CANONICAL,2023,1061,0.38077285579641845,0.055291212843753934,1.094593996096204,58.663976827222925,24.083275229281412,2.4358803472003223
GROSS,CONFIRM_CANONICAL,2024,1073,0.385834109972041,0.05512846973888782,1.0942241146623108,59.15284802982663,36.76027733222895,1.609151299246738
GROSS,CONFIRM_CANONICAL,2025,1073,0.36905871388630007,0.020674114027110904,1.0341707822181962,22.18332435109,41.297865141114244,0.5371542639138823
IC,MARKET_RAW,2021,1090,0.40642201834862385,0.09969130009757565,1.1747385565172943,108.66351710635746,21.522452480304636,5.048844559224665
IC,MARKET_RAW,2022,1036,0.38996138996138996,0.048553749139803815,1.0842445715226194,50.30168410883675,31.632028075090506,1.590213690675375
IC,MARKET_RAW,2023,1085,0.37695852534562213,0.020306234027514462,1.0337292653937924,22.032263919853193,34.62288628672957,0.6363497178540493
IC,MARKET_RAW,2024,1098,0.38160291438979965,0.025642650711921847,1.043124857916968,28.15563048169019,36.369575394921995,0.7741534009116131
IC,MARKET_RAW,2025,1092,0.38095238095238093,0.02759166898397923,1.0453636090959613,30.130102530505322,28.148301707082837,1.0704056977946848
IC,CONFIRM_CANONICAL,2021,1070,0.38878504672897196,0.05335464305135982,1.0910494700566575,57.08946806495501,41.82395307060443,1.364994551533193
IC,CONFIRM_CANONICAL,2022,1006,0.3926441351888668,0.0617097763893622,1.1056266554115184,62.080035047698374,26.19943809893949,2.3695178046666303
IC,CONFIRM_CANONICAL,2023,1061,0.36663524976437323,0.002314711041788339,1.0037692799681028,2.4559084153374275,41.16271744975751,0.05966341795424625
IC,CONFIRM_CANONICAL,2024,1076,0.38104089219330856,0.028777099200811743,1.047887017279286,30.964158740073437,45.00246569928926,0.6880547156455578
IC,CONFIRM_CANONICAL,2025,1074,0.3584729981378026,-0.02659047956524581,0.9578464529702948,-28.558175053074,64.53676224163507,-0.4425101920382683
GETLEVERAGED,MARKET_RAW,2021,1090,0.4,0.08670689949331953,1.1509966309011843,94.51052044771828,31.652848007789643,2.9858457104542255
GETLEVERAGED,MARKET_RAW,2022,1036,0.36293436293436293,-0.02757174481918611,0.954128866554138,-28.56432763267681,53.42937729952871,-0.5346183892906566
GETLEVERAGED,MARKET_RAW,2023,1085,0.33640552995391704,-0.08317587125846498,0.8689145438998859,-90.24582031543451,96.93807065096034,-0.9309636524578434
GETLEVERAGED,MARKET_RAW,2024,1098,0.366120218579235,-0.027460270190230236,0.9551456146387954,-30.1513766688728,55.86977764623413,-0.5396723942556292
GETLEVERAGED,MARKET_RAW,2025,1092,0.3617216117216117,-0.018138385049868335,0.9706779206200578,-19.807116474456222,51.922175977612675,-0.38147701057437333
GETLEVERAGED,CONFIRM_CANONICAL,2021,1068,0.37453183520599254,0.00819779683020729,1.0136261980199572,8.755247014661386,59.639197717197604,0.14680356795169824
GETLEVERAGED,CONFIRM_CANONICAL,2022,1008,0.38293650793650796,0.03721637200530158,1.0631963433277594,37.514102981343996,31.926894742743933,1.1750000519505541
GETLEVERAGED,CONFIRM_CANONICAL,2023,1059,0.35033050047214354,-0.04231286406336899,0.9324451499967645,-44.80932304310776,61.51448196186083,-0.7284353474827225
GETLEVERAGED,CONFIRM_CANONICAL,2024,1078,0.3654916512059369,-0.012565997533245457,0.9794214402520149,-13.546145340838603,57.293435189712255,-0.23643451114397449
GETLEVERAGED,CONFIRM_CANONICAL,2025,1076,0.33643122676579923,-0.08355021068563723,0.870779185528439,-89.90002669774566,99.31263268141743,-0.9052224703994483
