period,relation,profile_state,N,EV_R,PF,SumR,mean_mfe60,mean_mae60
historical,SUPPORTIVE,PROFILE_CONFIRMED,6,0.296512144349067,1.5888087951551009,1.7790728660944017,1.0540571088206228,0.6725469891652164
historical,SUPPORTIVE,PROFILE_PARTIAL,8,-0.11436553946830277,0.8190887754788807,-0.9149243157464222,1.161789129082233,0.7734064589782974
historical,SUPPORTIVE,PROFILE_CONTRADICTED,5,0.03357205112641337,1.0796148602107631,0.16786025563206686,1.162058189578711,1.1195534652807808
historical,SUPPORTIVE,PROFILE_OTHER,13,-0.1468043364239685,0.7286975381889276,-1.9084563735115907,0.6543492280461477,0.8820105469906115
historical,ADVERSE,PROFILE_CONFIRMED,4,-0.6806145632076313,0.09862307898029071,-2.722458252830525,0.18486752539721935,1.9192260423101035
historical,ADVERSE,PROFILE_PARTIAL,7,0.5998560958435609,2.863698374182035,4.198992670904927,1.3259805496496593,0.659966881909328
historical,ADVERSE,PROFILE_CONTRADICTED,10,0.011708345836618877,1.0290001179845734,0.11708345836618878,1.1730278139246617,0.5541016723007861
historical,ADVERSE,PROFILE_OTHER,6,2.108179805269156,7.295243041082711,12.649078831614936,0.9623556657487806,0.4931461039344578
forward_2026,SUPPORTIVE,PROFILE_CONFIRMED,0,,,,,
forward_2026,SUPPORTIVE,PROFILE_PARTIAL,1,-1.0085489802878398,0.0,-1.0085489802878398,0.5569879271536954,0.6818088807039007
forward_2026,SUPPORTIVE,PROFILE_CONTRADICTED,0,,,,,
forward_2026,SUPPORTIVE,PROFILE_OTHER,1,-1.0082838763228958,0.0,-1.0082838763228958,1.34882755758456,0.3656360240713777
forward_2026,ADVERSE,PROFILE_CONFIRMED,0,,,,,
forward_2026,ADVERSE,PROFILE_PARTIAL,0,,,,,
forward_2026,ADVERSE,PROFILE_CONTRADICTED,0,,,,,
forward_2026,ADVERSE,PROFILE_OTHER,0,,,,,
