signal_ts,confirm_ts,exit_ts,side,z,atr,entry,exit,R,spread_atr_entry,kind,mfe_atr,confirm_lag_s
1777606500,1777607050,1777607214,BUY,-4.587372601382645,125.52399553571429,76481.1796875,76500.00828683036,0.1200000000000053,0.00796660427938241,be,0.549757934373319,550
1777628100,1777634078,1777639190,BUY,-2.377439319472206,172.26283482142858,77206.8984375,77232.73786272321,0.11999999999998069,0.005805082686794408,be,1.555172581350524,5978
1777639200,1777641705,1777642022,BUY,-3.2518435654473596,139.89955357142858,77306.671875,77327.65680803571,0.11999999999997622,0.007147985640207418,be,0.7098284802552851,2505
1777650000,1777650028,1777651190,BUY,-1.3595243994812831,148.69754464285714,78054.171875,77868.29994419643,-0.9999999999999665,0.006725060608107601,stop,0.3045191506608723,28
1777675500,1777675939,1777677643,BUY,-1.0369698362977025,192.66964285714286,78381.828125,78140.99107142857,-1.0000000000000258,0.005190231243338431,stop,0.22764029843829647,439
1777686300,1777686544,1777687631,SELL,1.2007125362017868,157.10267857142858,78145.3984375,78121.83303571428,0.12000000000000846,0.006365263845869682,be,0.5692932852149697,244
1777697100,1777697867,1777701136,SELL,1.1756529610483868,122.40234375,78253.4296875,78406.4326171875,-1.0,0.00816977820328706,stop,0.3338120312749322,767
1777707900,1777707975,1777729578,SELL,1.2159355852649927,127.35993303571429,78136.921875,78190.7890625,-0.33836190843407277,0.007851762922328013,time,0.3150519872584115,75
1777729800,1777730404,1777735541,SELL,2.5144128404992463,128.49274553571428,78173.6328125,78154.35890066964,0.1200000000000052,0.007782540530446151,be,0.9142661090337403,604
1777744200,1777744321,1777748931,BUY,-1.3606101708360703,99.03459821428571,78442.2265625,78457.08175223214,0.1200000000000168,0.010097481264439061,be,0.6258860652504649,121
1777755300,1777757528,1777759723,BUY,-1.024104074041071,85.22712053571429,78397.0390625,78409.82313058036,0.12000000000006243,0.0117333542857517,be,0.6260844513412821,2228
1777770300,1777770321,1777770441,BUY,-4.309197045181507,61.23046875,78703.2734375,78712.4580078125,0.12,0.016331738437001597,be,0.6370653907496012,21
1777782600,1777783006,1777785296,SELL,1.043254303022982,168.91294642857142,78177.5390625,78152.20212053572,0.11999999999999213,0.005920209321686731,be,0.5957673146300531,406
1777793400,1777794525,1777800769,SELL,1.8270267060321566,114.71484375,78136.4296875,78119.2224609375,0.1200000000000203,0.008717267681411107,be,0.9505907991963769,1125
1777812000,1777819401,1777819660,BUY,-1.1776689117963228,105.21707589285714,78699.703125,78715.48568638392,0.11999999999995892,0.009504160722146498,be,1.0245188253451358,7401
1777822800,1777823082,1777825629,BUY,-1.160577433329591,129.37165178571428,78751.609375,78589.89481026786,-1.000000000000013,0.007729668642218139,stop,0.3629924860029159,282
1777833600,1777836900,1777838525,BUY,-1.0542491394414608,115.23325892857143,78698.7890625,78554.74748883929,-0.9999999999999712,0.008678050150606785,stop,0.4012242249319606,3300
1777844700,1777845006,1777849490,BUY,-3.4255317822885227,100.06473214285714,78697.9609375,78712.97064732143,0.1200000000000266,0.015380668763523613,be,1.2089830243815387,306
1777855500,1777856098,1777856612,BUY,-1.4933382184673023,152.50111607142858,78730.0234375,79052.31194196429,1.690681420657072,0.006557329059359928,trail,2.6133517758213127,598
1777866300,1777866999,1777870568,BUY,-2.6441757481658676,266.97767857142856,78486.8671875,79706.85491071429,3.655699546845489,0.0037456314900590273,trail,5.069624433556846,699
1777885200,1777886114,1777887938,SELL,1.0760250578221051,294.21261160714283,79838.2578125,79794.12592075893,0.11999999999999096,0.0033989025641609247,be,1.35077167606486,914
1777896000,1777899740,1777900036,SELL,1.4896421025054107,178.56640625,79591.1015625,78740.306640625,3.8116684531752454,0.005600157504429812,trail,5.264585566469057,3740
1777906800,1777907966,1777912648,BUY,-1.2644171614098278,313.56808035714283,78880.0390625,78927.07427455357,0.11999999999999152,0.0031891001114049485,be,0.6268325758034148,1166
1777917600,1777917738,1777918289,BUY,-1.3939838244951788,323.31863839285717,80312.5390625,79908.39076450893,-0.9999999999999846,0.007079896511312818,stop,0.03576193459639239,138
1777942200,1777942633,1777947600,SELL,1.2710669085863135,171.69363839285714,80205.25,79882.1875,1.5052974729828554,0.0058243276184285365,signal,2.0882034614447065,433
1777953000,1777953074,1777959216,BUY,-2.57644053138315,165.45647321428572,80070.140625,80411.74051339286,1.6516725239293248,0.006043885624860875,trail,2.564590654911669,74
1777963800,1777969460,1777969766,BUY,-1.3608781133919599,228.54129464285714,80954.21875,80988.49994419643,0.12000000000001164,0.004375576858277214,be,0.8566217225903806,5660
1777974600,1777975991,1777977600,BUY,-1.6401839477065943,195.90736607142858,80965.1796875,81069.546875,0.4261899471894174,0.0051044532936826694,signal,0.7238752827103735,1391
1777985400,1777985553,1777986420,SELL,1.3266534990078045,129.71261160714286,80479.953125,80642.09388950893,-1.0000000000000384,0.007709350599066446,stop,0.0,153
1777996500,1777996881,1777996934,BUY,-1.2501980786493225,151.53627232142858,81328.7890625,81351.51950334822,0.12000000000000878,0.006599080105909343,be,0.6662493141302066,381
1778024700,1778024814,1778029362,SELL,3.0200722249998098,175.8671875,81532.296875,81505.916796875,0.12000000000001323,0.00915108169339434,be,1.509128870330061,114
1778035500,1778039310,1778040196,SELL,1.1515826084483596,243.38839285714286,80776.3828125,81080.61830357143,-1.0000000000000207,0.004108659366459399,stop,0.3214383976228471,3810
1778046300,1778056605,1778058090,SELL,1.1610123459641548,230.63392857142858,81057.3671875,81345.65959821429,-1.0000000000000144,0.004335875498432116,stop,0.22190875304866245,10305
1778063100,1778063681,1778065339,SELL,1.6559679602013324,151.26450892857142,81420.546875,81397.85719866071,0.1200000000000066,0.006610936081987413,be,0.9990777153903478,581
1778073900,1778074466,1778075719,BUY,-1.370592966914357,207.67689732142858,82231.5,82262.65153459822,0.12000000000001762,0.01587502048866473,be,0.5858710168020486,566
1778084700,1778084748,1778087269,SELL,1.679264683905353,261.55859375,81841.921875,81206.255859375,1.9442405053838916,0.01998237727564629,trail,2.9303006317298643,48
1778097300,1778097706,1778102087,SELL,1.0106377131728759,345.3794642857143,81482.03125,81430.22433035714,0.1199999999999952,0.002895366121631229,be,0.7579299424804499,406
1778108100,1778110315,1778110454,SELL,1.7201478906866738,211.56919642857142,81366.328125,81334.59274553572,0.11999999999999371,0.0047265859911587525,be,0.5390892881634892,2215
1778118900,1778119205,1778119902,SELL,2.44129029787322,163.57979910714286,81271.7265625,81247.18959263393,0.11999999999996949,0.007163934705852252,be,2.010152318897436,305
1778129700,1778130345,1778132757,SELL,1.6307580349092201,191.92410714285714,81035.9765625,81007.18794642857,0.1199999999999896,0.005210392872926892,be,1.0391070224000372,645
1778147400,1778154152,1778156217,SELL,1.1779384008646918,166.14229910714286,81194.75,81169.82865513393,0.120000000000012,0.006018936811239827,be,0.7248586792598588,6752
1778158200,1778158327,1778161305,SELL,1.5019803121925908,193.64285714285714,80849.9765625,80820.93013392857,0.1199999999999897,0.00516414607156031,be,1.678468507930653,127
1778169000,1778170395,1778170599,SELL,2.5488708313528017,193.76450892857142,80935.0390625,80905.97438616071,0.12000000000000516,0.00516090384936612,be,0.541532028131534,1395
1778179800,1778180280,1778181662,SELL,1.4499506237155828,287.1205357142857,79867.15625,79824.08816964286,0.12000000000000578,0.003482857809220244,be,0.6819326751146699,480
1778194500,1778197064,1778200131,SELL,1.0933746999012341,233.25279017857142,79910.1328125,79875.1448939732,0.12000000000002424,0.0042871941606118825,be,1.324073121541476,2564
1778205300,1778212303,1778213936,SELL,1.5358660688221848,205.625,79779.15625,79748.3125,0.12,0.004863221884498481,be,1.0046352583586626,7003
1778219100,1778219750,1778220624,SELL,1.2164863596942963,166.84430803571428,79430.9296875,79405.90304129464,0.11999999999999005,0.005993611719651488,be,1.6364432998310954,650
