signal_ts,entry_ts,exit_ts,side,R,entry_overlap,any_lifetime_overlap,same_core_overlap_count,opposite_core_overlap_count,later_core_same_entries,later_core_opposite_entries,branch,align_tf,response_ratio,confirm_min,abs_z
1609499100,1609499280,1609526700,1,-1.002425608972488,NONE,True,1,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,722790732.2538805,3.0,1.886513991757587
1609547400,1609547460,1609590000,1,2.219174612101505,NONE,True,1,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,29.55855761605503,1.0,1.9034293452730253
1609765200,1609765800,1609852200,-1,-0.2115948490028303,NONE,True,0,1,0,1,STRONG_RESPONSE_GE_2.50,H1_ALIGN,436388594.04007965,10.0,1.7005984161508148
1609858200,1609858260,1609907040,1,2.2210640196697513,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,800482954.3483263,1.0,1.4092382752338581
1610281800,1610284320,1610300160,1,-1.00087118204824,NONE,False,0,0,0,0,MID_RESPONSE_0.50_1.00,H4_ALIGN,0.6354201327632719,42.0,1.6141219615909528
1610300400,1610300460,1610310420,1,-1.0010176271144782,NONE,True,1,0,1,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,1278721151.0055614,1.0,1.6957904987559065
1610310600,1610310660,1610347740,1,-1.000489080374931,NONE,False,0,0,0,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,590503433.4800938,1.0,1.5646493526750158
1610737500,1610737620,1610824020,-1,-0.391313004168932,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,392266847.05502343,2.0,1.5818240794033558
1610825400,1610825520,1610868660,1,-1.0011892673611311,NONE,False,0,0,0,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,3.874876626740194,2.0,1.3139819385967784
1610924700,1610927340,1610971560,-1,-1.0014987547926053,CORE_OPPOSITE,True,0,1,0,0,MID_RESPONSE_0.50_1.00,H4_ALIGN,0.8791575392266634,44.0,1.6902644446423558
1611005700,1611005940,1611020760,-1,-1.0017220158687412,NONE,True,0,1,0,1,STRONG_RESPONSE_GE_2.50,H4_ALIGN,7.465309069258402,4.0,1.4550899376471542
1611084900,1611084960,1611115080,1,-1.0011816080616656,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,420173096.3043014,1.0,1.9669441977952413
1611356100,1611356640,1611400800,1,-1.0012963752441508,NONE,False,0,0,0,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.793048971371716,9.0,1.2240580266567684
1611472200,1611472740,1611546600,-1,-1.0016924066978554,CORE_OPPOSITE,True,0,1,0,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,2.6001066757473557,9.0,1.7876185450637485
1611549900,1611550500,1611610260,1,-1.0013369844094269,NONE,False,0,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,3.7052814889826,10.0,2.0042213025888658
